Episode 71 | Loss: 0.572 | Policy: 0.430 | Value: 0.283 | Reward: -30.04
Episode 72 | Loss: 0.368 | Policy: 0.294 | Value: 0.147 | Reward: -30.03
Episode 73 | Loss: 0.069 | Policy: 0.052 | Value: 0.034 | Reward: -30.03
Episode 74 | Loss: 0.100 | Policy: -0.015 | Value: 0.231 | Reward: -20.03
Episode 75 | Loss: 0.208 | Policy: 0.179 | Value: 0.058 | Reward: -40.03
Episode 76 | Loss: 0.014 | Policy: -0.009 | Value: 0.047 | Reward: -30.03
Episode 77 | Loss: 0.036 | Policy: -0.012 | Value: 0.099 | Reward: -20.03
Episode 78 | Loss: 0.336 | Policy: 0.271 | Value: 0.135 | Reward: 49.96
Episode 79 | Loss: 0.406 | Policy: 0.326 | Value: 0.168 | Reward: 49.96
Episode 80 | Loss: 0.024 | Policy: 0.008 | Value: 0.045 | Reward: 99.96
Episode 81 | Loss: 0.098 | Policy: 0.093 | Value: 0.025 | Reward: 69.96
Episode 82 | Loss: 0.082 | Policy: -0.004 | Value: 0.184 | Reward: 99.94
Episode 83 | Loss: 0.247 | Policy: 0.196 | Value: 0.115 | Reward: 49.97
Episode 84 | Loss: 0.012 | Policy: -0.024 | Value: 0.083 | Reward: 89.94
Episode 85 | Loss: 0.033 | Policy: -0.030 | Value: 0.137 | Reward: 209.96
Episode 86 | Loss: 0.375 | Policy: 0.294 | Value: 0.173 | Reward: 69.97
Episode 87 | Loss: 0.649 | Policy: 0.462 | Value: 0.383 | Reward: 49.97
Episode 88 | Loss: 0.400 | Policy: 0.302 | Value: 0.201 | Reward: -30.04
Episode 89 | Loss: 0.011 | Policy: -0.016 | Value: 0.058 | Reward: -30.03
Episode 90 | Loss: 0.060 | Policy: -0.052 | Value: 0.227 | Reward: 59.96
Episode 91 | Loss: -0.050 | Policy: -0.079 | Value: 0.060 | Reward: -30.04
Episode 92 | Loss: -0.016 | Policy: -0.026 | Value: 0.020 | Reward: -20.03
Episode 93 | Loss: 0.616 | Policy: 0.459 | Value: 0.313 | Reward: -30.03
Episode 94 | Loss: 1.319 | Policy: 0.825 | Value: 0.987 | Reward: -40.03
Episode 95 | Loss: 1.238 | Policy: 0.790 | Value: 0.897 | Reward: 39.97
Episode 96 | Loss: 0.450 | Policy: 0.354 | Value: 0.190 | Reward: -30.03
Episode 97 | Loss: 0.057 | Policy: -0.004 | Value: 0.122 | Reward: -20.03
Episode 98 | Loss: 0.025 | Policy: 0.020 | Value: 0.009 | Reward: -40.03
Episode 99 | Loss: 0.014 | Policy: -0.030 | Value: 0.088 | Reward: -30.03
Episode 100 | Loss: 0.029 | Policy: 0.023 | Value: 0.012 | Reward: -30.03
Episode 101 | Loss: 0.178 | Policy: 0.154 | Value: 0.047 | Reward: -20.03
Episode 102 | Loss: 0.607 | Policy: 0.455 | Value: 0.304 | Reward: -30.03
Episode 103 | Loss: 0.477 | Policy: 0.372 | Value: 0.209 | Reward: -30.04
Episode 104 | Loss: 0.118 | Policy: 0.105 | Value: 0.026 | Reward: -30.03
Episode 105 | Loss: -0.021 | Policy: -0.101 | Value: 0.160 | Reward: -30.03
Episode 106 | Loss: 0.054 | Policy: -0.145 | Value: 0.398 | Reward: -30.03
Episode 107 | Loss: 0.041 | Policy: -0.145 | Value: 0.372 | Reward: -30.03
Episode 108 | Loss: -0.036 | Policy: -0.106 | Value: 0.140 | Reward: -30.03
Episode 109 | Loss: -0.009 | Policy: -0.018 | Value: 0.017 | Reward: -20.04
Episode 110 | Loss: 0.895 | Policy: 0.609 | Value: 0.571 | Reward: -30.04
Episode 111 | Loss: 1.482 | Policy: 0.891 | Value: 1.183 | Reward: -30.03
Episode 112 | Loss: 1.625 | Policy: 0.953 | Value: 1.345 | Reward: -30.03
Episode 113 | Loss: 1.722 | Policy: 0.992 | Value: 1.460 | Reward: -40.03
Episode 114 | Loss: 0.712 | Policy: 0.512 | Value: 0.401 | Reward: -30.03
Episode 115 | Loss: 0.262 | Policy: 0.213 | Value: 0.098 | Reward: -40.03
Episode 116 | Loss: 0.081 | Policy: -0.146 | Value: 0.454 | Reward: -30.03
Episode 117 | Loss: 0.624 | Policy: -0.195 | Value: 1.639 | Reward: -20.03
Episode 118 | Loss: 0.543 | Policy: -0.241 | Value: 1.568 | Reward: -30.04
Episode 119 | Loss: 0.455 | Policy: -0.224 | Value: 1.358 | Reward: -30.03
Episode 120 | Loss: 0.201 | Policy: -0.171 | Value: 0.745 | Reward: -30.03
Episode 121 | Loss: 0.074 | Policy: -0.083 | Value: 0.312 | Reward: -20.04
Episode 122 | Loss: 0.295 | Policy: 0.247 | Value: 0.096 | Reward: -30.03
Episode 123 | Loss: 0.506 | Policy: 0.392 | Value: 0.228 | Reward: -20.04
Episode 124 | Loss: 0.956 | Policy: 0.648 | Value: 0.617 | Reward: -30.03
Episode 125 | Loss: 0.770 | Policy: 0.548 | Value: 0.443 | Reward: -30.04
Episode 126 | Loss: 0.126 | Policy: 0.114 | Value: 0.023 | Reward: -20.04
Episode 127 | Loss: 0.041 | Policy: 0.033 | Value: 0.016 | Reward: -40.04
Episode 128 | Loss: 0.201 | Policy: -0.154 | Value: 0.710 | Reward: -30.03
Episode 129 | Loss: 0.536 | Policy: -0.214 | Value: 1.502 | Reward: -30.03
Episode 130 | Loss: 0.681 | Policy: -0.231 | Value: 1.825 | Reward: -30.03
Episode 131 | Loss: 0.286 | Policy: -0.229 | Value: 1.029 | Reward: -40.03
Episode 132 | Loss: 0.287 | Policy: -0.150 | Value: 0.875 | Reward: -30.04
Episode 133 | Loss: 0.163 | Policy: -0.063 | Value: 0.452 | Reward: -20.03
Episode 134 | Loss: 0.210 | Policy: 0.182 | Value: 0.057 | Reward: -30.04
Episode 135 | Loss: 0.667 | Policy: 0.490 | Value: 0.354 | Reward: -30.03
Episode 136 | Loss: 0.840 | Policy: 0.588 | Value: 0.505 | Reward: -30.03
Episode 137 | Loss: 1.058 | Policy: 0.703 | Value: 0.711 | Reward: -40.03
Episode 138 | Loss: 0.287 | Policy: 0.242 | Value: 0.092 | Reward: -30.04
Episode 139 | Loss: -0.005 | Policy: -0.027 | Value: 0.045 | Reward: -30.03
Episode 140 | Loss: 0.021 | Policy: -0.070 | Value: 0.182 | Reward: -30.03
Episode 141 | Loss: 0.015 | Policy: -0.072 | Value: 0.175 | Reward: -30.03
Episode 142 | Loss: -0.018 | Policy: -0.040 | Value: 0.044 | Reward: -30.03
Episode 143 | Loss: 0.800 | Policy: 0.561 | Value: 0.478 | Reward: -50.03
Episode 144 | Loss: 0.641 | Policy: 0.472 | Value: 0.338 | Reward: -40.03
Episode 145 | Loss: 0.074 | Policy: 0.068 | Value: 0.012 | Reward: -20.03
Episode 146 | Loss: 0.012 | Policy: 0.009 | Value: 0.006 | Reward: -30.03
Episode 147 | Loss: -0.004 | Policy: -0.080 | Value: 0.152 | Reward: -30.04
Episode 148 | Loss: 0.047 | Policy: -0.098 | Value: 0.290 | Reward: -30.04
Episode 149 | Loss: 0.031 | Policy: -0.079 | Value: 0.221 | Reward: -30.03
Episode 150 | Loss: -0.005 | Policy: -0.028 | Value: 0.045 | Reward: -30.03
Episode 151 | Loss: 0.238 | Policy: 0.205 | Value: 0.067 | Reward: -30.03
Episode 152 | Loss: 0.223 | Policy: 0.188 | Value: 0.070 | Reward: -20.03
Episode 153 | Loss: 0.427 | Policy: 0.340 | Value: 0.173 | Reward: -30.03
Episode 154 | Loss: 0.165 | Policy: 0.146 | Value: 0.038 | Reward: -30.03
Episode 155 | Loss: 0.006 | Policy: 0.004 | Value: 0.004 | Reward: -40.03
Episode 156 | Loss: 0.060 | Policy: -0.079 | Value: 0.279 | Reward: -30.03
Episode 157 | Loss: 0.077 | Policy: -0.088 | Value: 0.330 | Reward: -30.03
Episode 158 | Loss: 0.026 | Policy: -0.061 | Value: 0.172 | Reward: -30.03
Episode 159 | Loss: 0.011 | Policy: 0.007 | Value: 0.009 | Reward: -30.03
Episode 160 | Loss: 0.475 | Policy: 0.374 | Value: 0.204 | Reward: -30.03
Episode 161 | Loss: 0.830 | Policy: 0.584 | Value: 0.492 | Reward: -30.03
Episode 162 | Loss: 1.253 | Policy: 0.796 | Value: 0.914 | Reward: -40.03
Episode 163 | Loss: 0.607 | Policy: 0.456 | Value: 0.303 | Reward: -30.04
Episode 164 | Loss: 0.024 | Policy: 0.022 | Value: 0.004 | Reward: -20.03
Episode 165 | Loss: 0.008 | Policy: 0.004 | Value: 0.008 | Reward: -30.03
Episode 166 | Loss: -0.031 | Policy: -0.051 | Value: 0.040 | Reward: -30.03
Episode 167 | Loss: -0.026 | Policy: -0.040 | Value: 0.027 | Reward: -30.03
Episode 168 | Loss: 0.057 | Policy: 0.054 | Value: 0.006 | Reward: -30.03
Episode 169 | Loss: 0.058 | Policy: 0.055 | Value: 0.006 | Reward: -30.03
Episode 170 | Loss: -0.008 | Policy: -0.019 | Value: 0.020 | Reward: -30.03
Episode 171 | Loss: -0.004 | Policy: -0.012 | Value: 0.016 | Reward: -30.03
