Episode 71 | Loss: 1.865 | Policy: 1.110 | Value: 1.529 | Reward: -70.03
Episode 72 | Loss: 1.260 | Policy: 0.835 | Value: 0.870 | Reward: -70.03
Episode 73 | Loss: 0.019 | Policy: -0.029 | Value: 0.114 | Reward: -60.03
Episode 74 | Loss: -0.015 | Policy: -0.125 | Value: 0.235 | Reward: -60.03
Episode 75 | Loss: -0.016 | Policy: -0.090 | Value: 0.161 | Reward: -60.03
Episode 76 | Loss: 0.110 | Policy: 0.092 | Value: 0.046 | Reward: -60.03
Episode 77 | Loss: 0.177 | Policy: 0.154 | Value: 0.059 | Reward: -60.03
Episode 78 | Loss: 0.054 | Policy: -0.085 | Value: 0.291 | Reward: -50.03
Episode 79 | Loss: 0.025 | Policy: -0.044 | Value: 0.153 | Reward: -50.03
Episode 80 | Loss: 0.173 | Policy: 0.143 | Value: 0.074 | Reward: -50.03
Episode 81 | Loss: 0.252 | Policy: 0.204 | Value: 0.107 | Reward: -50.03
Episode 82 | Loss: 0.527 | Policy: 0.394 | Value: 0.275 | Reward: -60.03
Episode 83 | Loss: -0.058 | Policy: -0.119 | Value: 0.128 | Reward: -50.03
Episode 84 | Loss: -0.062 | Policy: -0.145 | Value: 0.168 | Reward: -50.03
Episode 85 | Loss: -0.029 | Policy: -0.058 | Value: 0.060 | Reward: -50.03
Episode 86 | Loss: 0.386 | Policy: 0.295 | Value: 0.182 | Reward: -50.03
Episode 87 | Loss: 0.550 | Policy: 0.403 | Value: 0.295 | Reward: -50.03
Episode 88 | Loss: 0.339 | Policy: 0.260 | Value: 0.160 | Reward: -50.03
Episode 89 | Loss: -0.045 | Policy: -0.077 | Value: 0.064 | Reward: -50.03
Episode 90 | Loss: -0.082 | Policy: -0.131 | Value: 0.097 | Reward: -50.03
Episode 91 | Loss: -0.016 | Policy: -0.043 | Value: 0.055 | Reward: -50.03
Episode 92 | Loss: 0.370 | Policy: 0.283 | Value: 0.174 | Reward: -50.03
Episode 93 | Loss: 0.476 | Policy: 0.358 | Value: 0.238 | Reward: -50.03
Episode 94 | Loss: 0.251 | Policy: 0.199 | Value: 0.105 | Reward: -50.03
Episode 95 | Loss: -0.059 | Policy: -0.094 | Value: 0.071 | Reward: -50.03
Episode 96 | Loss: -0.073 | Policy: -0.137 | Value: 0.130 | Reward: -50.04
Episode 97 | Loss: -0.042 | Policy: -0.071 | Value: 0.059 | Reward: -50.03
Episode 98 | Loss: 1.363 | Policy: 0.852 | Value: 1.024 | Reward: -70.03
Episode 99 | Loss: 0.348 | Policy: 0.276 | Value: 0.145 | Reward: -50.03
Episode 100 | Loss: 1.247 | Policy: 0.797 | Value: 0.900 | Reward: -70.03
Episode 101 | Loss: -0.053 | Policy: -0.099 | Value: 0.093 | Reward: -50.03
Episode 102 | Loss: -0.052 | Policy: -0.131 | Value: 0.159 | Reward: -50.03
Episode 103 | Loss: -0.042 | Policy: -0.076 | Value: 0.070 | Reward: -50.03
Episode 104 | Loss: 0.644 | Policy: 0.467 | Value: 0.354 | Reward: -60.03
Episode 105 | Loss: 0.309 | Policy: 0.249 | Value: 0.121 | Reward: -50.03
Episode 106 | Loss: 0.134 | Policy: 0.111 | Value: 0.048 | Reward: -50.03
Episode 107 | Loss: 0.089 | Policy: 0.064 | Value: 0.050 | Reward: -60.03
Episode 108 | Loss: 0.138 | Policy: -0.259 | Value: 0.796 | Reward: -50.03
Episode 109 | Loss: 0.369 | Policy: -0.332 | Value: 1.404 | Reward: -50.04
Episode 110 | Loss: 0.003 | Policy: -0.359 | Value: 0.727 | Reward: -60.03
Episode 111 | Loss: -0.146 | Policy: -0.190 | Value: 0.089 | Reward: -70.03
Episode 112 | Loss: -0.059 | Policy: -0.083 | Value: 0.049 | Reward: -60.03
Episode 113 | Loss: 0.047 | Policy: 0.018 | Value: 0.062 | Reward: -40.03
Episode 114 | Loss: 1.436 | Policy: 0.880 | Value: 1.114 | Reward: -50.03
