Episode 69 | Loss: 32.125 | Policy: -2.362 | Value: 68.975 | Reward: -1300.26
Episode 70 | Loss: 19.574 | Policy: -1.908 | Value: 42.964 | Reward: -1300.26
Episode 71 | Loss: 0.528 | Policy: -0.606 | Value: 2.268 | Reward: -1300.26
Episode 72 | Loss: 29.528 | Policy: 5.782 | Value: 47.492 | Reward: -1300.26
Episode 73 | Loss: 66.058 | Policy: 9.016 | Value: 114.084 | Reward: -1300.26
Episode 74 | Loss: 64.114 | Policy: 8.874 | Value: 110.480 | Reward: -1300.26
Episode 75 | Loss: 28.734 | Policy: 5.706 | Value: 46.057 | Reward: -1300.26
Episode 76 | Loss: -0.028 | Policy: -0.167 | Value: 0.277 | Reward: -1300.26
Episode 77 | Loss: 3.127 | Policy: -0.900 | Value: 8.055 | Reward: -1300.26
Episode 78 | Loss: 0.804 | Policy: -0.595 | Value: 2.798 | Reward: -1300.26
Episode 79 | Loss: 7.168 | Policy: 2.526 | Value: 9.284 | Reward: -1300.26
Episode 80 | Loss: 9.656 | Policy: 3.036 | Value: 13.239 | Reward: -1300.26
Episode 81 | Loss: 0.734 | Policy: 0.475 | Value: 0.519 | Reward: -1300.26
Episode 82 | Loss: 14.494 | Policy: -1.578 | Value: 32.144 | Reward: -1300.26
Episode 83 | Loss: 27.877 | Policy: -2.091 | Value: 59.935 | Reward: -1300.26
Episode 84 | Loss: 16.748 | Policy: -1.668 | Value: 36.831 | Reward: -1300.26
Episode 85 | Loss: 0.174 | Policy: -0.406 | Value: 1.159 | Reward: -1300.26
Episode 86 | Loss: 30.819 | Policy: 5.956 | Value: 49.724 | Reward: -1300.26
Episode 87 | Loss: 66.965 | Policy: 9.109 | Value: 115.711 | Reward: -1300.26
Episode 88 | Loss: 64.680 | Policy: 8.941 | Value: 111.479 | Reward: -1300.26
Episode 89 | Loss: 29.326 | Policy: 5.796 | Value: 47.060 | Reward: -1300.26
Episode 90 | Loss: 0.035 | Policy: -0.014 | Value: 0.099 | Reward: -1300.26
Episode 91 | Loss: 42.890 | Policy: -2.502 | Value: 90.784 | Reward: -1300.26
Episode 92 | Loss: 102.611 | Policy: -3.756 | Value: 212.733 | Reward: -1300.26
Episode 93 | Loss: 118.158 | Policy: -4.010 | Value: 244.335 | Reward: -1300.26
Episode 94 | Loss: 82.254 | Policy: -3.368 | Value: 171.244 | Reward: -1300.26
Episode 95 | Loss: 24.914 | Policy: -1.923 | Value: 53.673 | Reward: -1300.26
Episode 96 | Loss: 2.001 | Policy: 1.103 | Value: 1.795 | Reward: -1300.26
Episode 97 | Loss: 20.454 | Policy: 4.743 | Value: 31.421 | Reward: -1300.26
Episode 98 | Loss: 22.942 | Policy: 5.063 | Value: 35.758 | Reward: -1300.26
Episode 99 | Loss: 6.510 | Policy: 2.411 | Value: 8.197 | Reward: -1300.26
