Episode 71 | Loss: 0.752 | Policy: 0.559 | Value: 0.401 | Reward: -70.03
Episode 72 | Loss: 0.142 | Policy: 0.110 | Value: 0.071 | Reward: -60.04
Episode 73 | Loss: 0.048 | Policy: 0.017 | Value: 0.070 | Reward: -60.04
Episode 74 | Loss: 0.095 | Policy: 0.076 | Value: 0.047 | Reward: -60.03
Episode 75 | Loss: 0.022 | Policy: 0.005 | Value: 0.046 | Reward: -60.04
Episode 76 | Loss: 0.098 | Policy: 0.081 | Value: 0.048 | Reward: -60.04
Episode 77 | Loss: 0.016 | Policy: 0.005 | Value: 0.039 | Reward: -60.04
Episode 78 | Loss: -0.056 | Policy: -0.074 | Value: 0.051 | Reward: -60.03
Episode 79 | Loss: 0.022 | Policy: 0.007 | Value: 0.041 | Reward: -60.03
Episode 80 | Loss: -0.029 | Policy: -0.049 | Value: 0.047 | Reward: -60.05
Episode 81 | Loss: -0.015 | Policy: -0.104 | Value: 0.184 | Reward: -50.03
Episode 82 | Loss: 0.095 | Policy: -0.023 | Value: 0.242 | Reward: -40.03
Episode 83 | Loss: 0.736 | Policy: 0.522 | Value: 0.432 | Reward: -50.03
Episode 84 | Loss: 1.961 | Policy: 1.105 | Value: 1.715 | Reward: -60.03
Episode 85 | Loss: 0.638 | Policy: 0.457 | Value: 0.366 | Reward: -40.03
Episode 86 | Loss: 0.342 | Policy: 0.263 | Value: 0.159 | Reward: -40.03
Episode 87 | Loss: 0.686 | Policy: 0.495 | Value: 0.383 | Reward: -60.03
Episode 88 | Loss: 0.194 | Policy: -0.139 | Value: 0.668 | Reward: -40.03
Episode 89 | Loss: 0.407 | Policy: -0.210 | Value: 1.238 | Reward: -40.03
Episode 90 | Loss: -0.113 | Policy: -0.226 | Value: 0.229 | Reward: -60.03
Episode 91 | Loss: 0.586 | Policy: -0.188 | Value: 1.552 | Reward: -30.03
Episode 92 | Loss: 0.006 | Policy: -0.115 | Value: 0.247 | Reward: -40.03
Episode 93 | Loss: 0.502 | Policy: 0.382 | Value: 0.245 | Reward: -50.03
Episode 94 | Loss: 0.536 | Policy: 0.409 | Value: 0.264 | Reward: -40.03
Episode 95 | Loss: 0.261 | Policy: 0.224 | Value: 0.088 | Reward: -30.03
Episode 96 | Loss: 0.300 | Policy: 0.249 | Value: 0.114 | Reward: -40.03
Episode 97 | Loss: -0.015 | Policy: -0.089 | Value: 0.162 | Reward: -30.04
Episode 98 | Loss: -0.007 | Policy: -0.144 | Value: 0.286 | Reward: -30.03
