Episode 69 | Loss: 35.186 | Policy: -3.033 | Value: 76.437 | Reward: -1550.26
Episode 70 | Loss: 1.107 | Policy: -0.760 | Value: 3.735 | Reward: -1550.26
Episode 71 | Loss: 37.075 | Policy: 6.723 | Value: 60.705 | Reward: -1550.26
Episode 72 | Loss: 94.861 | Policy: 11.183 | Value: 167.356 | Reward: -1550.26
Episode 73 | Loss: 110.190 | Policy: 12.110 | Value: 196.161 | Reward: -1550.26
Episode 74 | Loss: 75.074 | Policy: 9.869 | Value: 130.409 | Reward: -1550.26
Episode 75 | Loss: 20.219 | Policy: 4.785 | Value: 30.867 | Reward: -1550.26
Episode 76 | Loss: 4.161 | Policy: -1.203 | Value: 10.727 | Reward: -1550.26
Episode 77 | Loss: 26.541 | Policy: -2.657 | Value: 58.395 | Reward: -1550.26
Episode 78 | Loss: 29.406 | Policy: -2.783 | Value: 64.378 | Reward: -1550.26
Episode 79 | Loss: 9.946 | Policy: -1.719 | Value: 23.332 | Reward: -1550.26
Episode 80 | Loss: 2.615 | Policy: 1.342 | Value: 2.547 | Reward: -1550.26
Episode 81 | Loss: 10.521 | Policy: 3.270 | Value: 14.502 | Reward: -1550.26
Episode 82 | Loss: 4.597 | Policy: 1.956 | Value: 5.282 | Reward: -1550.26
Episode 83 | Loss: 2.409 | Policy: -0.974 | Value: 6.766 | Reward: -1550.26
Episode 84 | Loss: 4.741 | Policy: -1.262 | Value: 12.007 | Reward: -1550.26
Episode 85 | Loss: -0.058 | Policy: -0.354 | Value: 0.593 | Reward: -1550.26
Episode 86 | Loss: 18.192 | Policy: 4.506 | Value: 27.372 | Reward: -1550.26
Episode 87 | Loss: 31.212 | Policy: 6.113 | Value: 50.198 | Reward: -1550.26
Episode 88 | Loss: 18.399 | Policy: 4.535 | Value: 27.727 | Reward: -1550.26
Episode 89 | Loss: 0.137 | Policy: 0.096 | Value: 0.082 | Reward: -1550.26
Episode 90 | Loss: 28.891 | Policy: -2.756 | Value: 63.293 | Reward: -1550.26
Episode 91 | Loss: 64.842 | Policy: -4.013 | Value: 137.709 | Reward: -1550.26
Episode 92 | Loss: 63.775 | Policy: -3.981 | Value: 135.512 | Reward: -1550.26
Episode 93 | Loss: 29.783 | Policy: -2.793 | Value: 65.153 | Reward: -1550.26
Episode 94 | Loss: 0.421 | Policy: -0.570 | Value: 1.981 | Reward: -1550.26
Episode 95 | Loss: 39.637 | Policy: 6.978 | Value: 65.318 | Reward: -1550.26
Episode 96 | Loss: 97.443 | Policy: 11.347 | Value: 172.192 | Reward: -1550.26
Episode 97 | Loss: 113.154 | Policy: 12.284 | Value: 201.740 | Reward: -1550.26
Episode 98 | Loss: 79.009 | Policy: 10.145 | Value: 137.726 | Reward: -1550.26
Episode 99 | Loss: 23.764 | Policy: 5.247 | Value: 37.033 | Reward: -1550.26
Episode 100 | Loss: 2.072 | Policy: -0.917 | Value: 5.977 | Reward: -1550.26
Episode 101 | Loss: 19.768 | Policy: -2.317 | Value: 44.170 | Reward: -1550.26
Episode 102 | Loss: 21.997 | Policy: -2.432 | Value: 48.858 | Reward: -1550.26
Episode 103 | Loss: 6.103 | Policy: -1.393 | Value: 14.992 | Reward: -1550.26
Episode 104 | Loss: 4.836 | Policy: 2.023 | Value: 5.626 | Reward: -1550.26
Episode 105 | Loss: 14.218 | Policy: 3.907 | Value: 20.620 | Reward: -1550.26
Episode 106 | Loss: 7.430 | Policy: 2.649 | Value: 9.561 | Reward: -1550.26
Episode 107 | Loss: 0.703 | Policy: -0.649 | Value: 2.702 | Reward: -1550.26
Episode 108 | Loss: 2.112 | Policy: -0.923 | Value: 6.071 | Reward: -1550.26
Episode 109 | Loss: 0.208 | Policy: 0.156 | Value: 0.103 | Reward: -1550.26
Episode 110 | Loss: -0.025 | Policy: -0.373 | Value: 0.696 | Reward: -1550.26
Episode 111 | Loss: 2.910 | Policy: 1.446 | Value: 2.928 | Reward: -1550.26
Episode 112 | Loss: 0.630 | Policy: 0.451 | Value: 0.357 | Reward: -1550.26
Episode 113 | Loss: 6.129 | Policy: -1.394 | Value: 15.047 | Reward: -1550.26
Episode 114 | Loss: 8.367 | Policy: -1.588 | Value: 19.910 | Reward: -1550.26
Episode 115 | Loss: 0.666 | Policy: -0.636 | Value: 2.605 | Reward: -1550.26
Episode 116 | Loss: 13.255 | Policy: 3.751 | Value: 19.008 | Reward: -1550.26
Episode 117 | Loss: 25.510 | Policy: 5.462 | Value: 40.097 | Reward: -1550.26
Episode 118 | Loss: 15.321 | Policy: 4.082 | Value: 22.479 | Reward: -1550.26
Episode 119 | Loss: -0.038 | Policy: -0.069 | Value: 0.062 | Reward: -1550.26
Episode 120 | Loss: 0.093 | Policy: -0.436 | Value: 1.058 | Reward: -1550.26
Episode 121 | Loss: 2.491 | Policy: 1.300 | Value: 2.381 | Reward: -1550.26
Episode 122 | Loss: 0.476 | Policy: 0.354 | Value: 0.243 | Reward: -1550.26
Episode 123 | Loss: 6.273 | Policy: -1.401 | Value: 15.348 | Reward: -1550.26
Episode 124 | Loss: 8.360 | Policy: -1.580 | Value: 19.882 | Reward: -1550.26
Episode 125 | Loss: 0.649 | Policy: -0.623 | Value: 2.545 | Reward: -1550.26
Episode 126 | Loss: 13.303 | Policy: 3.761 | Value: 19.085 | Reward: -1550.26
Episode 127 | Loss: 25.688 | Policy: 5.485 | Value: 40.406 | Reward: -1550.26
Episode 128 | Loss: 15.661 | Policy: 4.136 | Value: 23.049 | Reward: -1550.26
Episode 129 | Loss: 0.052 | Policy: 0.024 | Value: 0.055 | Reward: -1550.26
Episode 130 | Loss: 25.969 | Policy: -2.608 | Value: 57.154 | Reward: -1550.26
Episode 131 | Loss: 57.260 | Policy: -3.767 | Value: 122.056 | Reward: -1550.26
Episode 132 | Loss: 54.959 | Policy: -3.694 | Value: 117.306 | Reward: -1550.26
Episode 133 | Loss: 24.037 | Policy: -2.514 | Value: 53.103 | Reward: -1550.26
Episode 134 | Loss: -0.030 | Policy: -0.343 | Value: 0.625 | Reward: -1550.26
Episode 135 | Loss: 42.851 | Policy: 7.288 | Value: 71.127 | Reward: -1550.26
Episode 136 | Loss: 100.860 | Policy: 11.561 | Value: 178.598 | Reward: -1550.26
Episode 137 | Loss: 117.369 | Policy: 12.528 | Value: 209.680 | Reward: -1550.26
Episode 138 | Loss: 84.663 | Policy: 10.532 | Value: 148.262 | Reward: -1550.26
Episode 139 | Loss: 29.024 | Policy: 5.875 | Value: 46.297 | Reward: -1550.26
Episode 140 | Loss: 0.379 | Policy: -0.531 | Value: 1.818 | Reward: -1550.26
Episode 141 | Loss: 12.361 | Policy: -1.861 | Value: 28.443 | Reward: -1550.26
Episode 142 | Loss: 13.833 | Policy: -1.956 | Value: 31.578 | Reward: -1550.26
Episode 143 | Loss: 2.390 | Policy: -0.944 | Value: 6.668 | Reward: -1550.26
Episode 144 | Loss: 8.944 | Policy: 2.971 | Value: 11.945 | Reward: -1550.26
Episode 145 | Loss: 20.372 | Policy: 4.812 | Value: 31.118 | Reward: -1550.26
Episode 146 | Loss: 12.498 | Policy: 3.627 | Value: 17.741 | Reward: -1550.26
Episode 147 | Loss: -0.119 | Policy: -0.187 | Value: 0.136 | Reward: -1550.26
Episode 148 | Loss: 0.150 | Policy: -0.443 | Value: 1.187 | Reward: -1550.26
Episode 149 | Loss: 2.459 | Policy: 1.292 | Value: 2.333 | Reward: -1550.26
Episode 150 | Loss: 0.653 | Policy: 0.471 | Value: 0.366 | Reward: -1550.26
Episode 151 | Loss: 5.064 | Policy: -1.269 | Value: 12.667 | Reward: -1550.26
Episode 152 | Loss: 6.560 | Policy: -1.414 | Value: 15.947 | Reward: -1550.26
Episode 153 | Loss: 0.188 | Policy: -0.459 | Value: 1.294 | Reward: -1550.26
Episode 154 | Loss: 15.232 | Policy: 4.072 | Value: 22.320 | Reward: -1550.26
Episode 155 | Loss: 28.367 | Policy: 5.801 | Value: 45.132 | Reward: -1550.26
Episode 156 | Loss: 18.418 | Policy: 4.543 | Value: 27.749 | Reward: -1550.26
Episode 157 | Loss: 0.882 | Policy: 0.602 | Value: 0.559 | Reward: -1550.26
Episode 158 | Loss: 19.642 | Policy: -2.289 | Value: 43.862 | Reward: -1550.26
Episode 159 | Loss: 46.278 | Policy: -3.402 | Value: 99.360 | Reward: -1550.26
Episode 160 | Loss: 43.983 | Policy: -3.322 | Value: 94.611 | Reward: -1550.26
Episode 161 | Loss: 17.468 | Policy: -2.171 | Value: 39.279 | Reward: -1550.26
Episode 162 | Loss: 0.079 | Policy: 0.052 | Value: 0.054 | Reward: -1550.26
Episode 163 | Loss: 5.487 | Policy: 2.197 | Value: 6.580 | Reward: -1550.26
Episode 164 | Loss: 2.570 | Policy: 1.333 | Value: 2.475 | Reward: -1550.26
Episode 165 | Loss: 2.361 | Policy: -0.937 | Value: 6.597 | Reward: -1550.26
Episode 166 | Loss: 3.545 | Policy: -1.097 | Value: 9.282 | Reward: -1550.26
Episode 167 | Loss: -0.108 | Policy: -0.163 | Value: 0.110 | Reward: -1550.26
Episode 168 | Loss: 19.689 | Policy: 4.720 | Value: 29.937 | Reward: -1550.26
Episode 169 | Loss: 33.801 | Policy: 6.396 | Value: 54.811 | Reward: -1550.26
Episode 170 | Loss: 22.769 | Policy: 5.127 | Value: 35.283 | Reward: -1550.26
Episode 171 | Loss: 2.244 | Policy: 1.213 | Value: 2.061 | Reward: -1550.26
Episode 172 | Loss: 15.070 | Policy: -2.028 | Value: 34.195 | Reward: -1550.26
Episode 173 | Loss: 38.923 | Policy: -3.134 | Value: 84.114 | Reward: -1550.26
Episode 174 | Loss: 37.030 | Policy: -3.062 | Value: 80.184 | Reward: -1550.26
Episode 175 | Loss: 13.527 | Policy: -1.932 | Value: 30.918 | Reward: -1550.26
Episode 176 | Loss: 0.836 | Policy: 0.578 | Value: 0.517 | Reward: -1550.26
Episode 177 | Loss: 7.530 | Policy: 2.677 | Value: 9.707 | Reward: -1550.26
Episode 178 | Loss: 4.046 | Policy: 1.807 | Value: 4.478 | Reward: -1550.26
Episode 179 | Loss: 0.319 | Policy: -0.909 | Value: 2.457 | Reward: -1800.26
Episode 180 | Loss: 2.145 | Policy: -0.901 | Value: 6.093 | Reward: -1550.26
Episode 181 | Loss: 0.288 | Policy: 0.226 | Value: 0.124 | Reward: -1550.26
