H:\AI Course\GNN_VRP\training\trainer.py:24: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  state_t = torch.tensor(state, dtype=torch.float32).unsqueeze(0).to(self.device)
Episode 65 | Loss: 8.094 | Policy: 0.654 | Value: 14.891 | Entropy: 0.558
Episode 66 | Loss: 34.939 | Policy: 0.162 | Value: 69.563 | Entropy: 0.487
Episode 67 | Loss: 15.906 | Policy: 0.812 | Value: 30.197 | Entropy: 0.495
Episode 68 | Loss: 17.547 | Policy: 3.280 | Value: 28.545 | Entropy: 0.606
Episode 69 | Loss: 9.737 | Policy: 0.547 | Value: 18.391 | Entropy: 0.567
Episode 70 | Loss: 17.974 | Policy: 1.785 | Value: 32.389 | Entropy: 0.534
Episode 71 | Loss: 21.582 | Policy: 0.312 | Value: 42.553 | Entropy: 0.620
Episode 72 | Loss: 198.525 | Policy: -0.345 | Value: 397.752 | Entropy: 0.600
Episode 73 | Loss: 145.603 | Policy: -0.358 | Value: 291.933 | Entropy: 0.548
Episode 74 | Loss: 48.729 | Policy: 6.325 | Value: 84.821 | Entropy: 0.579
Episode 75 | Loss: 60.481 | Policy: 7.547 | Value: 105.878 | Entropy: 0.547
Episode 76 | Loss: 117.394 | Policy: 11.054 | Value: 212.691 | Entropy: 0.554
Episode 77 | Loss: 15.886 | Policy: 0.125 | Value: 31.534 | Entropy: 0.573
Episode 78 | Loss: 134.196 | Policy: 11.974 | Value: 244.455 | Entropy: 0.580
Episode 79 | Loss: 122.240 | Policy: 11.363 | Value: 221.765 | Entropy: 0.632
Episode 80 | Loss: 78.336 | Policy: 8.983 | Value: 138.720 | Entropy: 0.731
Episode 81 | Loss: 49.971 | Policy: 6.447 | Value: 87.064 | Entropy: 0.797
Episode 82 | Loss: 17.258 | Policy: 2.110 | Value: 30.312 | Entropy: 0.842
Episode 83 | Loss: 7.367 | Policy: 1.146 | Value: 12.459 | Entropy: 0.820
Episode 84 | Loss: 16.975 | Policy: 0.215 | Value: 33.537 | Entropy: 0.773
Episode 85 | Loss: 318.943 | Policy: -0.440 | Value: 638.782 | Entropy: 0.768
Episode 86 | Loss: 67.571 | Policy: -0.028 | Value: 135.214 | Entropy: 0.837
Episode 87 | Loss: 24.898 | Policy: -0.051 | Value: 49.915 | Entropy: 0.880
Episode 88 | Loss: 14.225 | Policy: 0.543 | Value: 27.383 | Entropy: 0.927
Episode 89 | Loss: 11.088 | Policy: 0.240 | Value: 21.715 | Entropy: 0.957
Episode 90 | Loss: 17.785 | Policy: 1.401 | Value: 32.787 | Entropy: 0.860
Episode 91 | Loss: 14.274 | Policy: 1.257 | Value: 26.049 | Entropy: 0.811
Episode 92 | Loss: 20.645 | Policy: 1.926 | Value: 37.456 | Entropy: 0.791
Episode 93 | Loss: 15.346 | Policy: 2.485 | Value: 25.739 | Entropy: 0.812
Episode 94 | Loss: 17.743 | Policy: 1.593 | Value: 32.318 | Entropy: 0.869
Episode 95 | Loss: 25.533 | Policy: 3.207 | Value: 44.670 | Entropy: 0.933
Episode 96 | Loss: 31.850 | Policy: 4.016 | Value: 55.688 | Entropy: 1.005
Episode 97 | Loss: 57.346 | Policy: 7.257 | Value: 100.198 | Entropy: 1.066
Episode 98 | Loss: 16.107 | Policy: 2.350 | Value: 27.534 | Entropy: 1.020
Episode 99 | Loss: 86.174 | Policy: 8.964 | Value: 154.438 | Entropy: 0.935
Episode 100 | Loss: 115.426 | Policy: -0.212 | Value: 231.291 | Entropy: 0.745
