H:\AI Course\GNN_VRP\core\training\trainer.py:24: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  state_t = torch.tensor(state, dtype=torch.float32).unsqueeze(0).to(self.device)
Episode 66 | Loss: 23.418 | Policy: 2.416 | Value: 42.008 | Entropy: 0.277
Episode 67 | Loss: 36.703 | Policy: 0.244 | Value: 72.925 | Entropy: 0.290
Episode 68 | Loss: 20.309 | Policy: 1.237 | Value: 38.151 | Entropy: 0.302
Episode 69 | Loss: 26.534 | Policy: 0.555 | Value: 51.966 | Entropy: 0.310
Episode 70 | Loss: 26.250 | Policy: 0.460 | Value: 51.585 | Entropy: 0.298
Episode 71 | Loss: 20.395 | Policy: 2.307 | Value: 36.182 | Entropy: 0.294
Episode 72 | Loss: 19.565 | Policy: 1.903 | Value: 35.330 | Entropy: 0.307
Episode 73 | Loss: 31.988 | Policy: 3.895 | Value: 56.192 | Entropy: 0.334
Episode 74 | Loss: 26.802 | Policy: 3.251 | Value: 47.109 | Entropy: 0.350
Episode 75 | Loss: 18.217 | Policy: 2.085 | Value: 32.272 | Entropy: 0.380
Episode 76 | Loss: 31.652 | Policy: 3.434 | Value: 56.443 | Entropy: 0.373
Episode 77 | Loss: 19.634 | Policy: 1.291 | Value: 36.693 | Entropy: 0.402
Episode 78 | Loss: 38.190 | Policy: 0.474 | Value: 75.441 | Entropy: 0.406
Episode 79 | Loss: 32.690 | Policy: 0.783 | Value: 63.823 | Entropy: 0.405
Episode 80 | Loss: 23.787 | Policy: 0.275 | Value: 47.031 | Entropy: 0.413
Episode 81 | Loss: 24.462 | Policy: 0.799 | Value: 47.335 | Entropy: 0.461
Episode 82 | Loss: 55.461 | Policy: 5.729 | Value: 99.475 | Entropy: 0.523
Episode 83 | Loss: 29.856 | Policy: 3.263 | Value: 53.195 | Entropy: 0.407
Episode 84 | Loss: 35.706 | Policy: 4.708 | Value: 62.002 | Entropy: 0.294
Episode 85 | Loss: 22.467 | Policy: 2.650 | Value: 39.635 | Entropy: 0.029
Episode 86 | Loss: 17.351 | Policy: 0.962 | Value: 32.779 | Entropy: 0.002
Episode 87 | Loss: 22.569 | Policy: 0.493 | Value: 44.151 | Entropy: 0.000
Episode 88 | Loss: 32.025 | Policy: 0.277 | Value: 63.495 | Entropy: 0.000
Episode 89 | Loss: 35.271 | Policy: 0.124 | Value: 70.294 | Entropy: 0.000
Episode 90 | Loss: 17.220 | Policy: 0.921 | Value: 32.598 | Entropy: 0.000
Episode 91 | Loss: 37.941 | Policy: 3.342 | Value: 69.198 | Entropy: 0.000
Episode 92 | Loss: 41.916 | Policy: 5.339 | Value: 73.155 | Entropy: 0.000
Episode 93 | Loss: 37.607 | Policy: 3.971 | Value: 67.273 | Entropy: 0.000
Episode 94 | Loss: 15.726 | Policy: 1.409 | Value: 28.634 | Entropy: 0.000
Episode 95 | Loss: 22.582 | Policy: 1.500 | Value: 42.165 | Entropy: 0.000
Episode 96 | Loss: 21.975 | Policy: 2.161 | Value: 39.627 | Entropy: 0.000
Episode 97 | Loss: 27.628 | Policy: 0.569 | Value: 54.117 | Entropy: 0.000
Episode 98 | Loss: 31.618 | Policy: 0.153 | Value: 62.932 | Entropy: 0.000
Episode 99 | Loss: 19.366 | Policy: 0.698 | Value: 37.337 | Entropy: 0.000
Episode 100 | Loss: 23.989 | Policy: 0.833 | Value: 46.311 | Entropy: 0.000
Episode 101 | Loss: 27.062 | Policy: 2.665 | Value: 48.795 | Entropy: 0.000
Episode 102 | Loss: 31.639 | Policy: 3.652 | Value: 55.973 | Entropy: 0.000
Episode 103 | Loss: 29.948 | Policy: 3.944 | Value: 52.009 | Entropy: 0.000
Episode 104 | Loss: 57.665 | Policy: 5.443 | Value: 104.444 | Entropy: 0.000
