Episode 69 | Loss: -0.064 | Policy: -0.063 | Value: 0.045 | Reward: 4904.24
Episode 70 | Loss: 0.006 | Policy: 0.029 | Value: 0.002 | Reward: 4909.33
Episode 71 | Loss: -0.006 | Policy: 0.018 | Value: 0.001 | Reward: 4909.15
Episode 72 | Loss: -0.105 | Policy: -0.103 | Value: 0.047 | Reward: 4904.29
Episode 73 | Loss: -0.082 | Policy: -0.075 | Value: 0.038 | Reward: 4909.23
Episode 74 | Loss: 0.026 | Policy: 0.049 | Value: 0.007 | Reward: 4909.23
Episode 75 | Loss: 0.027 | Policy: 0.050 | Value: 0.006 | Reward: 4909.25
Episode 76 | Loss: -0.076 | Policy: -0.064 | Value: 0.029 | Reward: 4909.13
Episode 77 | Loss: -0.079 | Policy: -0.064 | Value: 0.022 | Reward: 4909.23
Episode 78 | Loss: 0.062 | Policy: 0.083 | Value: 0.011 | Reward: 4909.35
Episode 79 | Loss: 0.053 | Policy: 0.075 | Value: 0.009 | Reward: 4909.25
Episode 80 | Loss: -0.064 | Policy: -0.051 | Value: 0.024 | Reward: 4909.18
Episode 81 | Loss: -0.053 | Policy: -0.036 | Value: 0.018 | Reward: 4909.20
Episode 82 | Loss: 0.085 | Policy: 0.104 | Value: 0.016 | Reward: 4909.18
Episode 83 | Loss: 0.087 | Policy: 0.105 | Value: 0.016 | Reward: 4909.35
Episode 84 | Loss: -0.059 | Policy: -0.038 | Value: 0.011 | Reward: 4909.30
Episode 85 | Loss: -0.056 | Policy: -0.032 | Value: 0.006 | Reward: 4909.03
Episode 86 | Loss: 0.139 | Policy: 0.149 | Value: 0.034 | Reward: 4909.08
Episode 87 | Loss: 0.143 | Policy: 0.153 | Value: 0.035 | Reward: 4909.28
Episode 88 | Loss: -0.054 | Policy: -0.028 | Value: 0.003 | Reward: 4909.13
Episode 89 | Loss: -0.035 | Policy: -0.007 | Value: 0.001 | Reward: 4909.25
Episode 90 | Loss: 0.165 | Policy: 0.171 | Value: 0.043 | Reward: 4909.25
Episode 91 | Loss: 0.144 | Policy: 0.154 | Value: 0.035 | Reward: 4909.10
Episode 92 | Loss: -0.046 | Policy: -0.021 | Value: 0.006 | Reward: 4909.35
Episode 93 | Loss: -0.037 | Policy: -0.012 | Value: 0.005 | Reward: 4908.98
Episode 94 | Loss: 0.122 | Policy: 0.136 | Value: 0.027 | Reward: 4909.23
Episode 95 | Loss: 0.101 | Policy: 0.118 | Value: 0.020 | Reward: 4909.03
Episode 96 | Loss: -0.067 | Policy: -0.046 | Value: 0.010 | Reward: 4909.00
Episode 97 | Loss: -0.071 | Policy: -0.050 | Value: 0.009 | Reward: 4909.13
Episode 98 | Loss: 0.094 | Policy: 0.110 | Value: 0.020 | Reward: 4909.03
Episode 99 | Loss: 0.074 | Policy: 0.093 | Value: 0.015 | Reward: 4908.88
Episode 100 | Loss: -0.079 | Policy: -0.062 | Value: 0.017 | Reward: 4909.20
Episode 101 | Loss: -0.066 | Policy: -0.047 | Value: 0.015 | Reward: 4909.13
Episode 102 | Loss: 0.066 | Policy: 0.087 | Value: 0.012 | Reward: 4909.25
Episode 103 | Loss: 0.051 | Policy: 0.074 | Value: 0.008 | Reward: 4909.08
Episode 104 | Loss: -0.070 | Policy: -0.054 | Value: 0.021 | Reward: 4909.18
Episode 105 | Loss: -0.062 | Policy: -0.044 | Value: 0.018 | Reward: 4908.93
Episode 106 | Loss: 0.062 | Policy: 0.084 | Value: 0.011 | Reward: 4909.20
Episode 107 | Loss: 0.052 | Policy: 0.075 | Value: 0.009 | Reward: 4909.40
Episode 108 | Loss: -0.073 | Policy: -0.056 | Value: 0.021 | Reward: 4909.15
Episode 109 | Loss: -0.076 | Policy: -0.057 | Value: 0.018 | Reward: 4909.13
Episode 110 | Loss: 0.047 | Policy: 0.071 | Value: 0.008 | Reward: 4909.18
Episode 111 | Loss: 0.027 | Policy: 0.053 | Value: 0.005 | Reward: 4909.23
Episode 112 | Loss: -0.099 | Policy: -0.086 | Value: 0.031 | Reward: 4909.03
Episode 113 | Loss: -0.096 | Policy: -0.082 | Value: 0.030 | Reward: 4909.08
Episode 114 | Loss: 0.015 | Policy: 0.041 | Value: 0.003 | Reward: 4909.18
Episode 115 | Loss: -0.002 | Policy: 0.026 | Value: 0.001 | Reward: 4908.85
Episode 116 | Loss: -0.102 | Policy: -0.096 | Value: 0.043 | Reward: 4909.08
Episode 117 | Loss: -0.097 | Policy: -0.091 | Value: 0.044 | Reward: 4909.38
Episode 118 | Loss: -0.018 | Policy: 0.010 | Value: 0.000 | Reward: 4909.13
Episode 119 | Loss: 0.013 | Policy: 0.039 | Value: 0.002 | Reward: 4909.18
Episode 120 | Loss: -0.097 | Policy: -0.080 | Value: 0.020 | Reward: 4909.00
Episode 121 | Loss: -0.076 | Policy: -0.054 | Value: 0.012 | Reward: 4909.30
Episode 122 | Loss: 0.103 | Policy: 0.120 | Value: 0.023 | Reward: 4909.08
Episode 123 | Loss: 0.113 | Policy: 0.128 | Value: 0.026 | Reward: 4909.10
Episode 124 | Loss: -0.060 | Policy: -0.033 | Value: 0.003 | Reward: 4908.93
Episode 125 | Loss: -0.042 | Policy: -0.014 | Value: 0.001 | Reward: 4909.20
Episode 126 | Loss: 0.151 | Policy: 0.160 | Value: 0.038 | Reward: 4909.35
Episode 127 | Loss: 0.141 | Policy: 0.152 | Value: 0.034 | Reward: 4909.30
Episode 128 | Loss: -0.040 | Policy: -0.012 | Value: 0.003 | Reward: 4909.28
Episode 129 | Loss: -0.039 | Policy: -0.011 | Value: 0.002 | Reward: 4909.48
Episode 130 | Loss: 0.146 | Policy: 0.157 | Value: 0.036 | Reward: 4908.98
Episode 131 | Loss: 0.136 | Policy: 0.149 | Value: 0.033 | Reward: 4909.10
Episode 132 | Loss: -0.054 | Policy: -0.025 | Value: 0.002 | Reward: 4908.98
Episode 133 | Loss: -0.050 | Policy: -0.021 | Value: 0.002 | Reward: 4909.15
Episode 134 | Loss: 0.130 | Policy: 0.144 | Value: 0.031 | Reward: 4909.13
Episode 135 | Loss: 0.101 | Policy: 0.119 | Value: 0.021 | Reward: 4908.95
Episode 136 | Loss: -0.058 | Policy: -0.035 | Value: 0.010 | Reward: 4909.23
Episode 137 | Loss: -0.058 | Policy: -0.036 | Value: 0.011 | Reward: 4908.90
Episode 138 | Loss: 0.075 | Policy: 0.095 | Value: 0.014 | Reward: 4908.95
Episode 139 | Loss: 0.060 | Policy: 0.082 | Value: 0.010 | Reward: 4909.15
Episode 140 | Loss: -0.061 | Policy: -0.043 | Value: 0.017 | Reward: 4909.13
Episode 141 | Loss: -0.071 | Policy: -0.051 | Value: 0.014 | Reward: 4908.98
Episode 142 | Loss: 0.066 | Policy: 0.087 | Value: 0.012 | Reward: 4909.28
Episode 143 | Loss: 0.057 | Policy: 0.079 | Value: 0.010 | Reward: 4909.00
Episode 144 | Loss: -0.073 | Policy: -0.054 | Value: 0.016 | Reward: 4908.85
Episode 145 | Loss: -0.081 | Policy: -0.061 | Value: 0.014 | Reward: 4909.35
Episode 146 | Loss: 0.062 | Policy: 0.084 | Value: 0.011 | Reward: 4909.23
Episode 147 | Loss: 0.051 | Policy: 0.075 | Value: 0.009 | Reward: 4908.98
Episode 148 | Loss: -0.069 | Policy: -0.049 | Value: 0.017 | Reward: 4909.00
Episode 149 | Loss: -0.073 | Policy: -0.051 | Value: 0.013 | Reward: 4908.93
Episode 150 | Loss: 0.069 | Policy: 0.092 | Value: 0.013 | Reward: 4909.20
Episode 151 | Loss: 0.064 | Policy: 0.087 | Value: 0.011 | Reward: 4909.20
Episode 152 | Loss: -0.077 | Policy: -0.054 | Value: 0.011 | Reward: 4909.10
Episode 153 | Loss: -0.056 | Policy: -0.031 | Value: 0.006 | Reward: 4909.28
Episode 154 | Loss: 0.116 | Policy: 0.131 | Value: 0.025 | Reward: 4909.03
