Episode 71 | Loss: 0.337 | Policy: -0.411 | Value: 1.497 | Reward: -60.03
Episode 72 | Loss: -0.149 | Policy: -0.452 | Value: 0.606 | Reward: -70.03
Episode 73 | Loss: -0.178 | Policy: -0.363 | Value: 0.370 | Reward: -70.03
Episode 74 | Loss: -0.133 | Policy: -0.159 | Value: 0.052 | Reward: -70.03
Episode 75 | Loss: 0.463 | Policy: 0.367 | Value: 0.193 | Reward: -70.03
Episode 76 | Loss: 0.906 | Policy: 0.638 | Value: 0.536 | Reward: -70.03
Episode 77 | Loss: 0.942 | Policy: 0.658 | Value: 0.567 | Reward: -70.03
Episode 78 | Loss: 0.593 | Policy: 0.454 | Value: 0.279 | Reward: -70.03
Episode 79 | Loss: 0.055 | Policy: 0.048 | Value: 0.016 | Reward: -70.03
Episode 80 | Loss: 0.310 | Policy: -0.368 | Value: 1.357 | Reward: -60.03
Episode 81 | Loss: 0.641 | Policy: -0.481 | Value: 2.245 | Reward: -60.03
Episode 82 | Loss: -0.055 | Policy: -0.543 | Value: 0.976 | Reward: -70.03
Episode 83 | Loss: 1.464 | Policy: -0.394 | Value: 3.716 | Reward: -50.03
Episode 84 | Loss: 0.163 | Policy: -0.299 | Value: 0.925 | Reward: -60.03
Episode 85 | Loss: -0.021 | Policy: -0.097 | Value: 0.153 | Reward: -60.03
Episode 86 | Loss: 0.541 | Policy: 0.408 | Value: 0.267 | Reward: -60.03
Episode 87 | Loss: 1.266 | Policy: 0.809 | Value: 0.915 | Reward: -60.03
Episode 88 | Loss: 1.599 | Policy: 0.962 | Value: 1.275 | Reward: -60.03
Episode 89 | Loss: 1.441 | Policy: 0.891 | Value: 1.100 | Reward: -60.03
Episode 90 | Loss: 0.357 | Policy: 0.265 | Value: 0.185 | Reward: -50.03
Episode 91 | Loss: 0.365 | Policy: -0.071 | Value: 0.873 | Reward: -40.04
Episode 92 | Loss: 0.096 | Policy: -0.083 | Value: 0.359 | Reward: -50.03
Episode 93 | Loss: 0.568 | Policy: 0.433 | Value: 0.271 | Reward: -70.03
Episode 94 | Loss: -0.055 | Policy: -0.090 | Value: 0.071 | Reward: -60.03
Episode 95 | Loss: -0.045 | Policy: -0.071 | Value: 0.054 | Reward: -60.03
Episode 96 | Loss: 0.663 | Policy: 0.488 | Value: 0.353 | Reward: -70.03
Episode 97 | Loss: 0.119 | Policy: 0.097 | Value: 0.046 | Reward: -60.03
Episode 98 | Loss: 0.371 | Policy: 0.290 | Value: 0.163 | Reward: -70.03
Episode 99 | Loss: -0.097 | Policy: -0.237 | Value: 0.283 | Reward: -60.03
Episode 100 | Loss: 0.261 | Policy: -0.290 | Value: 1.106 | Reward: -50.03
Episode 101 | Loss: -0.119 | Policy: -0.154 | Value: 0.074 | Reward: -70.03
Episode 102 | Loss: -0.118 | Policy: -0.168 | Value: 0.103 | Reward: -60.03
Episode 103 | Loss: 0.233 | Policy: 0.187 | Value: 0.095 | Reward: -60.03
Episode 104 | Loss: 0.497 | Policy: 0.376 | Value: 0.246 | Reward: -60.03
Episode 105 | Loss: 1.084 | Policy: 0.717 | Value: 0.737 | Reward: -70.03
Episode 106 | Loss: -0.039 | Policy: -0.065 | Value: 0.058 | Reward: -50.03
Episode 107 | Loss: 0.697 | Policy: 0.501 | Value: 0.398 | Reward: -70.03
Episode 108 | Loss: -0.022 | Policy: -0.040 | Value: 0.041 | Reward: -60.03
Episode 109 | Loss: -0.012 | Policy: -0.095 | Value: 0.171 | Reward: 29.97
Episode 110 | Loss: 0.723 | Policy: 0.519 | Value: 0.413 | Reward: -70.03
Episode 111 | Loss: 0.170 | Policy: 0.140 | Value: 0.065 | Reward: -60.03
Episode 112 | Loss: 0.388 | Policy: 0.303 | Value: 0.175 | Reward: -70.03
Episode 113 | Loss: -0.114 | Policy: -0.242 | Value: 0.262 | Reward: -60.03
Episode 114 | Loss: -0.171 | Policy: -0.212 | Value: 0.090 | Reward: -70.03
Episode 115 | Loss: -0.082 | Policy: -0.263 | Value: 0.371 | Reward: -60.03
Episode 116 | Loss: -0.034 | Policy: -0.282 | Value: 0.507 | Reward: -50.03
Episode 117 | Loss: 0.683 | Policy: 0.502 | Value: 0.372 | Reward: -70.03
Episode 118 | Loss: 0.326 | Policy: 0.268 | Value: 0.131 | Reward: -60.03
Episode 119 | Loss: 0.008 | Policy: -0.007 | Value: 0.046 | Reward: -50.03
