Episode 71 | Loss: 0.159 | Policy: -0.227 | Value: 0.772 | Reward: -40.04
Episode 72 | Loss: 0.030 | Policy: -0.182 | Value: 0.425 | Reward: -40.04
Episode 73 | Loss: 0.085 | Policy: 0.059 | Value: 0.051 | Reward: -50.03
Episode 74 | Loss: 0.268 | Policy: 0.214 | Value: 0.108 | Reward: -50.03
Episode 75 | Loss: 0.117 | Policy: 0.090 | Value: 0.054 | Reward: -50.04
Episode 76 | Loss: 0.021 | Policy: -0.009 | Value: 0.059 | Reward: -60.04
Episode 77 | Loss: -0.115 | Policy: -0.255 | Value: 0.279 | Reward: -60.03
Episode 78 | Loss: 0.543 | Policy: -0.259 | Value: 1.604 | Reward: -40.03
Episode 79 | Loss: 0.157 | Policy: -0.232 | Value: 0.778 | Reward: -50.04
Episode 80 | Loss: 0.504 | Policy: -0.122 | Value: 1.251 | Reward: -30.03
Episode 81 | Loss: 0.626 | Policy: 0.466 | Value: 0.320 | Reward: -60.04
Episode 82 | Loss: 0.484 | Policy: 0.364 | Value: 0.238 | Reward: -50.04
Episode 83 | Loss: 0.439 | Policy: 0.331 | Value: 0.216 | Reward: -50.03
Episode 84 | Loss: 0.176 | Policy: 0.139 | Value: 0.073 | Reward: -50.03
Episode 85 | Loss: 0.056 | Policy: -0.089 | Value: 0.291 | Reward: -50.04
Episode 86 | Loss: -0.058 | Policy: -0.118 | Value: 0.119 | Reward: -60.03
Episode 87 | Loss: 0.071 | Policy: -0.138 | Value: 0.418 | Reward: -50.03
Episode 88 | Loss: 0.116 | Policy: -0.076 | Value: 0.385 | Reward: -40.04
Episode 89 | Loss: 0.348 | Policy: 0.279 | Value: 0.138 | Reward: -50.03
Episode 90 | Loss: 0.669 | Policy: 0.490 | Value: 0.359 | Reward: -50.03
Episode 91 | Loss: 0.102 | Policy: 0.080 | Value: 0.044 | Reward: -30.04
Episode 92 | Loss: 0.628 | Policy: 0.467 | Value: 0.323 | Reward: -50.03
Episode 93 | Loss: 0.327 | Policy: 0.265 | Value: 0.125 | Reward: -50.03
Episode 94 | Loss: -0.079 | Policy: -0.109 | Value: 0.060 | Reward: -50.04
Episode 95 | Loss: -0.031 | Policy: -0.174 | Value: 0.287 | Reward: -40.04
Episode 96 | Loss: 0.040 | Policy: -0.001 | Value: 0.082 | Reward: -60.03
Episode 97 | Loss: -0.089 | Policy: -0.161 | Value: 0.143 | Reward: -50.03
Episode 98 | Loss: -0.034 | Policy: -0.071 | Value: 0.075 | Reward: -50.04
Episode 99 | Loss: 0.104 | Policy: 0.062 | Value: 0.085 | Reward: -30.03
Episode 100 | Loss: 0.630 | Policy: 0.462 | Value: 0.337 | Reward: -50.03
Episode 101 | Loss: 0.978 | Policy: 0.661 | Value: 0.632 | Reward: -60.04
Episode 102 | Loss: 0.023 | Policy: -0.038 | Value: 0.122 | Reward: -30.03
Episode 103 | Loss: 0.117 | Policy: 0.102 | Value: 0.030 | Reward: -50.03
Episode 104 | Loss: -0.009 | Policy: -0.034 | Value: 0.051 | Reward: -50.03
Episode 105 | Loss: 0.069 | Policy: -0.062 | Value: 0.262 | Reward: -40.04
Episode 106 | Loss: 0.131 | Policy: 0.111 | Value: 0.041 | Reward: -50.03
Episode 107 | Loss: 0.505 | Policy: 0.390 | Value: 0.229 | Reward: -60.03
Episode 108 | Loss: 0.162 | Policy: 0.138 | Value: 0.048 | Reward: -60.03
Episode 109 | Loss: 0.115 | Policy: -0.174 | Value: 0.578 | Reward: -50.03
Episode 110 | Loss: 0.591 | Policy: -0.217 | Value: 1.617 | Reward: -40.03
Episode 111 | Loss: 0.180 | Policy: -0.211 | Value: 0.783 | Reward: -50.03
Episode 112 | Loss: 0.027 | Policy: -0.127 | Value: 0.307 | Reward: -50.04
Episode 113 | Loss: 0.430 | Policy: 0.342 | Value: 0.178 | Reward: -60.03
Episode 114 | Loss: 0.763 | Policy: 0.549 | Value: 0.427 | Reward: -60.03
Episode 115 | Loss: 0.688 | Policy: 0.505 | Value: 0.365 | Reward: -60.03
Episode 116 | Loss: 0.021 | Policy: -0.053 | Value: 0.148 | Reward: -40.03
