Episode 71 | Loss: 0.292 | Policy: 0.260 | Value: 0.111 | Reward: 155.63
Episode 72 | Loss: 0.000 | Policy: 0.018 | Value: 0.010 | Reward: 150.26
Episode 73 | Loss: -0.032 | Policy: -0.020 | Value: 0.015 | Reward: 99.57
Episode 74 | Loss: 0.005 | Policy: 0.022 | Value: 0.004 | Reward: 150.57
Episode 75 | Loss: 0.054 | Policy: 0.064 | Value: 0.015 | Reward: 150.44
Episode 76 | Loss: -0.087 | Policy: -0.090 | Value: 0.042 | Reward: 150.19
Episode 77 | Loss: -0.033 | Policy: -0.035 | Value: 0.039 | Reward: 99.94
Episode 78 | Loss: 0.223 | Policy: 0.198 | Value: 0.083 | Reward: 150.57
Episode 79 | Loss: 0.180 | Policy: 0.167 | Value: 0.053 | Reward: 151.19
Episode 80 | Loss: -0.017 | Policy: -0.022 | Value: 0.034 | Reward: 150.44
Episode 81 | Loss: 0.003 | Policy: -0.009 | Value: 0.046 | Reward: 151.69
Episode 82 | Loss: 0.155 | Policy: 0.140 | Value: 0.047 | Reward: 150.94
Episode 83 | Loss: 0.112 | Policy: 0.106 | Value: 0.030 | Reward: 151.19
Episode 84 | Loss: -0.003 | Policy: -0.028 | Value: 0.067 | Reward: 150.44
Episode 85 | Loss: -0.019 | Policy: -0.049 | Value: 0.077 | Reward: 156.38
Episode 86 | Loss: 0.018 | Policy: 0.023 | Value: 0.004 | Reward: 151.32
Episode 87 | Loss: -0.005 | Policy: 0.001 | Value: 0.003 | Reward: 150.94
Episode 88 | Loss: 0.057 | Policy: 0.060 | Value: 0.009 | Reward: 156.88
Episode 89 | Loss: 0.022 | Policy: 0.006 | Value: 0.048 | Reward: 156.00
Episode 90 | Loss: 0.047 | Policy: 0.043 | Value: 0.024 | Reward: 151.69
Episode 91 | Loss: 0.286 | Policy: 0.247 | Value: 0.095 | Reward: 156.13
Episode 92 | Loss: 0.289 | Policy: 0.249 | Value: 0.098 | Reward: 156.13
Episode 93 | Loss: 0.040 | Policy: 0.043 | Value: 0.013 | Reward: 150.69
Episode 94 | Loss: 0.058 | Policy: -0.044 | Value: 0.222 | Reward: 151.19
Episode 95 | Loss: 0.091 | Policy: -0.084 | Value: 0.370 | Reward: 151.19
Episode 96 | Loss: 0.043 | Policy: -0.047 | Value: 0.200 | Reward: 150.57
Episode 97 | Loss: 0.003 | Policy: 0.013 | Value: 0.003 | Reward: 150.94
Episode 98 | Loss: 0.688 | Policy: 0.505 | Value: 0.391 | Reward: 156.63
Episode 99 | Loss: 1.131 | Policy: 0.733 | Value: 0.823 | Reward: 157.13
Episode 100 | Loss: 1.071 | Policy: 0.702 | Value: 0.766 | Reward: 150.19
Episode 101 | Loss: 0.591 | Policy: 0.439 | Value: 0.333 | Reward: 155.76
Episode 102 | Loss: -0.015 | Policy: -0.017 | Value: 0.033 | Reward: 156.50
Episode 103 | Loss: -0.021 | Policy: -0.090 | Value: 0.168 | Reward: 151.69
Episode 104 | Loss: 0.027 | Policy: -0.073 | Value: 0.230 | Reward: 155.25
Episode 105 | Loss: -0.010 | Policy: -0.036 | Value: 0.078 | Reward: 155.63
Episode 106 | Loss: 0.227 | Policy: 0.202 | Value: 0.077 | Reward: 155.88
Episode 107 | Loss: 0.393 | Policy: 0.319 | Value: 0.174 | Reward: 155.38
Episode 108 | Loss: 0.238 | Policy: 0.203 | Value: 0.094 | Reward: 155.88
Episode 109 | Loss: 0.032 | Policy: 0.011 | Value: 0.067 | Reward: 156.00
Episode 110 | Loss: 0.015 | Policy: -0.030 | Value: 0.115 | Reward: 156.38
Episode 111 | Loss: 0.006 | Policy: 0.004 | Value: 0.028 | Reward: 155.50
Episode 112 | Loss: 0.306 | Policy: 0.263 | Value: 0.110 | Reward: 156.50
Episode 113 | Loss: 0.432 | Policy: 0.350 | Value: 0.190 | Reward: 156.38
Episode 114 | Loss: 0.206 | Policy: 0.186 | Value: 0.066 | Reward: 155.63
Episode 115 | Loss: -0.018 | Policy: -0.039 | Value: 0.068 | Reward: 156.38
Episode 116 | Loss: -0.014 | Policy: -0.070 | Value: 0.138 | Reward: 156.88
Episode 117 | Loss: -0.027 | Policy: -0.041 | Value: 0.051 | Reward: 156.88
Episode 118 | Loss: 0.235 | Policy: 0.204 | Value: 0.085 | Reward: 155.63
Episode 119 | Loss: 0.353 | Policy: 0.291 | Value: 0.146 | Reward: 155.75
Episode 120 | Loss: 0.156 | Policy: 0.145 | Value: 0.044 | Reward: 155.01
Episode 121 | Loss: -0.020 | Policy: -0.043 | Value: 0.068 | Reward: 155.38
Episode 122 | Loss: 0.025 | Policy: -0.032 | Value: 0.137 | Reward: 155.13
Episode 123 | Loss: -0.007 | Policy: -0.014 | Value: 0.039 | Reward: 150.44
Episode 124 | Loss: 0.222 | Policy: 0.201 | Value: 0.069 | Reward: 156.00
Episode 125 | Loss: 0.345 | Policy: 0.291 | Value: 0.137 | Reward: 156.13
Episode 126 | Loss: 0.162 | Policy: 0.153 | Value: 0.047 | Reward: 156.26
Episode 127 | Loss: -0.003 | Policy: -0.023 | Value: 0.069 | Reward: 155.01
Episode 128 | Loss: 0.028 | Policy: -0.027 | Value: 0.139 | Reward: 155.38
Episode 129 | Loss: -0.012 | Policy: -0.018 | Value: 0.043 | Reward: 155.13
Episode 130 | Loss: 0.196 | Policy: 0.185 | Value: 0.056 | Reward: 156.00
