C:\Users\thari\anaconda3\Lib\site-packages\torch\nn\modules\loss.py:610: UserWarning: Using a target size (torch.Size([4])) that is different to the input size (torch.Size([1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
Episode 65 | Loss: 0.241 | Policy: -0.092 | Value: 0.667 | Reward: -485.61
Episode 66 | Loss: 0.379 | Policy: 0.004 | Value: 0.750 | Reward: -487.48
Episode 67 | Loss: 0.297 | Policy: -0.037 | Value: 0.668 | Reward: -485.61
Episode 68 | Loss: 0.340 | Policy: -0.036 | Value: 0.752 | Reward: -487.48
Episode 69 | Loss: 0.233 | Policy: -0.101 | Value: 0.668 | Reward: -485.61
Episode 70 | Loss: 0.341 | Policy: 0.004 | Value: 0.674 | Reward: -485.61
Episode 71 | Loss: 0.346 | Policy: 0.009 | Value: 0.675 | Reward: -485.61
Episode 72 | Loss: 0.257 | Policy: -0.076 | Value: 0.667 | Reward: -485.61
Episode 73 | Loss: 0.200 | Policy: -0.136 | Value: 0.672 | Reward: -485.61
Episode 74 | Loss: 0.350 | Policy: -0.025 | Value: 0.751 | Reward: -487.48
Episode 75 | Loss: 0.343 | Policy: 0.006 | Value: 0.675 | Reward: -485.61
Episode 76 | Loss: 0.348 | Policy: 0.010 | Value: 0.675 | Reward: -485.61
Episode 77 | Loss: 0.363 | Policy: -0.012 | Value: 0.750 | Reward: -487.48
Episode 78 | Loss: 0.207 | Policy: -0.128 | Value: 0.671 | Reward: -485.61
Episode 79 | Loss: 0.248 | Policy: -0.086 | Value: 0.667 | Reward: -485.61
Episode 80 | Loss: 0.409 | Policy: 0.032 | Value: 0.753 | Reward: -487.48
Episode 81 | Loss: 0.329 | Policy: -0.007 | Value: 0.672 | Reward: -485.61
Episode 82 | Loss: 0.228 | Policy: -0.106 | Value: 0.668 | Reward: -485.61
Episode 83 | Loss: 0.229 | Policy: -0.105 | Value: 0.668 | Reward: -485.61
Episode 84 | Loss: 0.320 | Policy: -0.015 | Value: 0.671 | Reward: -485.61
Episode 85 | Loss: 0.312 | Policy: -0.023 | Value: 0.670 | Reward: -485.61
Episode 86 | Loss: 0.215 | Policy: -0.119 | Value: 0.670 | Reward: -485.61
Episode 87 | Loss: 0.334 | Policy: -0.042 | Value: 0.752 | Reward: -475.61
Episode 88 | Loss: 0.308 | Policy: -0.027 | Value: 0.669 | Reward: -485.61
Episode 89 | Loss: 0.301 | Policy: -0.034 | Value: 0.669 | Reward: -492.49
Episode 90 | Loss: 0.291 | Policy: -0.086 | Value: 0.753 | Reward: -485.61
Episode 91 | Loss: 0.211 | Policy: -0.125 | Value: 0.670 | Reward: -492.49
Episode 92 | Loss: 0.300 | Policy: -0.034 | Value: 0.669 | Reward: -485.61
Episode 93 | Loss: 0.294 | Policy: -0.040 | Value: 0.668 | Reward: -485.61
Episode 94 | Loss: 0.203 | Policy: -0.133 | Value: 0.672 | Reward: -485.61
Episode 95 | Loss: 0.206 | Policy: -0.129 | Value: 0.671 | Reward: -485.61
Episode 96 | Loss: 0.295 | Policy: -0.039 | Value: 0.668 | Reward: -485.61
Episode 97 | Loss: 0.290 | Policy: -0.044 | Value: 0.668 | Reward: -485.61
Episode 98 | Loss: 0.200 | Policy: -0.136 | Value: 0.672 | Reward: -485.61
Episode 99 | Loss: 0.204 | Policy: -0.132 | Value: 0.672 | Reward: -485.61
Episode 100 | Loss: 0.292 | Policy: -0.042 | Value: 0.668 | Reward: -485.61
Episode 101 | Loss: 0.287 | Policy: -0.047 | Value: 0.667 | Reward: -492.49
Episode 102 | Loss: 0.203 | Policy: -0.133 | Value: 0.672 | Reward: -492.49
Episode 103 | Loss: 0.211 | Policy: -0.124 | Value: 0.670 | Reward: -492.49
Episode 104 | Loss: 0.304 | Policy: -0.030 | Value: 0.669 | Reward: -485.61
Episode 105 | Loss: 0.388 | Policy: 0.013 | Value: 0.751 | Reward: -479.35
Episode 106 | Loss: 0.241 | Policy: -0.093 | Value: 0.667 | Reward: -485.61
Episode 107 | Loss: 0.257 | Policy: -0.077 | Value: 0.667 | Reward: -485.61
Episode 108 | Loss: 0.381 | Policy: 0.006 | Value: 0.750 | Reward: -475.60
Episode 109 | Loss: 0.282 | Policy: -0.051 | Value: 0.667 | Reward: -485.61
Episode 110 | Loss: 0.211 | Policy: -0.124 | Value: 0.670 | Reward: -485.61
Episode 111 | Loss: 0.231 | Policy: -0.103 | Value: 0.668 | Reward: -485.61
Episode 112 | Loss: 0.340 | Policy: 0.003 | Value: 0.674 | Reward: -485.61
Episode 113 | Loss: 0.350 | Policy: 0.012 | Value: 0.676 | Reward: -485.61
Episode 114 | Loss: 0.368 | Policy: -0.007 | Value: 0.750 | Reward: -475.60
Episode 115 | Loss: 0.204 | Policy: -0.132 | Value: 0.672 | Reward: -485.61
Episode 116 | Loss: 0.230 | Policy: -0.104 | Value: 0.668 | Reward: -485.61
Episode 117 | Loss: 0.345 | Policy: 0.007 | Value: 0.675 | Reward: -485.61
Episode 118 | Loss: 0.360 | Policy: 0.021 | Value: 0.678 | Reward: -485.61
Episode 119 | Loss: 0.281 | Policy: -0.052 | Value: 0.667 | Reward: -485.61
Episode 120 | Loss: 0.309 | Policy: -0.071 | Value: 0.760 | Reward: -487.48
Episode 121 | Loss: 0.137 | Policy: -0.209 | Value: 0.692 | Reward: -492.49
Episode 122 | Loss: 0.187 | Policy: -0.150 | Value: 0.675 | Reward: -485.61
Episode 123 | Loss: 0.324 | Policy: -0.012 | Value: 0.671 | Reward: -485.61
Episode 124 | Loss: 0.368 | Policy: 0.028 | Value: 0.680 | Reward: -492.49
Episode 125 | Loss: 0.313 | Policy: -0.022 | Value: 0.670 | Reward: -485.61
Episode 126 | Loss: 0.186 | Policy: -0.152 | Value: 0.675 | Reward: -492.49
Episode 127 | Loss: 0.158 | Policy: -0.183 | Value: 0.683 | Reward: -485.61
Episode 128 | Loss: 0.209 | Policy: -0.127 | Value: 0.671 | Reward: -485.61
Episode 129 | Loss: 0.346 | Policy: 0.008 | Value: 0.675 | Reward: -485.61
Episode 130 | Loss: 0.388 | Policy: 0.045 | Value: 0.685 | Reward: -485.61
Episode 131 | Loss: 0.404 | Policy: 0.028 | Value: 0.753 | Reward: -487.48
Episode 132 | Loss: 0.201 | Policy: -0.136 | Value: 0.672 | Reward: -485.61
Episode 133 | Loss: 0.171 | Policy: -0.168 | Value: 0.679 | Reward: -485.61
Episode 134 | Loss: 0.221 | Policy: -0.114 | Value: 0.669 | Reward: -485.61
Episode 135 | Loss: 0.419 | Policy: 0.041 | Value: 0.755 | Reward: -487.48
Episode 136 | Loss: 0.398 | Policy: 0.054 | Value: 0.688 | Reward: -485.61
Episode 137 | Loss: 0.339 | Policy: 0.002 | Value: 0.674 | Reward: -485.61
Episode 138 | Loss: 0.209 | Policy: -0.127 | Value: 0.671 | Reward: -485.61
Episode 139 | Loss: 0.179 | Policy: -0.159 | Value: 0.677 | Reward: -485.61
Episode 140 | Loss: 0.228 | Policy: -0.106 | Value: 0.668 | Reward: -485.61
Episode 141 | Loss: 0.422 | Policy: 0.044 | Value: 0.756 | Reward: -483.09
Episode 142 | Loss: 0.402 | Policy: 0.058 | Value: 0.689 | Reward: -485.61
Episode 143 | Loss: 0.344 | Policy: 0.007 | Value: 0.675 | Reward: -485.61
Episode 144 | Loss: 0.332 | Policy: -0.045 | Value: 0.753 | Reward: -475.61
Episode 145 | Loss: 0.322 | Policy: -0.056 | Value: 0.756 | Reward: -487.48
Episode 146 | Loss: 0.232 | Policy: -0.102 | Value: 0.668 | Reward: -485.61
Episode 147 | Loss: 0.366 | Policy: 0.026 | Value: 0.679 | Reward: -485.61
Episode 148 | Loss: 0.405 | Policy: 0.060 | Value: 0.690 | Reward: -485.61
Episode 149 | Loss: 0.347 | Policy: 0.009 | Value: 0.675 | Reward: -485.61
Episode 150 | Loss: 0.218 | Policy: -0.117 | Value: 0.669 | Reward: -485.61
Episode 151 | Loss: 0.188 | Policy: -0.150 | Value: 0.675 | Reward: -485.61
Episode 152 | Loss: 0.235 | Policy: -0.098 | Value: 0.668 | Reward: -485.61
Episode 153 | Loss: 0.368 | Policy: 0.028 | Value: 0.680 | Reward: -485.61
Episode 154 | Loss: 0.406 | Policy: 0.061 | Value: 0.690 | Reward: -485.61
Episode 155 | Loss: 0.349 | Policy: 0.011 | Value: 0.676 | Reward: -485.61
Episode 156 | Loss: 0.221 | Policy: -0.114 | Value: 0.669 | Reward: -485.61
Episode 157 | Loss: 0.191 | Policy: -0.146 | Value: 0.674 | Reward: -485.61
Episode 158 | Loss: 0.238 | Policy: -0.096 | Value: 0.667 | Reward: -485.61
Episode 159 | Loss: 0.361 | Policy: 0.022 | Value: 0.678 | Reward: -485.61
Episode 160 | Loss: 0.390 | Policy: 0.048 | Value: 0.685 | Reward: -485.61
Episode 161 | Loss: 0.328 | Policy: -0.008 | Value: 0.672 | Reward: -485.61
Episode 162 | Loss: 0.199 | Policy: -0.138 | Value: 0.673 | Reward: -485.61
Episode 163 | Loss: 0.166 | Policy: -0.175 | Value: 0.681 | Reward: -485.61
Episode 164 | Loss: 0.207 | Policy: -0.129 | Value: 0.671 | Reward: -485.61
Episode 165 | Loss: 0.402 | Policy: 0.026 | Value: 0.752 | Reward: -487.48
Episode 166 | Loss: 0.358 | Policy: 0.019 | Value: 0.678 | Reward: -485.61
C:\Users\thari\anaconda3\Lib\site-packages\torch\nn\modules\loss.py:610: UserWarning: Using a target size (torch.Size([5])) that is different to the input size (torch.Size([1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
Episode 167 | Loss: 0.431 | Policy: 0.031 | Value: 0.800 | Reward: -487.48
Episode 168 | Loss: 0.231 | Policy: -0.103 | Value: 0.668 | Reward: -485.61
Episode 169 | Loss: 0.245 | Policy: -0.088 | Value: 0.667 | Reward: -485.61
Episode 170 | Loss: 0.308 | Policy: -0.026 | Value: 0.669 | Reward: -485.61
Episode 171 | Loss: 0.284 | Policy: -0.049 | Value: 0.667 | Reward: -485.61
Episode 172 | Loss: 0.203 | Policy: -0.133 | Value: 0.672 | Reward: -485.61
Episode 173 | Loss: 0.327 | Policy: -0.049 | Value: 0.753 | Reward: -475.61
C:\Users\thari\anaconda3\Lib\site-packages\torch\nn\modules\loss.py:610: UserWarning: Using a target size (torch.Size([6])) that is different to the input size (torch.Size([1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
Episode 174 | Loss: 0.477 | Policy: 0.060 | Value: 0.833 | Reward: -475.61
Episode 175 | Loss: 0.366 | Policy: 0.026 | Value: 0.679 | Reward: -485.61
Episode 176 | Loss: 0.354 | Policy: 0.015 | Value: 0.677 | Reward: -485.61
Episode 177 | Loss: 0.261 | Policy: -0.072 | Value: 0.667 | Reward: -485.61
Episode 178 | Loss: 0.189 | Policy: -0.148 | Value: 0.675 | Reward: -485.61
Episode 179 | Loss: 0.198 | Policy: -0.139 | Value: 0.673 | Reward: -485.61
Episode 180 | Loss: 0.365 | Policy: -0.010 | Value: 0.750 | Reward: -475.61
