Episode 71 | Loss: 0.157 | Policy: 0.121 | Value: 0.082 | Reward: -50.03
Episode 72 | Loss: -0.091 | Policy: -0.225 | Value: 0.279 | Reward: -50.03
Episode 73 | Loss: 0.006 | Policy: -0.297 | Value: 0.616 | Reward: -50.03
Episode 74 | Loss: -0.014 | Policy: -0.272 | Value: 0.527 | Reward: -50.03
Episode 75 | Loss: -0.093 | Policy: -0.163 | Value: 0.149 | Reward: -50.03
Episode 76 | Loss: 0.268 | Policy: 0.222 | Value: 0.101 | Reward: -50.03
Episode 77 | Loss: 0.592 | Policy: 0.443 | Value: 0.306 | Reward: -50.03
Episode 78 | Loss: 0.970 | Policy: 0.656 | Value: 0.636 | Reward: -60.03
Episode 79 | Loss: 0.081 | Policy: 0.073 | Value: 0.025 | Reward: -50.03
Episode 80 | Loss: -0.035 | Policy: -0.183 | Value: 0.305 | Reward: -50.03
Episode 81 | Loss: -0.116 | Policy: -0.236 | Value: 0.249 | Reward: -60.03
Episode 82 | Loss: -0.115 | Policy: -0.202 | Value: 0.183 | Reward: -60.03
Episode 83 | Loss: 0.089 | Policy: -0.135 | Value: 0.458 | Reward: -40.03
Episode 84 | Loss: 0.699 | Policy: 0.512 | Value: 0.382 | Reward: -60.03
Episode 85 | Loss: 0.560 | Policy: 0.428 | Value: 0.274 | Reward: -50.03
Episode 86 | Loss: 0.992 | Policy: 0.676 | Value: 0.642 | Reward: -60.03
Episode 87 | Loss: 0.444 | Policy: 0.353 | Value: 0.192 | Reward: -60.03
Episode 88 | Loss: -0.093 | Policy: -0.121 | Value: 0.066 | Reward: -60.03
Episode 89 | Loss: -0.114 | Policy: -0.237 | Value: 0.256 | Reward: -60.03
Episode 90 | Loss: 0.311 | Policy: -0.245 | Value: 1.123 | Reward: -40.03
Episode 91 | Loss: -0.070 | Policy: -0.158 | Value: 0.188 | Reward: -50.03
Episode 92 | Loss: 0.575 | Policy: 0.439 | Value: 0.285 | Reward: -60.03
Episode 93 | Loss: 0.928 | Policy: 0.641 | Value: 0.585 | Reward: -60.03
Episode 94 | Loss: 0.795 | Policy: 0.566 | Value: 0.467 | Reward: -60.03
Episode 95 | Loss: 0.002 | Policy: -0.001 | Value: 0.013 | Reward: -50.03
Episode 96 | Loss: -0.073 | Policy: -0.113 | Value: 0.090 | Reward: -50.03
Episode 97 | Loss: -0.034 | Policy: -0.139 | Value: 0.221 | Reward: -40.03
Episode 98 | Loss: 0.091 | Policy: 0.084 | Value: 0.026 | Reward: -50.03
Episode 99 | Loss: 0.410 | Policy: 0.329 | Value: 0.174 | Reward: -60.03
Episode 100 | Loss: -0.073 | Policy: -0.089 | Value: 0.044 | Reward: -50.03
Episode 101 | Loss: -0.066 | Policy: -0.076 | Value: 0.032 | Reward: -50.03
Episode 102 | Loss: 0.452 | Policy: 0.359 | Value: 0.199 | Reward: -60.03
Episode 103 | Loss: -0.011 | Policy: -0.019 | Value: 0.027 | Reward: -40.03
Episode 104 | Loss: 0.369 | Policy: 0.302 | Value: 0.144 | Reward: -50.03
Episode 105 | Loss: 0.281 | Policy: 0.239 | Value: 0.093 | Reward: -50.03
Episode 106 | Loss: 0.217 | Policy: 0.188 | Value: 0.066 | Reward: -60.03
Episode 107 | Loss: -0.077 | Policy: -0.317 | Value: 0.486 | Reward: -50.03
Episode 108 | Loss: 0.462 | Policy: -0.261 | Value: 1.452 | Reward: -40.03
Episode 109 | Loss: -0.003 | Policy: -0.417 | Value: 0.835 | Reward: -50.03
Episode 110 | Loss: 0.150 | Policy: -0.188 | Value: 0.682 | Reward: -40.03
Episode 111 | Loss: 0.009 | Policy: 0.009 | Value: 0.008 | Reward: -50.03
Episode 112 | Loss: 0.601 | Policy: 0.460 | Value: 0.289 | Reward: -50.03
Episode 113 | Loss: 0.873 | Policy: 0.610 | Value: 0.529 | Reward: -50.03
