C:\Users\thari\anaconda3\Lib\site-packages\torch\nn\modules\loss.py:610: UserWarning: Using a target size (torch.Size([4])) that is different to the input size (torch.Size([1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
Episode 62 | Loss: 0.211 | Policy: -0.132 | Value: 0.687 | Reward: -483.11
Episode 63 | Loss: 0.279 | Policy: -0.054 | Value: 0.667 | Reward: -483.11
Episode 64 | Loss: 0.420 | Policy: 0.074 | Value: 0.692 | Reward: -483.11
Episode 65 | Loss: 0.447 | Policy: 0.096 | Value: 0.701 | Reward: -483.11
Episode 66 | Loss: 0.441 | Policy: 0.066 | Value: 0.752 | Reward: -475.61
Episode 67 | Loss: 0.213 | Policy: -0.130 | Value: 0.686 | Reward: -483.11
Episode 68 | Loss: 0.314 | Policy: -0.076 | Value: 0.781 | Reward: -475.61
Episode 69 | Loss: 0.209 | Policy: -0.135 | Value: 0.688 | Reward: -483.11
Episode 70 | Loss: 0.308 | Policy: -0.026 | Value: 0.668 | Reward: -483.11
Episode 71 | Loss: 0.437 | Policy: 0.062 | Value: 0.751 | Reward: -475.61
Episode 72 | Loss: 0.276 | Policy: -0.058 | Value: 0.667 | Reward: -483.11
Episode 73 | Loss: 0.274 | Policy: -0.060 | Value: 0.667 | Reward: -483.11
Episode 74 | Loss: 0.332 | Policy: -0.004 | Value: 0.672 | Reward: -483.11
Episode 75 | Loss: 0.413 | Policy: 0.038 | Value: 0.750 | Reward: -475.61
Episode 76 | Loss: 0.190 | Policy: -0.060 | Value: 0.500 | Reward: -493.11
Episode 77 | Loss: 0.214 | Policy: -0.128 | Value: 0.685 | Reward: -483.11
Episode 78 | Loss: 0.350 | Policy: -0.030 | Value: 0.761 | Reward: -475.61
Episode 79 | Loss: 0.305 | Policy: -0.029 | Value: 0.668 | Reward: -483.11
Episode 80 | Loss: 0.417 | Policy: 0.042 | Value: 0.750 | Reward: -475.61
Episode 81 | Loss: 0.407 | Policy: 0.032 | Value: 0.750 | Reward: -475.61
Episode 82 | Loss: 0.301 | Policy: -0.033 | Value: 0.667 | Reward: -483.11
Episode 83 | Loss: 0.244 | Policy: -0.092 | Value: 0.672 | Reward: -483.11
Episode 84 | Loss: 0.266 | Policy: -0.068 | Value: 0.668 | Reward: -485.61
Episode 85 | Loss: 0.411 | Policy: 0.135 | Value: 0.552 | Reward: -496.85
Episode 86 | Loss: 0.408 | Policy: 0.064 | Value: 0.688 | Reward: -483.11
Episode 87 | Loss: 0.310 | Policy: -0.024 | Value: 0.668 | Reward: -483.11
Episode 88 | Loss: 0.322 | Policy: -0.066 | Value: 0.775 | Reward: -475.61
Episode 89 | Loss: 0.296 | Policy: -0.103 | Value: 0.797 | Reward: -475.61
Episode 90 | Loss: 0.316 | Policy: -0.074 | Value: 0.780 | Reward: -475.61
Episode 91 | Loss: 0.271 | Policy: -0.063 | Value: 0.667 | Reward: -483.11
Episode 92 | Loss: 0.545 | Policy: 0.155 | Value: 0.780 | Reward: -473.11
Episode 93 | Loss: 0.669 | Policy: 0.264 | Value: 0.810 | Reward: -483.11
Episode 94 | Loss: 0.649 | Policy: 0.249 | Value: 0.800 | Reward: -484.36
Episode 95 | Loss: 0.493 | Policy: 0.133 | Value: 0.719 | Reward: -483.11
Episode 96 | Loss: 0.274 | Policy: -0.059 | Value: 0.667 | Reward: -485.61
Episode 97 | Loss: 0.205 | Policy: -0.140 | Value: 0.691 | Reward: -483.11
Episode 98 | Loss: 0.207 | Policy: -0.138 | Value: 0.690 | Reward: -483.11
