Episode 71 | Loss: 1.408 | Policy: 0.875 | Value: 1.093 | Reward: -50.03
Episode 72 | Loss: 0.538 | Policy: 0.420 | Value: 0.263 | Reward: -40.03
Episode 73 | Loss: 0.159 | Policy: 0.151 | Value: 0.042 | Reward: -50.03
Episode 74 | Loss: -0.183 | Policy: -0.753 | Value: 1.167 | Reward: -30.03
Episode 75 | Loss: 0.117 | Policy: -0.678 | Value: 1.616 | Reward: -40.03
Episode 76 | Loss: 0.124 | Policy: -0.780 | Value: 1.837 | Reward: -40.04
Episode 77 | Loss: -0.001 | Policy: -0.654 | Value: 1.335 | Reward: -40.03
Episode 78 | Loss: -0.235 | Policy: -0.469 | Value: 0.496 | Reward: -40.03
Episode 79 | Loss: -0.016 | Policy: -0.005 | Value: 0.007 | Reward: -40.03
Episode 80 | Loss: 1.753 | Policy: 1.044 | Value: 1.443 | Reward: -80.03
Episode 81 | Loss: 2.566 | Policy: 1.344 | Value: 2.471 | Reward: -60.03
Episode 82 | Loss: 1.545 | Policy: 0.929 | Value: 1.258 | Reward: -40.03
Episode 83 | Loss: 1.550 | Policy: 0.943 | Value: 1.238 | Reward: -50.03
Episode 84 | Loss: 0.731 | Policy: 0.529 | Value: 0.426 | Reward: -50.04
Episode 85 | Loss: -0.032 | Policy: -0.034 | Value: 0.023 | Reward: -50.03
Episode 86 | Loss: -0.051 | Policy: -0.235 | Value: 0.383 | Reward: -50.03
Episode 87 | Loss: -0.109 | Policy: -0.296 | Value: 0.383 | Reward: -60.03
Episode 88 | Loss: 0.066 | Policy: -0.290 | Value: 0.718 | Reward: -50.03
Episode 89 | Loss: -0.041 | Policy: -0.198 | Value: 0.319 | Reward: -50.03
Episode 90 | Loss: -0.024 | Policy: -0.032 | Value: 0.021 | Reward: -50.03
Episode 91 | Loss: 1.193 | Policy: 0.775 | Value: 0.841 | Reward: -60.03
Episode 92 | Loss: 1.881 | Policy: 1.083 | Value: 1.600 | Reward: -60.04
Episode 93 | Loss: 2.004 | Policy: 1.134 | Value: 1.742 | Reward: -60.03
Episode 94 | Loss: 1.568 | Policy: 0.954 | Value: 1.231 | Reward: -60.03
Episode 95 | Loss: 0.774 | Policy: 0.560 | Value: 0.430 | Reward: -60.03
Episode 96 | Loss: -0.019 | Policy: -0.082 | Value: 0.128 | Reward: -50.03
Episode 97 | Loss: -0.065 | Policy: -0.136 | Value: 0.143 | Reward: -60.03
Episode 98 | Loss: -0.060 | Policy: -0.149 | Value: 0.178 | Reward: -60.03
Episode 99 | Loss: 0.021 | Policy: -0.121 | Value: 0.285 | Reward: -50.03
Episode 100 | Loss: 0.260 | Policy: 0.222 | Value: 0.075 | Reward: -60.03
Episode 101 | Loss: 0.437 | Policy: 0.350 | Value: 0.174 | Reward: -60.04
Episode 102 | Loss: 0.016 | Policy: -0.039 | Value: 0.111 | Reward: -40.03
Episode 103 | Loss: 0.450 | Policy: 0.359 | Value: 0.183 | Reward: -60.03
Episode 104 | Loss: 0.287 | Policy: 0.243 | Value: 0.090 | Reward: -60.03
Episode 105 | Loss: -0.049 | Policy: -0.056 | Value: 0.015 | Reward: -60.03
