Episode 69 | Loss: -0.026 | Policy: -0.225 | Value: 0.404 | Reward: -1760.29
Episode 70 | Loss: -0.072 | Policy: -0.178 | Value: 0.218 | Reward: -1760.29
Episode 71 | Loss: 1.824 | Policy: 0.940 | Value: 1.772 | Reward: -1650.31
Episode 72 | Loss: 0.150 | Policy: 0.128 | Value: 0.048 | Reward: -1760.26
Episode 73 | Loss: 0.482 | Policy: 0.321 | Value: 0.325 | Reward: -1700.31
Episode 74 | Loss: -0.075 | Policy: -0.180 | Value: 0.212 | Reward: -1700.34
Episode 75 | Loss: -0.092 | Policy: -0.255 | Value: 0.326 | Reward: -1700.26
Episode 76 | Loss: -0.071 | Policy: -0.154 | Value: 0.169 | Reward: -1700.26
Episode 77 | Loss: 0.431 | Policy: 0.301 | Value: 0.262 | Reward: -1700.39
Episode 78 | Loss: 0.616 | Policy: 0.429 | Value: 0.376 | Reward: -1700.39
Episode 79 | Loss: -0.057 | Policy: -0.090 | Value: 0.067 | Reward: -1760.34
Episode 80 | Loss: 1.328 | Policy: 0.761 | Value: 1.135 | Reward: -1650.31
Episode 81 | Loss: 1.206 | Policy: 0.567 | Value: 1.278 | Reward: -1160.37
Episode 82 | Loss: 0.081 | Policy: -0.237 | Value: 0.635 | Reward: -1760.29
Episode 83 | Loss: 0.152 | Policy: -0.259 | Value: 0.823 | Reward: -1760.34
Episode 84 | Loss: 0.212 | Policy: 0.154 | Value: 0.115 | Reward: -1650.34
Episode 85 | Loss: 0.116 | Policy: -0.180 | Value: 0.590 | Reward: -1760.34
Episode 86 | Loss: -0.001 | Policy: -0.012 | Value: 0.022 | Reward: -1700.39
Episode 87 | Loss: 0.533 | Policy: 0.409 | Value: 0.249 | Reward: -1700.39
Episode 88 | Loss: 0.418 | Policy: 0.319 | Value: 0.198 | Reward: -1760.34
Episode 89 | Loss: 0.470 | Policy: 0.364 | Value: 0.211 | Reward: -1700.29
Episode 90 | Loss: 0.045 | Policy: 0.019 | Value: 0.052 | Reward: -1700.34
Episode 91 | Loss: 0.142 | Policy: -0.091 | Value: 0.465 | Reward: -1760.26
Episode 92 | Loss: 0.274 | Policy: 0.231 | Value: 0.086 | Reward: -1650.29
Episode 93 | Loss: 0.132 | Policy: -0.064 | Value: 0.393 | Reward: -1760.34
Episode 94 | Loss: 0.110 | Policy: 0.087 | Value: 0.045 | Reward: -1700.39
Episode 95 | Loss: 0.048 | Policy: 0.031 | Value: 0.033 | Reward: -1700.39
Episode 96 | Loss: 0.197 | Policy: 0.169 | Value: 0.057 | Reward: -1700.39
Episode 97 | Loss: 0.037 | Policy: -0.042 | Value: 0.160 | Reward: -1760.34
Episode 98 | Loss: 0.336 | Policy: 0.275 | Value: 0.123 | Reward: -1700.39
Episode 99 | Loss: 0.195 | Policy: 0.166 | Value: 0.060 | Reward: -1700.39
Episode 100 | Loss: -0.088 | Policy: -0.128 | Value: 0.086 | Reward: -1700.39
Episode 101 | Loss: -0.096 | Policy: -0.157 | Value: 0.129 | Reward: -1700.39
Episode 102 | Loss: -0.019 | Policy: -0.034 | Value: 0.040 | Reward: -1700.39
Episode 103 | Loss: 0.518 | Policy: 0.391 | Value: 0.261 | Reward: -1700.39
Episode 104 | Loss: 0.656 | Policy: 0.479 | Value: 0.359 | Reward: -1700.39
Episode 105 | Loss: 0.326 | Policy: 0.266 | Value: 0.123 | Reward: -1700.39
Episode 106 | Loss: -0.070 | Policy: -0.104 | Value: 0.071 | Reward: -1700.34
Episode 107 | Loss: -0.049 | Policy: -0.136 | Value: 0.177 | Reward: -1700.34
Episode 108 | Loss: -0.053 | Policy: -0.080 | Value: 0.056 | Reward: -1700.39
Episode 109 | Loss: 0.295 | Policy: 0.248 | Value: 0.097 | Reward: -1700.34
Episode 110 | Loss: 0.443 | Policy: 0.352 | Value: 0.185 | Reward: -1700.39
Episode 111 | Loss: 0.182 | Policy: 0.160 | Value: 0.048 | Reward: -1700.39
Episode 112 | Loss: -0.026 | Policy: -0.092 | Value: 0.137 | Reward: -1700.39
Episode 113 | Loss: -0.002 | Policy: -0.131 | Value: 0.267 | Reward: -1700.39
Episode 114 | Loss: -0.029 | Policy: -0.077 | Value: 0.107 | Reward: -1700.34
Episode 115 | Loss: 0.104 | Policy: 0.048 | Value: 0.123 | Reward: -1760.36
Episode 116 | Loss: 0.791 | Policy: 0.555 | Value: 0.483 | Reward: -1760.36
Episode 117 | Loss: 2.125 | Policy: 1.171 | Value: 1.914 | Reward: -1700.34
Episode 118 | Loss: 2.169 | Policy: 1.188 | Value: 1.967 | Reward: -1700.39
Episode 119 | Loss: 1.514 | Policy: 0.921 | Value: 1.187 | Reward: -1700.39
Episode 120 | Loss: 0.520 | Policy: 0.402 | Value: 0.237 | Reward: -1700.34
Episode 121 | Loss: -0.010 | Policy: -0.098 | Value: 0.176 | Reward: -1700.39
Episode 122 | Loss: 0.154 | Policy: -0.197 | Value: 0.703 | Reward: -1700.34
Episode 123 | Loss: 0.164 | Policy: -0.202 | Value: 0.732 | Reward: -1700.29
Episode 124 | Loss: 0.017 | Policy: -0.120 | Value: 0.275 | Reward: -1700.39
Episode 125 | Loss: 0.144 | Policy: 0.127 | Value: 0.034 | Reward: -1700.39
Episode 126 | Loss: 0.367 | Policy: 0.299 | Value: 0.136 | Reward: -1700.39
Episode 127 | Loss: 0.179 | Policy: 0.156 | Value: 0.045 | Reward: -1700.26
Episode 128 | Loss: -0.028 | Policy: -0.084 | Value: 0.110 | Reward: -1700.39
Episode 129 | Loss: -0.004 | Policy: -0.022 | Value: 0.036 | Reward: -1650.39
Episode 130 | Loss: -0.019 | Policy: -0.053 | Value: 0.068 | Reward: -1700.31
Episode 131 | Loss: 0.153 | Policy: 0.095 | Value: 0.116 | Reward: -1760.39
Episode 132 | Loss: 1.438 | Policy: 0.887 | Value: 1.103 | Reward: -1700.29
