Episode 69 | Loss: -0.045 | Policy: -0.039 | Value: 0.020 | Reward: 6004.14
Episode 70 | Loss: 0.290 | Policy: 0.257 | Value: 0.100 | Reward: 6004.19
Episode 71 | Loss: 0.429 | Policy: 0.352 | Value: 0.187 | Reward: 6004.41
Episode 72 | Loss: 0.210 | Policy: 0.198 | Value: 0.059 | Reward: 6004.39
Episode 73 | Loss: -0.056 | Policy: -0.062 | Value: 0.047 | Reward: 6004.19
Episode 74 | Loss: -0.081 | Policy: -0.120 | Value: 0.113 | Reward: 6009.40
Episode 75 | Loss: -0.061 | Policy: -0.055 | Value: 0.025 | Reward: 6004.34
Episode 76 | Loss: 0.267 | Policy: 0.242 | Value: 0.088 | Reward: 6004.09
Episode 77 | Loss: 0.400 | Policy: 0.335 | Value: 0.169 | Reward: 6009.20
Episode 78 | Loss: 0.186 | Policy: 0.181 | Value: 0.050 | Reward: 6004.16
Episode 79 | Loss: -0.091 | Policy: -0.099 | Value: 0.055 | Reward: 6009.33
Episode 80 | Loss: -0.063 | Policy: -0.106 | Value: 0.124 | Reward: 6004.11
Episode 81 | Loss: -0.072 | Policy: -0.067 | Value: 0.030 | Reward: 6009.20
Episode 82 | Loss: 0.243 | Policy: 0.226 | Value: 0.077 | Reward: 6004.06
Episode 83 | Loss: 0.377 | Policy: 0.321 | Value: 0.155 | Reward: 6009.35
Episode 84 | Loss: 0.179 | Policy: 0.177 | Value: 0.046 | Reward: 6009.38
Episode 85 | Loss: -0.085 | Policy: -0.091 | Value: 0.055 | Reward: 6009.15
Episode 86 | Loss: -0.111 | Policy: -0.143 | Value: 0.110 | Reward: 6009.10
Episode 87 | Loss: -0.073 | Policy: -0.058 | Value: 0.014 | Reward: 6009.20
Episode 88 | Loss: 0.400 | Policy: 0.335 | Value: 0.176 | Reward: 6009.13
Episode 89 | Loss: 0.538 | Policy: 0.425 | Value: 0.271 | Reward: 6009.23
Episode 90 | Loss: 0.270 | Policy: 0.249 | Value: 0.090 | Reward: 6009.03
Episode 91 | Loss: -0.038 | Policy: -0.035 | Value: 0.042 | Reward: 6009.03
Episode 92 | Loss: -0.053 | Policy: -0.085 | Value: 0.109 | Reward: 6009.30
Episode 93 | Loss: -0.025 | Policy: -0.014 | Value: 0.023 | Reward: 6009.25
Episode 94 | Loss: 0.301 | Policy: 0.272 | Value: 0.104 | Reward: 6009.40
Episode 95 | Loss: 0.434 | Policy: 0.359 | Value: 0.194 | Reward: 6009.18
Episode 96 | Loss: 0.228 | Policy: 0.216 | Value: 0.070 | Reward: 6009.43
Episode 97 | Loss: -0.095 | Policy: -0.090 | Value: 0.035 | Reward: 6009.25
Episode 98 | Loss: -0.085 | Policy: -0.109 | Value: 0.092 | Reward: 6009.38
Episode 99 | Loss: -0.067 | Policy: -0.054 | Value: 0.019 | Reward: 6009.30
Episode 100 | Loss: 0.261 | Policy: 0.240 | Value: 0.088 | Reward: 6009.18
Episode 101 | Loss: 0.380 | Policy: 0.324 | Value: 0.159 | Reward: 6009.10
Episode 102 | Loss: 0.179 | Policy: 0.180 | Value: 0.046 | Reward: 6009.18
Episode 103 | Loss: -0.068 | Policy: -0.068 | Value: 0.049 | Reward: 6009.35
Episode 104 | Loss: -0.078 | Policy: -0.109 | Value: 0.111 | Reward: 6009.18
Episode 105 | Loss: -0.072 | Policy: -0.061 | Value: 0.027 | Reward: 6009.13
Episode 106 | Loss: 0.227 | Policy: 0.216 | Value: 0.070 | Reward: 6004.19
Episode 107 | Loss: 0.354 | Policy: 0.310 | Value: 0.137 | Reward: 6009.25
Episode 108 | Loss: 0.155 | Policy: 0.160 | Value: 0.039 | Reward: 6009.23
Episode 109 | Loss: -0.079 | Policy: -0.080 | Value: 0.053 | Reward: 6009.25
Episode 110 | Loss: -0.108 | Policy: -0.141 | Value: 0.117 | Reward: 6009.33
Episode 111 | Loss: -0.078 | Policy: -0.069 | Value: 0.031 | Reward: 6009.30
Episode 112 | Loss: 0.207 | Policy: 0.200 | Value: 0.062 | Reward: 6009.03
Episode 113 | Loss: 0.332 | Policy: 0.293 | Value: 0.127 | Reward: 6009.30
Episode 114 | Loss: 0.141 | Policy: 0.149 | Value: 0.034 | Reward: 6009.23
Episode 115 | Loss: -0.092 | Policy: -0.097 | Value: 0.059 | Reward: 6009.05
Episode 116 | Loss: -0.101 | Policy: -0.139 | Value: 0.126 | Reward: 6009.33
Episode 117 | Loss: -0.082 | Policy: -0.075 | Value: 0.037 | Reward: 6009.48
Episode 118 | Loss: 0.179 | Policy: 0.179 | Value: 0.048 | Reward: 6009.33
Episode 119 | Loss: 0.294 | Policy: 0.266 | Value: 0.106 | Reward: 6003.99
Episode 120 | Loss: 0.114 | Policy: 0.126 | Value: 0.024 | Reward: 6009.18
Episode 121 | Loss: -0.086 | Policy: -0.098 | Value: 0.072 | Reward: 6009.35
Episode 122 | Loss: -0.083 | Policy: -0.132 | Value: 0.146 | Reward: 6009.45
Episode 123 | Loss: -0.085 | Policy: -0.087 | Value: 0.050 | Reward: 6009.08
Episode 124 | Loss: 0.148 | Policy: 0.153 | Value: 0.035 | Reward: 6009.00
Episode 125 | Loss: 0.260 | Policy: 0.240 | Value: 0.084 | Reward: 6009.28
Episode 126 | Loss: 0.086 | Policy: 0.100 | Value: 0.015 | Reward: 6009.20
Episode 127 | Loss: -0.087 | Policy: -0.107 | Value: 0.081 | Reward: 6009.38
Episode 128 | Loss: -0.081 | Policy: -0.135 | Value: 0.151 | Reward: 6009.15
Episode 129 | Loss: -0.062 | Policy: -0.066 | Value: 0.049 | Reward: 6009.10
Episode 130 | Loss: 0.147 | Policy: 0.151 | Value: 0.034 | Reward: 6004.09
Episode 131 | Loss: 0.259 | Policy: 0.239 | Value: 0.083 | Reward: 6009.03
Episode 132 | Loss: 0.095 | Policy: 0.107 | Value: 0.017 | Reward: 6004.11
Episode 133 | Loss: -0.086 | Policy: -0.101 | Value: 0.073 | Reward: 6004.36
Episode 134 | Loss: -0.070 | Policy: -0.118 | Value: 0.139 | Reward: 6009.40
Episode 135 | Loss: -0.069 | Policy: -0.070 | Value: 0.044 | Reward: 6009.15
Episode 136 | Loss: 0.158 | Policy: 0.160 | Value: 0.039 | Reward: 6009.20
Episode 137 | Loss: 0.270 | Policy: 0.246 | Value: 0.091 | Reward: 6004.21
Episode 138 | Loss: 0.100 | Policy: 0.112 | Value: 0.019 | Reward: 6009.08
Episode 139 | Loss: -0.093 | Policy: -0.106 | Value: 0.070 | Reward: 6004.34
Episode 140 | Loss: -0.107 | Policy: -0.153 | Value: 0.137 | Reward: 6004.34
Episode 141 | Loss: -0.088 | Policy: -0.088 | Value: 0.045 | Reward: 6004.34
Episode 142 | Loss: 0.142 | Policy: 0.148 | Value: 0.033 | Reward: 6004.04
Episode 143 | Loss: 0.246 | Policy: 0.228 | Value: 0.078 | Reward: 6009.35
Episode 144 | Loss: 0.081 | Policy: 0.097 | Value: 0.014 | Reward: 6009.13
Episode 145 | Loss: -0.091 | Policy: -0.108 | Value: 0.078 | Reward: 6009.45
Episode 146 | Loss: -0.153 | Policy: -0.206 | Value: 0.151 | Reward: 6003.96
Episode 147 | Loss: -0.094 | Policy: -0.101 | Value: 0.058 | Reward: 6004.29
Episode 148 | Loss: 0.106 | Policy: 0.118 | Value: 0.021 | Reward: 6004.34
Episode 149 | Loss: 0.200 | Policy: 0.195 | Value: 0.056 | Reward: 6004.29
Episode 150 | Loss: 0.040 | Policy: 0.061 | Value: 0.006 | Reward: 6004.29
Episode 151 | Loss: -0.112 | Policy: -0.140 | Value: 0.103 | Reward: 6009.35
Episode 152 | Loss: -0.127 | Policy: -0.194 | Value: 0.181 | Reward: 6004.44
Episode 153 | Loss: -0.094 | Policy: -0.107 | Value: 0.073 | Reward: 6004.04
Episode 154 | Loss: 0.082 | Policy: 0.098 | Value: 0.014 | Reward: 6009.30
Episode 155 | Loss: 0.176 | Policy: 0.177 | Value: 0.047 | Reward: 6009.15
Episode 156 | Loss: 0.025 | Policy: 0.047 | Value: 0.004 | Reward: 6009.15
Episode 157 | Loss: -0.127 | Policy: -0.159 | Value: 0.112 | Reward: 6009.33
Episode 158 | Loss: -0.122 | Policy: -0.193 | Value: 0.192 | Reward: 6009.20
Episode 159 | Loss: -0.122 | Policy: -0.137 | Value: 0.082 | Reward: 6009.13
Episode 160 | Loss: 0.057 | Policy: 0.078 | Value: 0.010 | Reward: 6009.38
Episode 161 | Loss: 0.148 | Policy: 0.156 | Value: 0.037 | Reward: 6009.40
Episode 162 | Loss: 0.002 | Policy: 0.028 | Value: 0.001 | Reward: 6009.08
Episode 163 | Loss: -0.135 | Policy: -0.170 | Value: 0.124 | Reward: 6009.40
Episode 164 | Loss: -0.114 | Policy: -0.190 | Value: 0.207 | Reward: 6009.45
Episode 165 | Loss: -0.136 | Policy: -0.155 | Value: 0.093 | Reward: 6009.28
Episode 166 | Loss: 0.035 | Policy: 0.059 | Value: 0.006 | Reward: 6009.18
Episode 167 | Loss: 0.126 | Policy: 0.138 | Value: 0.028 | Reward: 6009.25
Episode 168 | Loss: -0.018 | Policy: 0.008 | Value: 0.000 | Reward: 6009.15
Episode 169 | Loss: -0.119 | Policy: -0.131 | Value: 0.076 | Reward: 6009.10
Episode 170 | Loss: -0.140 | Policy: -0.155 | Value: 0.085 | Reward: 6009.20
Episode 171 | Loss: -0.062 | Policy: -0.037 | Value: 0.005 | Reward: 6009.48
Episode 172 | Loss: 0.343 | Policy: 0.302 | Value: 0.137 | Reward: 6008.98
Episode 173 | Loss: 0.535 | Policy: 0.428 | Value: 0.270 | Reward: 6009.08
Episode 174 | Loss: 0.400 | Policy: 0.341 | Value: 0.173 | Reward: 6009.20
Episode 175 | Loss: 0.050 | Policy: 0.073 | Value: 0.008 | Reward: 6009.00
Episode 176 | Loss: -0.124 | Policy: -0.191 | Value: 0.187 | Reward: 6003.89
Episode 177 | Loss: -0.171 | Policy: -0.372 | Value: 0.452 | Reward: 6009.38
