Episode 71 | Loss: 1.451 | Policy: 0.906 | Value: 1.098 | Reward: -962.62
Episode 72 | Loss: 0.650 | Policy: 0.491 | Value: 0.325 | Reward: -962.87
Episode 73 | Loss: -0.043 | Policy: -0.048 | Value: 0.018 | Reward: -963.62
Episode 74 | Loss: -0.073 | Policy: -0.185 | Value: 0.233 | Reward: -962.87
Episode 75 | Loss: -0.178 | Policy: -0.319 | Value: 0.291 | Reward: -962.62
Episode 76 | Loss: -0.082 | Policy: -0.138 | Value: 0.123 | Reward: -962.62
Episode 77 | Loss: 0.072 | Policy: 0.073 | Value: 0.010 | Reward: -963.62
Episode 78 | Loss: 0.012 | Policy: -0.007 | Value: 0.051 | Reward: -862.62
Episode 79 | Loss: 0.673 | Policy: 0.507 | Value: 0.346 | Reward: -963.37
Episode 80 | Loss: 0.789 | Policy: 0.574 | Value: 0.444 | Reward: -962.62
Episode 81 | Loss: 0.524 | Policy: 0.414 | Value: 0.233 | Reward: -962.87
Episode 82 | Loss: 0.053 | Policy: 0.057 | Value: 0.007 | Reward: -962.62
Episode 83 | Loss: 0.085 | Policy: -0.324 | Value: 0.833 | Reward: -862.62
Episode 84 | Loss: -0.101 | Policy: -0.462 | Value: 0.738 | Reward: -962.62
Episode 85 | Loss: 0.274 | Policy: -0.466 | Value: 1.497 | Reward: -862.62
Episode 86 | Loss: 0.090 | Policy: -0.390 | Value: 0.978 | Reward: -863.37
Episode 87 | Loss: -0.122 | Policy: -0.135 | Value: 0.046 | Reward: -962.62
Episode 88 | Loss: 0.477 | Policy: 0.381 | Value: 0.210 | Reward: -962.62
Episode 89 | Loss: 0.483 | Policy: 0.387 | Value: 0.211 | Reward: -863.37
Episode 90 | Loss: 0.560 | Policy: 0.436 | Value: 0.268 | Reward: -862.62
Episode 91 | Loss: 0.319 | Policy: 0.274 | Value: 0.109 | Reward: -863.37
Episode 92 | Loss: -0.044 | Policy: -0.040 | Value: 0.011 | Reward: -862.87
Episode 93 | Loss: -0.072 | Policy: -0.087 | Value: 0.048 | Reward: -862.62
Episode 94 | Loss: -0.031 | Policy: -0.089 | Value: 0.133 | Reward: -762.87
Episode 95 | Loss: 0.279 | Policy: 0.244 | Value: 0.087 | Reward: -862.62
Episode 96 | Loss: 0.384 | Policy: 0.319 | Value: 0.146 | Reward: -863.62
Episode 97 | Loss: 0.018 | Policy: 0.019 | Value: 0.012 | Reward: -762.87
Episode 98 | Loss: 0.325 | Policy: 0.276 | Value: 0.111 | Reward: -862.87
