H:\AI Course\GNN_VRP\training\trainer.py:24: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  state_t = torch.tensor(state, dtype=torch.float32).unsqueeze(0).to(self.device)
Episode 66 | Loss: 33.060 | Policy: 3.178 | Value: 59.771 | Entropy: 0.361
Episode 67 | Loss: 48.899 | Policy: 4.965 | Value: 87.876 | Entropy: 0.389
Episode 68 | Loss: 33.661 | Policy: 3.126 | Value: 61.077 | Entropy: 0.394
Episode 69 | Loss: 32.830 | Policy: 2.358 | Value: 60.952 | Entropy: 0.407
Episode 70 | Loss: 31.964 | Policy: 3.894 | Value: 56.150 | Entropy: 0.420
Episode 71 | Loss: 31.959 | Policy: 1.356 | Value: 61.214 | Entropy: 0.435
Episode 72 | Loss: 147.995 | Policy: -0.442 | Value: 296.884 | Entropy: 0.445
Episode 73 | Loss: 86.617 | Policy: -0.199 | Value: 173.642 | Entropy: 0.466
Episode 74 | Loss: 29.574 | Policy: 1.198 | Value: 56.762 | Entropy: 0.486
Episode 75 | Loss: 29.078 | Policy: 2.030 | Value: 54.108 | Entropy: 0.528
Episode 76 | Loss: 19.907 | Policy: 1.689 | Value: 36.449 | Entropy: 0.569
Episode 77 | Loss: 39.337 | Policy: 4.237 | Value: 70.212 | Entropy: 0.616
Episode 78 | Loss: 59.507 | Policy: 6.994 | Value: 105.039 | Entropy: 0.643
Episode 79 | Loss: 54.277 | Policy: 6.463 | Value: 95.641 | Entropy: 0.629
Episode 80 | Loss: 66.297 | Policy: 7.218 | Value: 118.166 | Entropy: 0.395
Episode 81 | Loss: 45.832 | Policy: 4.979 | Value: 81.716 | Entropy: 0.567
Episode 82 | Loss: 35.077 | Policy: 0.959 | Value: 68.244 | Entropy: 0.410
Episode 83 | Loss: 31.159 | Policy: 2.052 | Value: 58.220 | Entropy: 0.350
Episode 84 | Loss: 35.927 | Policy: 1.153 | Value: 69.552 | Entropy: 0.203
Episode 85 | Loss: 39.433 | Policy: 0.682 | Value: 77.506 | Entropy: 0.249
Episode 86 | Loss: 49.527 | Policy: 0.264 | Value: 98.532 | Entropy: 0.309
Episode 87 | Loss: 52.301 | Policy: 0.119 | Value: 104.367 | Entropy: 0.234
Episode 88 | Loss: 28.998 | Policy: 0.423 | Value: 57.154 | Entropy: 0.200
Episode 89 | Loss: 25.479 | Policy: 0.530 | Value: 49.903 | Entropy: 0.188
Episode 90 | Loss: 27.795 | Policy: 2.723 | Value: 50.148 | Entropy: 0.186
Episode 91 | Loss: 83.828 | Policy: 8.488 | Value: 150.684 | Entropy: 0.191
Episode 92 | Loss: 88.338 | Policy: 8.650 | Value: 159.380 | Entropy: 0.210
Episode 93 | Loss: 44.986 | Policy: 5.586 | Value: 78.805 | Entropy: 0.250
Episode 94 | Loss: 33.349 | Policy: 1.305 | Value: 64.092 | Entropy: 0.247
Episode 95 | Loss: 31.277 | Policy: 3.384 | Value: 55.790 | Entropy: 0.212
Episode 96 | Loss: 31.867 | Policy: 2.004 | Value: 59.731 | Entropy: 0.261
Episode 97 | Loss: 48.020 | Policy: 0.357 | Value: 95.334 | Entropy: 0.310
Episode 98 | Loss: 54.366 | Policy: 0.199 | Value: 108.339 | Entropy: 0.288
Episode 99 | Loss: 29.087 | Policy: 1.716 | Value: 54.748 | Entropy: 0.281
Episode 100 | Loss: 21.802 | Policy: 1.346 | Value: 40.919 | Entropy: 0.311
Episode 101 | Loss: 23.047 | Policy: 2.330 | Value: 41.441 | Entropy: 0.365
Episode 102 | Loss: 22.843 | Policy: 2.447 | Value: 40.800 | Entropy: 0.351
Episode 103 | Loss: 27.028 | Policy: 3.149 | Value: 47.764 | Entropy: 0.347
Episode 104 | Loss: 24.579 | Policy: 3.412 | Value: 42.342 | Entropy: 0.384
Episode 105 | Loss: 23.870 | Policy: 2.884 | Value: 41.980 | Entropy: 0.375
Episode 106 | Loss: 30.672 | Policy: 0.759 | Value: 59.833 | Entropy: 0.357
Episode 107 | Loss: 29.104 | Policy: 1.784 | Value: 54.646 | Entropy: 0.366
Episode 108 | Loss: 33.749 | Policy: 0.625 | Value: 66.257 | Entropy: 0.381
Episode 109 | Loss: 27.344 | Policy: 2.071 | Value: 50.553 | Entropy: 0.372
Episode 110 | Loss: 32.872 | Policy: 3.314 | Value: 59.123 | Entropy: 0.371
Episode 111 | Loss: 33.880 | Policy: 3.246 | Value: 61.276 | Entropy: 0.387
