Episode 71 | Loss: 0.224 | Policy: 0.184 | Value: 0.082 | Reward: -30.04
Episode 72 | Loss: 0.162 | Policy: 0.129 | Value: 0.069 | Reward: -50.03
Episode 73 | Loss: 0.265 | Policy: -0.196 | Value: 0.927 | Reward: -30.05
Episode 74 | Loss: 0.308 | Policy: -0.282 | Value: 1.184 | Reward: -40.03
Episode 75 | Loss: 0.040 | Policy: -0.301 | Value: 0.690 | Reward: -50.03
Episode 76 | Loss: 0.016 | Policy: -0.204 | Value: 0.447 | Reward: -40.03
Episode 77 | Loss: 0.029 | Policy: 0.009 | Value: 0.047 | Reward: -40.03
Episode 78 | Loss: 0.377 | Policy: 0.297 | Value: 0.165 | Reward: -40.05
Episode 79 | Loss: 0.347 | Policy: 0.282 | Value: 0.134 | Reward: -40.04
Episode 80 | Loss: 0.002 | Policy: 0.001 | Value: 0.006 | Reward: -40.03
Episode 81 | Loss: -0.013 | Policy: -0.047 | Value: 0.074 | Reward: -40.03
Episode 82 | Loss: 0.019 | Policy: 0.001 | Value: 0.042 | Reward: -40.03
Episode 83 | Loss: 0.673 | Policy: 0.499 | Value: 0.354 | Reward: -50.03
Episode 84 | Loss: 0.346 | Policy: 0.280 | Value: 0.139 | Reward: -40.03
Episode 85 | Loss: 0.123 | Policy: 0.105 | Value: 0.047 | Reward: -40.03
Episode 86 | Loss: 0.048 | Policy: -0.024 | Value: 0.150 | Reward: -40.03
Episode 87 | Loss: 0.035 | Policy: 0.030 | Value: 0.013 | Reward: -50.03
Episode 88 | Loss: 0.148 | Policy: -0.026 | Value: 0.352 | Reward: -20.05
Episode 89 | Loss: 0.994 | Policy: 0.670 | Value: 0.650 | Reward: -50.03
Episode 90 | Loss: 0.884 | Policy: 0.608 | Value: 0.551 | Reward: -40.03
Episode 91 | Loss: 0.661 | Policy: 0.479 | Value: 0.365 | Reward: -40.03
Episode 92 | Loss: 0.117 | Policy: 0.093 | Value: 0.049 | Reward: -40.05
