id_node1,id_node2,distance_km,time_h
57a6ee8a8a,047f8c52a2,177.63,1.97
57a6ee8a8a,99ea1a2ebf,22.06,0.25
57a6ee8a8a,473f1ad813,109.33,1.21
57a6ee8a8a,e45a3df72f,279.57,3.11
57a6ee8a8a,48158b897e,67.15,0.75
57a6ee8a8a,345fd59866,285.09,3.17
57a6ee8a8a,28ee3b7fe9,189.45,2.11
57a6ee8a8a,d0482fc0b2,231.58,2.57
57a6ee8a8a,0e9a33426b,212.64,2.36
57a6ee8a8a,27fb7349ab,189.21,2.1
57a6ee8a8a,18f2991dd2,257.08,2.86
57a6ee8a8a,acfe01d5e7,111.59,1.24
57a6ee8a8a,9bef564262,263.88,2.93
57a6ee8a8a,74c123185f,163.76,1.82
57a6ee8a8a,846cf2e480,158.03,1.76
57a6ee8a8a,36bedd0ef0,445.93,4.95
57a6ee8a8a,8841aea1bd,322.28,3.58
57a6ee8a8a,e55c73b893,162.64,1.81
57a6ee8a8a,3ec1090115,668.39,7.43
57a6ee8a8a,0006ef2978,156.46,1.74
57a6ee8a8a,061d60c000,79.93,0.89
57a6ee8a8a,76fe43c036,234.43,2.6
57a6ee8a8a,d90b3a9685,116.61,1.3
57a6ee8a8a,0d7cd9c417,189.59,2.11
57a6ee8a8a,83a43c612b,197.16,2.19
57a6ee8a8a,e69f0b8fe6,185.47,2.06
57a6ee8a8a,61a782fe9e,107.07,1.19
57a6ee8a8a,f51d5b83de,269.4,2.99
57a6ee8a8a,bd0631981a,300.44,3.34
57a6ee8a8a,bd0d51945d,116.57,1.3
57a6ee8a8a,d0a298c1ca,144.25,1.6
57a6ee8a8a,a43a3dfe6b,475.59,5.28
57a6ee8a8a,f89d2d069f,233.63,2.6
57a6ee8a8a,ba744e4ccd,175.03,1.94
57a6ee8a8a,0836588c90,321.75,3.57
57a6ee8a8a,d83aee5461,243.9,2.71
57a6ee8a8a,13af5f0b62,356.91,3.97
57a6ee8a8a,27a3622b33,127.39,1.42
57a6ee8a8a,164ad58858,306.36,3.4
57a6ee8a8a,dd0b23f486,86.78,0.96
57a6ee8a8a,b268eccc2e,137.73,1.53
57a6ee8a8a,c31b25537f,236.43,2.63
57a6ee8a8a,cb9f3fe19d,27.74,0.31
57a6ee8a8a,7a4124b685,375.12,4.17
57a6ee8a8a,6a74eaf5ca,288.31,3.2
57a6ee8a8a,4c6c43cee5,466.66,5.19
57a6ee8a8a,a34630deee,115.81,1.29
57a6ee8a8a,ba003048e8,480.86,5.34
57a6ee8a8a,f4e70c8e0a,226.43,2.52
57a6ee8a8a,ee0434766a,228.1,2.53
57a6ee8a8a,1eea7b8045,299.43,3.33
57a6ee8a8a,0529d01b37,112.1,1.25
57a6ee8a8a,37fd2072f0,162.67,1.81
57a6ee8a8a,62ebfbbb84,199.95,2.22
57a6ee8a8a,80970b9691,208.24,2.31
57a6ee8a8a,a28f8ae066,200.91,2.23
57a6ee8a8a,922c6c5ef3,265.8,2.95
57a6ee8a8a,b00c419c25,210.63,2.34
57a6ee8a8a,424487056d,88.96,0.99
57a6ee8a8a,3c96fc947f,124.06,1.38
57a6ee8a8a,7dddc644e9,572.21,6.36
57a6ee8a8a,281490894e,606.83,6.74
57a6ee8a8a,7bf43bceb8,276.89,3.08
57a6ee8a8a,74e1ed67d0,217.76,2.42
57a6ee8a8a,edd8009eca,269.81,3.0
57a6ee8a8a,12b0b1a628,330.43,3.67
57a6ee8a8a,d0125b298d,44.22,0.49
57a6ee8a8a,60c6c43768,168.36,1.87
57a6ee8a8a,3d907cf790,158.54,1.76
57a6ee8a8a,e670a8a9d4,390.87,4.34
57a6ee8a8a,a3b09374ca,86.37,0.96
57a6ee8a8a,b6dce97688,2064.22,22.94
57a6ee8a8a,0fdecd5432,190.65,2.12
57a6ee8a8a,ff39ac6cd5,144.1,1.6
57a6ee8a8a,ddb5fdc991,222.37,2.47
57a6ee8a8a,d7f1b6856c,319.26,3.55
57a6ee8a8a,db6c6815b7,107.84,1.2
57a6ee8a8a,2e6a884ef6,146.7,1.63
57a6ee8a8a,12384e93b5,305.97,3.4
57a6ee8a8a,586fa13d50,149.01,1.66
57a6ee8a8a,e31fdcab4d,74.25,0.83
57a6ee8a8a,0efb9deb16,298.75,3.32
57a6ee8a8a,1f6b6dee21,107.66,1.2
57a6ee8a8a,41ef9fd543,58.0,0.64
57a6ee8a8a,2ead0b9159,156.18,1.74
57a6ee8a8a,2564412b8f,262.62,2.92
57a6ee8a8a,d9b1bf95e4,292.1,3.25
57a6ee8a8a,848e63cb28,129.05,1.43
57a6ee8a8a,5dd85f8e6a,1900.11,21.11
57a6ee8a8a,6402422335,92.45,1.03
57a6ee8a8a,b9aad8372d,172.43,1.92
