id_node1,id_node2,distance_km,time_h
0fdecd5432,b690a2ff75,171.19,1.9
0fdecd5432,726881ca61,266.52,2.96
0fdecd5432,6d5a036687,166.9,1.85
0fdecd5432,14e455cf83,32.36,0.36
0fdecd5432,78f9d4c5d1,197.51,2.19
0fdecd5432,cfdcacd037,215.31,2.39
0fdecd5432,60aefb3512,9.11,0.1
0fdecd5432,34ad001b2f,197.72,2.2
0fdecd5432,b3cfda26af,71.97,0.8
0fdecd5432,1272cc6601,271.81,3.02
0fdecd5432,9f242fa503,112.17,1.25
0fdecd5432,5d01947735,81.43,0.9
0fdecd5432,1aed189151,37.55,0.42
0fdecd5432,1ea179db6e,64.07,0.71
0fdecd5432,69dfc2f4c6,103.8,1.15
0fdecd5432,b204986e97,144.91,1.61
0fdecd5432,449532c12a,99.98,1.11
0fdecd5432,b1dbe52773,117.02,1.3
0fdecd5432,5aa18783d9,166.51,1.85
0fdecd5432,d7a7f5f186,204.46,2.27
0fdecd5432,a4b4269028,64.44,0.72
0fdecd5432,4f29488858,275.5,3.06
0fdecd5432,dc68d61efe,161.39,1.79
0fdecd5432,ab3aa544bb,311.97,3.47
0fdecd5432,cdb82c173e,758.98,8.43
0fdecd5432,1afc5769de,203.01,2.26
0fdecd5432,aace534141,107.1,1.19
0fdecd5432,ba22951abf,102.06,1.13
0fdecd5432,76842b6054,205.1,2.28
0fdecd5432,96938eb81c,149.84,1.66
0fdecd5432,a65fbc4ab8,627.37,6.97
0fdecd5432,7f694862c1,99.55,1.11
0fdecd5432,c07d769be6,147.68,1.64
0fdecd5432,e543fa995c,151.85,1.69
0fdecd5432,8a1bb7feec,192.81,2.14
0fdecd5432,d58d68833e,113.19,1.26
0fdecd5432,d8cc4bb419,59.78,0.66
0fdecd5432,299e7a18cb,240.08,2.67
0fdecd5432,49b4f34ea9,165.64,1.84
0fdecd5432,a3a9e10564,3.59,0.04
0fdecd5432,63c4c4f3d9,54.65,0.61
0fdecd5432,af421d3b60,198.15,2.2
0fdecd5432,8306cc8e30,245.31,2.73
0fdecd5432,598f6b1ff7,182.84,2.03
0fdecd5432,abce769cab,28.71,0.32
0fdecd5432,98754995a6,512.76,5.7
0fdecd5432,33e177c42e,169.79,1.89
0fdecd5432,ad71836e91,234.84,2.61
0fdecd5432,a6c2fe526b,40.57,0.45
0fdecd5432,1dfb6be4dc,50.79,0.56
0fdecd5432,a43706005a,220.99,2.46
0fdecd5432,b0ab1673fb,15.21,0.17
0fdecd5432,b82e1d1c74,155.57,1.73
0fdecd5432,b2de859bf8,264.94,2.94
0fdecd5432,f183432985,367.77,4.09
0fdecd5432,c6f610746c,134.58,1.5
0fdecd5432,167d5c6c7b,78.45,0.87
0fdecd5432,85c935495a,137.11,1.52
0fdecd5432,6d722d410f,420.52,4.67
0fdecd5432,5f0ac761d4,680.47,7.56
0fdecd5432,cfdd95192d,366.42,4.07
0fdecd5432,79ada411eb,223.36,2.48
0fdecd5432,9f5acb8ed6,327.42,3.64
0fdecd5432,e86d450d76,817.7,9.09
0fdecd5432,1a1043fa41,248.21,2.76
0fdecd5432,3954004707,212.02,2.36
0fdecd5432,c83d9fa7a3,273.49,3.04
0fdecd5432,e88a15fc13,427.73,4.75
0fdecd5432,0ecd8c5a61,215.2,2.39
0fdecd5432,c23d6b7fb2,160.75,1.79
0fdecd5432,1abd0377b2,145.97,1.62
0fdecd5432,86907304fb,20.66,0.23
0fdecd5432,f15c148a6b,213.12,2.37
0fdecd5432,d172433026,117.27,1.3
0fdecd5432,01bb856af9,147.72,1.64
0fdecd5432,6871679ae5,176.6,1.96
0fdecd5432,1c365b01df,318.33,3.54
0fdecd5432,c7a41cfefd,71.93,0.8
0fdecd5432,bad0c64c7d,183.66,2.04
0fdecd5432,10c1a3432c,163.81,1.82
0fdecd5432,17cefebfdc,848.07,9.42
0fdecd5432,8a766e4a89,8.35,0.09
0fdecd5432,e5592a2a36,439.7,4.89
0fdecd5432,7426b293df,159.53,1.77
0fdecd5432,c9eed4dd25,70.57,0.78
0fdecd5432,de0c1f40b4,190.07,2.11
0fdecd5432,99f5c51525,287.15,3.19
0fdecd5432,ac30530da1,109.38,1.22
0fdecd5432,7b0b944330,63.17,0.7
0fdecd5432,323857f277,193.69,2.15
0fdecd5432,4fc75cc1b8,202.8,2.25
0fdecd5432,918139003b,141.52,1.57
0fdecd5432,dee3d2e10f,2077.74,23.09
0fdecd5432,5758fc58f5,164.21,1.82
0fdecd5432,6cad90dae0,140.67,1.56
0fdecd5432,2a7f397c3e,48.87,0.54
0fdecd5432,ce95e5b722,93.94,1.04
0fdecd5432,2fd98aad68,664.45,7.38
0fdecd5432,951362d212,117.68,1.31
0fdecd5432,ff99d64e7c,175.98,1.96
0fdecd5432,13ffc02990,213.85,2.38
0fdecd5432,166438f590,33.9,0.38
0fdecd5432,99e076ff71,197.73,2.2
0fdecd5432,9658cb58c7,25.55,0.28
0fdecd5432,0dde5e2a00,102.92,1.14
0fdecd5432,0958251aaf,36.34,0.4
0fdecd5432,150feca7f8,123.88,1.38
0fdecd5432,8b3e9cead9,240.27,2.67
0fdecd5432,1a8c4eb49e,201.27,2.24
0fdecd5432,6b934f26b5,242.73,2.7
0fdecd5432,29f7724804,266.67,2.96
0fdecd5432,dda26e4012,116.45,1.29
0fdecd5432,7af18c173a,209.59,2.33
0fdecd5432,9b9d52cdcb,194.68,2.16
0fdecd5432,9f3155a07f,38.63,0.43
ff39ac6cd5,ddb5fdc991,137.76,1.53
ff39ac6cd5,d7f1b6856c,199.7,2.22
ff39ac6cd5,db6c6815b7,249.19,2.77
ff39ac6cd5,2e6a884ef6,277.26,3.08
ff39ac6cd5,12384e93b5,408.41,4.54
ff39ac6cd5,586fa13d50,193.32,2.15
ff39ac6cd5,e31fdcab4d,143.92,1.6
ff39ac6cd5,0efb9deb16,204.71,2.27
ff39ac6cd5,1f6b6dee21,245.59,2.73
ff39ac6cd5,41ef9fd543,196.81,2.19
ff39ac6cd5,2ead0b9159,250.96,2.79
ff39ac6cd5,2564412b8f,356.48,3.96
ff39ac6cd5,d9b1bf95e4,292.87,3.25
ff39ac6cd5,848e63cb28,254.3,2.83
ff39ac6cd5,5dd85f8e6a,1837.32,20.41
ff39ac6cd5,6402422335,236.42,2.63
ff39ac6cd5,b9aad8372d,136.06,1.51
ff39ac6cd5,c008c057ed,205.1,2.28
ff39ac6cd5,95082386e2,376.14,4.18
ff39ac6cd5,ed02bf352c,325.02,3.61
ff39ac6cd5,cd1422ca19,285.45,3.17
ff39ac6cd5,e41909fd82,147.93,1.64
ff39ac6cd5,005141b844,172.68,1.92
ff39ac6cd5,49a6fe0fc7,180.3,2.0
ff39ac6cd5,346f4572dd,292.78,3.25
ff39ac6cd5,aadd50e099,147.53,1.64
ff39ac6cd5,6cf3b39ac6,287.72,3.2
ff39ac6cd5,234ac45c54,304.22,3.38
ff39ac6cd5,e3125ea691,259.72,2.89
ff39ac6cd5,50eba3b5e2,240.36,2.67
ff39ac6cd5,5f5c0209bb,302.17,3.36
ff39ac6cd5,c2bdcbf1e6,333.16,3.7
ff39ac6cd5,42ff9f0471,256.71,2.85
ff39ac6cd5,3821e42e30,201.79,2.24
ff39ac6cd5,5ce079596e,200.21,2.22
ff39ac6cd5,7c7c461a2c,157.9,1.75
ff39ac6cd5,3a0c8b81c5,248.84,2.76
ff39ac6cd5,9427f1d332,300.54,3.34
ff39ac6cd5,759ab81d90,252.33,2.8
ff39ac6cd5,b589ec1523,479.78,5.33
ff39ac6cd5,71d038e16f,172.39,1.92
