id_node1,id_node2,distance_km,time_h
aa5ddefc7a,5f5c0209bb,189.74,2.11
aa5ddefc7a,c2bdcbf1e6,137.79,1.53
aa5ddefc7a,42ff9f0471,220.72,2.45
aa5ddefc7a,3821e42e30,247.9,2.75
aa5ddefc7a,5ce079596e,282.21,3.14
aa5ddefc7a,7c7c461a2c,315.88,3.51
aa5ddefc7a,3a0c8b81c5,232.47,2.58
aa5ddefc7a,9427f1d332,154.35,1.71
aa5ddefc7a,759ab81d90,213.76,2.38
aa5ddefc7a,b589ec1523,208.57,2.32
aa5ddefc7a,71d038e16f,340.21,3.78
aa5ddefc7a,1cebeaa211,93.29,1.04
aa5ddefc7a,590999acbe,839.99,9.33
aa5ddefc7a,78e967fa70,378.23,4.2
aa5ddefc7a,e79898ae7c,191.89,2.13
aa5ddefc7a,95e6949dee,621.52,6.91
aa5ddefc7a,8e4c430aea,278.38,3.09
aa5ddefc7a,d617085ab1,893.27,9.93
aa5ddefc7a,5960156fbf,255.79,2.84
aa5ddefc7a,f2684ab93d,359.63,4.0
aa5ddefc7a,e639973562,161.53,1.79
aa5ddefc7a,afe899e53c,218.54,2.43
aa5ddefc7a,8a629a2faf,211.29,2.35
aa5ddefc7a,f555606743,273.3,3.04
aa5ddefc7a,7cf439946f,296.74,3.3
aa5ddefc7a,2647a93e20,150.08,1.67
aa5ddefc7a,415553669e,186.18,2.07
aa5ddefc7a,ca6be55f56,299.77,3.33
aa5ddefc7a,78bfc9430a,101.78,1.13
aa5ddefc7a,27b24c9df5,353.12,3.92
aa5ddefc7a,79fa107203,296.24,3.29
aa5ddefc7a,981f604d5a,313.29,3.48
aa5ddefc7a,efbcc0b9a0,298.16,3.31
aa5ddefc7a,2fac506b51,218.49,2.43
aa5ddefc7a,d0be6fa4fa,60.46,0.67
aa5ddefc7a,842b603099,211.55,2.35
aa5ddefc7a,b239d81b8f,318.78,3.54
aa5ddefc7a,804e0ad062,220.21,2.45
aa5ddefc7a,7ce0c227c6,326.43,3.63
aa5ddefc7a,04964861f5,213.27,2.37
aa5ddefc7a,89890345fa,350.55,3.89
aa5ddefc7a,b1ce30e917,242.46,2.69
aa5ddefc7a,1d2f5b1f88,235.04,2.61
aa5ddefc7a,bab5bfe703,268.31,2.98
aa5ddefc7a,a414d2ed32,356.73,3.96
aa5ddefc7a,b690a2ff75,264.92,2.94
aa5ddefc7a,726881ca61,13.41,0.15
aa5ddefc7a,6d5a036687,208.7,2.32
aa5ddefc7a,14e455cf83,289.97,3.22
aa5ddefc7a,78f9d4c5d1,175.5,1.95
aa5ddefc7a,cfdcacd037,219.14,2.43
aa5ddefc7a,60aefb3512,265.35,2.95
aa5ddefc7a,34ad001b2f,106.46,1.18
aa5ddefc7a,b3cfda26af,314.2,3.49
aa5ddefc7a,1272cc6601,170.57,1.9
aa5ddefc7a,9f242fa503,235.67,2.62
aa5ddefc7a,5d01947735,340.23,3.78
aa5ddefc7a,1aed189151,284.12,3.16
aa5ddefc7a,1ea179db6e,329.01,3.66
aa5ddefc7a,69dfc2f4c6,358.86,3.99
aa5ddefc7a,b204986e97,222.84,2.48
aa5ddefc7a,449532c12a,216.11,2.4
aa5ddefc7a,b1dbe52773,171.59,1.91
aa5ddefc7a,5aa18783d9,167.3,1.86
aa5ddefc7a,d7a7f5f186,468.18,5.2
aa5ddefc7a,a4b4269028,254.46,2.83
aa5ddefc7a,4f29488858,464.7,5.16
aa5ddefc7a,dc68d61efe,322.87,3.59
aa5ddefc7a,ab3aa544bb,377.01,4.19
aa5ddefc7a,cdb82c173e,989.54,10.99
aa5ddefc7a,1afc5769de,207.73,2.31
aa5ddefc7a,aace534141,278.41,3.09
aa5ddefc7a,ba22951abf,196.76,2.19
aa5ddefc7a,76842b6054,257.65,2.86
aa5ddefc7a,96938eb81c,380.7,4.23
aa5ddefc7a,a65fbc4ab8,869.4,9.66
aa5ddefc7a,7f694862c1,170.12,1.89
aa5ddefc7a,c07d769be6,399.6,4.44
aa5ddefc7a,e543fa995c,206.35,2.29
aa5ddefc7a,8a1bb7feec,143.11,1.59
aa5ddefc7a,d58d68833e,209.69,2.33
aa5ddefc7a,d8cc4bb419,242.88,2.7
aa5ddefc7a,299e7a18cb,228.03,2.53
aa5ddefc7a,49b4f34ea9,175.0,1.94
aa5ddefc7a,a3a9e10564,264.54,2.94
aa5ddefc7a,63c4c4f3d9,228.88,2.54
aa5ddefc7a,af421d3b60,213.66,2.37
aa5ddefc7a,8306cc8e30,498.98,5.54
aa5ddefc7a,598f6b1ff7,263.61,2.93
aa5ddefc7a,abce769cab,247.26,2.75
aa5ddefc7a,98754995a6,535.61,5.95
aa5ddefc7a,33e177c42e,220.84,2.45
aa5ddefc7a,ad71836e91,33.58,0.37
aa5ddefc7a,a6c2fe526b,296.48,3.29
