id_node1,id_node2,distance_km,time_h
63cb1c2f47,d7f1b6856c,427.04,4.74
63cb1c2f47,db6c6815b7,66.4,0.74
63cb1c2f47,2e6a884ef6,54.0,0.6
63cb1c2f47,12384e93b5,222.55,2.47
63cb1c2f47,586fa13d50,186.43,2.07
63cb1c2f47,e31fdcab4d,150.69,1.67
63cb1c2f47,0efb9deb16,392.65,4.36
63cb1c2f47,1f6b6dee21,32.82,0.36
63cb1c2f47,41ef9fd543,75.05,0.83
63cb1c2f47,2ead0b9159,129.55,1.44
63cb1c2f47,2564412b8f,197.78,2.2
63cb1c2f47,d9b1bf95e4,370.32,4.11
63cb1c2f47,848e63cb28,65.07,0.72
63cb1c2f47,5dd85f8e6a,1988.06,22.09
63cb1c2f47,6402422335,41.42,0.46
63cb1c2f47,b9aad8372d,257.43,2.86
63cb1c2f47,c008c057ed,111.95,1.24
63cb1c2f47,95082386e2,106.08,1.18
63cb1c2f47,ed02bf352c,70.54,0.78
63cb1c2f47,cd1422ca19,87.7,0.97
63cb1c2f47,e41909fd82,149.91,1.67
63cb1c2f47,005141b844,181.84,2.02
63cb1c2f47,49a6fe0fc7,432.49,4.81
63cb1c2f47,346f4572dd,91.54,1.02
63cb1c2f47,aadd50e099,184.95,2.06
63cb1c2f47,6cf3b39ac6,16.56,0.18
63cb1c2f47,234ac45c54,157.96,1.76
63cb1c2f47,e3125ea691,123.06,1.37
63cb1c2f47,50eba3b5e2,183.38,2.04
63cb1c2f47,5f5c0209bb,144.72,1.61
63cb1c2f47,c2bdcbf1e6,125.15,1.39
63cb1c2f47,42ff9f0471,40.95,0.45
63cb1c2f47,3821e42e30,77.1,0.86
63cb1c2f47,5ce079596e,95.25,1.06
63cb1c2f47,7c7c461a2c,128.12,1.42
63cb1c2f47,3a0c8b81c5,51.9,0.58
63cb1c2f47,9427f1d332,85.63,0.95
63cb1c2f47,759ab81d90,27.04,0.3
63cb1c2f47,b589ec1523,230.6,2.56
63cb1c2f47,71d038e16f,154.01,1.71
63cb1c2f47,1cebeaa211,173.25,1.92
63cb1c2f47,590999acbe,658.37,7.32
63cb1c2f47,78e967fa70,192.37,2.14
63cb1c2f47,e79898ae7c,170.89,1.9
63cb1c2f47,95e6949dee,471.12,5.23
63cb1c2f47,8e4c430aea,122.81,1.36
63cb1c2f47,d617085ab1,733.63,8.15
63cb1c2f47,5960156fbf,189.33,2.1
63cb1c2f47,f2684ab93d,218.82,2.43
63cb1c2f47,e639973562,102.97,1.14
63cb1c2f47,afe899e53c,216.41,2.4
63cb1c2f47,8a629a2faf,82.79,0.92
63cb1c2f47,f555606743,88.55,0.98
63cb1c2f47,7cf439946f,108.81,1.21
63cb1c2f47,2647a93e20,149.31,1.66
63cb1c2f47,415553669e,128.3,1.43
63cb1c2f47,ca6be55f56,194.92,2.17
63cb1c2f47,78bfc9430a,86.16,0.96
63cb1c2f47,27b24c9df5,251.55,2.79
63cb1c2f47,79fa107203,226.31,2.51
63cb1c2f47,981f604d5a,127.28,1.41
63cb1c2f47,efbcc0b9a0,153.47,1.71
63cb1c2f47,2fac506b51,292.21,3.25
63cb1c2f47,d0be6fa4fa,209.17,2.32
63cb1c2f47,842b603099,149.34,1.66
63cb1c2f47,b239d81b8f,164.1,1.82
63cb1c2f47,804e0ad062,32.29,0.36
63cb1c2f47,7ce0c227c6,139.3,1.55
63cb1c2f47,04964861f5,26.11,0.29
63cb1c2f47,89890345fa,199.39,2.22
63cb1c2f47,b1ce30e917,126.45,1.41
63cb1c2f47,1d2f5b1f88,204.5,2.27
63cb1c2f47,bab5bfe703,192.09,2.13
63cb1c2f47,a414d2ed32,169.13,1.88
63cb1c2f47,b690a2ff75,81.23,0.9
63cb1c2f47,726881ca61,196.61,2.18
63cb1c2f47,6d5a036687,262.73,2.92
63cb1c2f47,14e455cf83,218.7,2.43
63cb1c2f47,78f9d4c5d1,16.47,0.18
63cb1c2f47,cfdcacd037,302.15,3.36
63cb1c2f47,60aefb3512,191.16,2.12
63cb1c2f47,34ad001b2f,205.99,2.29
63cb1c2f47,b3cfda26af,188.08,2.09
63cb1c2f47,1272cc6601,90.68,1.01
63cb1c2f47,9f242fa503,85.57,0.95
63cb1c2f47,5d01947735,221.93,2.47
63cb1c2f47,1aed189151,221.54,2.46
63cb1c2f47,1ea179db6e,245.31,2.73
63cb1c2f47,69dfc2f4c6,231.72,2.57
63cb1c2f47,b204986e97,257.11,2.86
63cb1c2f47,449532c12a,217.59,2.42
63cb1c2f47,b1dbe52773,82.88,0.92
63cb1c2f47,5aa18783d9,230.85,2.56
63cb1c2f47,d7a7f5f186,339.96,3.78
63cb1c2f47,a4b4269028,132.17,1.47
63cb1c2f47,4f29488858,284.15,3.16
63cb1c2f47,dc68d61efe,148.17,1.65
63cb1c2f47,ab3aa544bb,195.37,2.17
63cb1c2f47,cdb82c173e,812.73,9.03
63cb1c2f47,1afc5769de,25.02,0.28
63cb1c2f47,aace534141,124.78,1.39
63cb1c2f47,ba22951abf,86.01,0.96
63cb1c2f47,76842b6054,70.05,0.78
