id_node1,id_node2,distance_km,time_h
b4760eab05,f89d2d069f,124.81,1.39
b4760eab05,ba744e4ccd,15.22,0.17
b4760eab05,0836588c90,223.48,2.48
b4760eab05,d83aee5461,379.95,4.22
b4760eab05,13af5f0b62,213.2,2.37
b4760eab05,27a3622b33,132.38,1.47
b4760eab05,164ad58858,202.73,2.25
b4760eab05,dd0b23f486,222.72,2.47
b4760eab05,b268eccc2e,68.76,0.76
b4760eab05,c31b25537f,200.88,2.23
b4760eab05,cb9f3fe19d,158.86,1.77
b4760eab05,7a4124b685,382.59,4.25
b4760eab05,6a74eaf5ca,295.0,3.28
b4760eab05,4c6c43cee5,619.48,6.88
b4760eab05,a34630deee,120.15,1.34
b4760eab05,ba003048e8,499.35,5.55
b4760eab05,f4e70c8e0a,94.74,1.05
b4760eab05,ee0434766a,66.94,0.74
b4760eab05,1eea7b8045,211.56,2.35
b4760eab05,0529d01b37,153.51,1.71
b4760eab05,37fd2072f0,84.0,0.93
b4760eab05,62ebfbbb84,195.3,2.17
b4760eab05,80970b9691,184.43,2.05
b4760eab05,a28f8ae066,310.6,3.45
b4760eab05,922c6c5ef3,105.92,1.18
b4760eab05,b00c419c25,186.83,2.08
b4760eab05,424487056d,131.13,1.46
b4760eab05,3c96fc947f,97.06,1.08
b4760eab05,7dddc644e9,728.89,8.1
b4760eab05,281490894e,659.99,7.33
b4760eab05,7bf43bceb8,249.01,2.77
b4760eab05,74e1ed67d0,93.48,1.04
b4760eab05,edd8009eca,168.93,1.88
b4760eab05,12b0b1a628,330.24,3.67
b4760eab05,d0125b298d,145.87,1.62
b4760eab05,60c6c43768,173.0,1.92
b4760eab05,3d907cf790,3.01,0.03
b4760eab05,e670a8a9d4,542.96,6.03
b4760eab05,a3b09374ca,78.38,0.87
b4760eab05,b6dce97688,2221.84,24.69
b4760eab05,0fdecd5432,34.31,0.38
b4760eab05,ff39ac6cd5,240.51,2.67
b4760eab05,ddb5fdc991,217.5,2.42
b4760eab05,d7f1b6856c,326.32,3.63
b4760eab05,db6c6815b7,198.98,2.21
b4760eab05,2e6a884ef6,108.79,1.21
b4760eab05,12384e93b5,169.02,1.88
b4760eab05,586fa13d50,58.61,0.65
b4760eab05,e31fdcab4d,102.64,1.14
b4760eab05,0efb9deb16,276.09,3.07
b4760eab05,1f6b6dee21,124.41,1.38
b4760eab05,41ef9fd543,128.85,1.43
b4760eab05,2ead0b9159,26.72,0.3
b4760eab05,2564412b8f,116.04,1.29
b4760eab05,d9b1bf95e4,453.25,5.04
b4760eab05,848e63cb28,88.61,0.98
b4760eab05,5dd85f8e6a,2056.9,22.85
b4760eab05,6402422335,159.54,1.77
b4760eab05,b9aad8372d,151.51,1.68
b4760eab05,c008c057ed,211.92,2.35
b4760eab05,95082386e2,210.14,2.33
b4760eab05,ed02bf352c,148.49,1.65
b4760eab05,cd1422ca19,234.05,2.6
b4760eab05,e41909fd82,206.38,2.29
b4760eab05,005141b844,72.46,0.81
b4760eab05,49a6fe0fc7,349.5,3.88
b4760eab05,346f4572dd,90.22,1.0
b4760eab05,aadd50e099,245.55,2.73
b4760eab05,6cf3b39ac6,164.34,1.83
b4760eab05,234ac45c54,65.17,0.72
b4760eab05,e3125ea691,37.66,0.42
b4760eab05,50eba3b5e2,30.72,0.34
b4760eab05,5f5c0209bb,66.89,0.74
b4760eab05,c2bdcbf1e6,113.32,1.26
b4760eab05,42ff9f0471,180.41,2.0
b4760eab05,3821e42e30,106.57,1.18
b4760eab05,5ce079596e,188.67,2.1
b4760eab05,7c7c461a2c,185.76,2.06
b4760eab05,3a0c8b81c5,185.07,2.06
b4760eab05,9427f1d332,102.91,1.14
b4760eab05,759ab81d90,161.95,1.8
b4760eab05,b589ec1523,373.2,4.15
b4760eab05,71d038e16f,231.22,2.57
b4760eab05,1cebeaa211,174.52,1.94
b4760eab05,590999acbe,708.5,7.87
b4760eab05,78e967fa70,262.04,2.91
b4760eab05,e79898ae7c,84.13,0.93
b4760eab05,95e6949dee,373.73,4.15
b4760eab05,8e4c430aea,81.48,0.91
b4760eab05,d617085ab1,647.28,7.19
b4760eab05,5960156fbf,44.24,0.49
b4760eab05,f2684ab93d,115.86,1.29
b4760eab05,e639973562,90.11,1.0
b4760eab05,afe899e53c,110.77,1.23
b4760eab05,8a629a2faf,70.25,0.78
b4760eab05,f555606743,144.42,1.6
b4760eab05,7cf439946f,180.44,2.0
b4760eab05,2647a93e20,109.88,1.22
b4760eab05,415553669e,64.82,0.72
b4760eab05,ca6be55f56,50.14,0.56
b4760eab05,78bfc9430a,180.35,2.0
b4760eab05,27b24c9df5,106.87,1.19
b4760eab05,79fa107203,73.95,0.82
b4760eab05,981f604d5a,168.34,1.87
b4760eab05,efbcc0b9a0,72.75,0.81
b4760eab05,2fac506b51,214.82,2.39
b4760eab05,d0be6fa4fa,230.86,2.57
b4760eab05,842b603099,45.24,0.5
b4760eab05,b239d81b8f,97.94,1.09
b4760eab05,804e0ad062,155.0,1.72
b4760eab05,7ce0c227c6,184.24,2.05
b4760eab05,04964861f5,160.1,1.78
b4760eab05,89890345fa,116.77,1.3
b4760eab05,b1ce30e917,29.37,0.33
b4760eab05,1d2f5b1f88,81.2,0.9
b4760eab05,bab5bfe703,40.93,0.45
b4760eab05,a414d2ed32,209.85,2.33
b4760eab05,b690a2ff75,138.1,1.53
b4760eab05,726881ca61,250.94,2.79
b4760eab05,6d5a036687,180.51,2.01
b4760eab05,14e455cf83,66.48,0.74
b4760eab05,78f9d4c5d1,164.76,1.83
b4760eab05,cfdcacd037,229.03,2.54
b4760eab05,60aefb3512,41.01,0.46
b4760eab05,34ad001b2f,192.88,2.14
b4760eab05,b3cfda26af,67.19,0.75
b4760eab05,1272cc6601,239.84,2.66
b4760eab05,9f242fa503,78.04,0.87
b4760eab05,5d01947735,89.94,1.0
b4760eab05,1aed189151,71.56,0.8
b4760eab05,1ea179db6e,93.28,1.04
b4760eab05,69dfc2f4c6,109.35,1.22
b4760eab05,b204986e97,161.53,1.79
b4760eab05,449532c12a,114.37,1.27
b4760eab05,b1dbe52773,88.9,0.99
b4760eab05,5aa18783d9,172.13,1.91
b4760eab05,d7a7f5f186,217.87,2.42
b4760eab05,a4b4269028,32.46,0.36
b4760eab05,4f29488858,260.57,2.9
b4760eab05,dc68d61efe,135.86,1.51
b4760eab05,ab3aa544bb,280.98,3.12
b4760eab05,cdb82c173e,758.56,8.43
b4760eab05,1afc5769de,168.98,1.88
b4760eab05,aace534141,78.38,0.87
b4760eab05,ba22951abf,70.56,0.78
b4760eab05,76842b6054,171.17,1.9
b4760eab05,96938eb81c,143.43,1.59
b4760eab05,a65fbc4ab8,630.26,7.0
b4760eab05,7f694862c1,91.4,1.02
b4760eab05,c07d769be6,151.81,1.69
b4760eab05,e543fa995c,117.83,1.31
b4760eab05,8a1bb7feec,162.54,1.81
b4760eab05,d58d68833e,79.43,0.88
b4760eab05,d8cc4bb419,25.58,0.28
b4760eab05,299e7a18cb,205.86,2.29
b4760eab05,49b4f34ea9,133.27,1.48
b4760eab05,a3a9e10564,30.99,0.34
b4760eab05,63c4c4f3d9,23.64,0.26
b4760eab05,af421d3b60,163.99,1.82
b4760eab05,8306cc8e30,251.55,2.8
b4760eab05,598f6b1ff7,149.45,1.66
b4760eab05,abce769cab,9.35,0.1
b4760eab05,98754995a6,481.43,5.35
b4760eab05,33e177c42e,135.49,1.51
b4760eab05,ad71836e91,216.97,2.41
b4760eab05,a6c2fe526b,74.62,0.83
b4760eab05,1dfb6be4dc,84.22,0.94
b4760eab05,a43706005a,187.97,2.09
b4760eab05,b0ab1673fb,49.29,0.55
b4760eab05,b82e1d1c74,125.45,1.39
b4760eab05,b2de859bf8,244.21,2.71
b4760eab05,f183432985,335.08,3.72
b4760eab05,c6f610746c,123.76,1.38
b4760eab05,167d5c6c7b,49.19,0.55
b4760eab05,85c935495a,155.77,1.73
b4760eab05,6d722d410f,388.85,4.32
b4760eab05,5f0ac761d4,654.54,7.27
b4760eab05,cfdd95192d,372.74,4.14
b4760eab05,79ada411eb,216.27,2.4
b4760eab05,9f5acb8ed6,336.58,3.74
b4760eab05,e86d450d76,821.42,9.13
b4760eab05,1a1043fa41,214.0,2.38
b4760eab05,3954004707,182.06,2.02
b4760eab05,c83d9fa7a3,288.22,3.2
b4760eab05,e88a15fc13,435.42,4.84
b4760eab05,0ecd8c5a61,192.19,2.14
b4760eab05,c23d6b7fb2,126.45,1.4
b4760eab05,1abd0377b2,113.49,1.26
b4760eab05,86907304fb,50.34,0.56
b4760eab05,f15c148a6b,189.91,2.11
b4760eab05,d172433026,108.63,1.21
b4760eab05,01bb856af9,147.44,1.64
b4760eab05,6871679ae5,147.36,1.64
b4760eab05,1c365b01df,325.23,3.61
b4760eab05,c7a41cfefd,39.72,0.44
b4760eab05,bad0c64c7d,198.41,2.2
b4760eab05,10c1a3432c,132.62,1.47
b4760eab05,17cefebfdc,827.42,9.19
b4760eab05,8a766e4a89,33.81,0.38
b4760eab05,e5592a2a36,446.72,4.96
b4760eab05,7426b293df,139.89,1.55
b4760eab05,c9eed4dd25,75.2,0.84
b4760eab05,de0c1f40b4,164.07,1.82
b4760eab05,99f5c51525,255.97,2.84
b4760eab05,ac30530da1,89.26,0.99
b4760eab05,7b0b944330,77.58,0.86
b4760eab05,323857f277,170.33,1.89
b4760eab05,4fc75cc1b8,208.26,2.31
b4760eab05,918139003b,151.94,1.69
b4760eab05,dee3d2e10f,2054.03,22.82
b4760eab05,5758fc58f5,130.77,1.45
b4760eab05,6cad90dae0,113.15,1.26
b4760eab05,2a7f397c3e,40.7,0.45
b4760eab05,ce95e5b722,72.29,0.8
b4760eab05,2fd98aad68,635.25,7.06
b4760eab05,951362d212,105.16,1.17
b4760eab05,ff99d64e7c,156.64,1.74
b4760eab05,13ffc02990,213.71,2.37
b4760eab05,166438f590,65.52,0.73
b4760eab05,99e076ff71,163.56,1.82
b4760eab05,9658cb58c7,38.9,0.43
b4760eab05,0dde5e2a00,76.63,0.85
b4760eab05,0958251aaf,69.51,0.77
b4760eab05,150feca7f8,92.54,1.03
b4760eab05,8b3e9cead9,224.63,2.5
b4760eab05,1a8c4eb49e,200.67,2.23
b4760eab05,6b934f26b5,213.18,2.37
b4760eab05,29f7724804,234.75,2.61
b4760eab05,dda26e4012,105.18,1.17
b4760eab05,7af18c173a,175.5,1.95
b4760eab05,9b9d52cdcb,160.75,1.79
b4760eab05,9f3155a07f,72.05,0.8
6131d6163c,f30f4c040d,118.59,1.32
6131d6163c,7f15f38d75,57.91,0.64
6131d6163c,68e51f80cb,31.27,0.35
6131d6163c,ef85c3715f,71.86,0.8
6131d6163c,0fd2045304,132.56,1.47
6131d6163c,50ef13c8f5,167.78,1.86
6131d6163c,c10855f02f,66.98,0.74
6131d6163c,0350205f0e,62.37,0.69
6131d6163c,4b34f55e29,118.59,1.32
6131d6163c,d4de0e6101,105.65,1.17
6131d6163c,e5b7cb9028,244.0,2.71
6131d6163c,58b76956a3,162.46,1.81
6131d6163c,ec6ddaf216,158.63,1.76
6131d6163c,601b3508f9,123.61,1.37
6131d6163c,1d2fb1dd8d,68.08,0.76
6131d6163c,baba321218,250.73,2.79
6131d6163c,607739c05d,457.43,5.08
6131d6163c,fc098eface,116.39,1.29
6131d6163c,2fac0b2d02,161.26,1.79
6131d6163c,d25d82fddd,1984.96,22.06
6131d6163c,66543348f0,177.48,1.97
6131d6163c,8a2c6d6f4f,249.76,2.78
6131d6163c,f3ebd287a1,298.99,3.32
6131d6163c,c5460ecc04,277.93,3.09
6131d6163c,c3a2e65986,199.85,2.22
6131d6163c,153ab08b80,72.6,0.81
6131d6163c,7ca45a0fda,70.3,0.78
6131d6163c,9c397653a2,120.3,1.34
6131d6163c,7597b7f172,84.7,0.94
6131d6163c,e1efc02da1,91.12,1.01
6131d6163c,dfa0e9598c,89.64,1.0
6131d6163c,8ba4593bde,281.39,3.13
6131d6163c,94a5213013,137.57,1.53
6131d6163c,5aee113a8c,621.53,6.91
6131d6163c,4ceff4c75a,182.02,2.02
6131d6163c,77f42b31ae,751.78,8.35
6131d6163c,c0312bdd42,115.15,1.28
6131d6163c,6f670a882b,243.65,2.71
6131d6163c,23c991379f,304.94,3.39
6131d6163c,94b449dab2,68.39,0.76
6131d6163c,97e5d8fab3,98.93,1.1
6131d6163c,79f8f23f25,2206.06,24.51
6131d6163c,dd057e3fc2,262.12,2.91
6131d6163c,53ed3d8aef,261.33,2.9
6131d6163c,931ef37a71,684.03,7.6
6131d6163c,6b4c779323,580.58,6.45
6131d6163c,8a621c9988,185.07,2.06
6131d6163c,57a6ee8a8a,70.07,0.78
6131d6163c,ce00146abe,138.07,1.53
6131d6163c,eb5f666107,85.63,0.95
6131d6163c,5d59ca0ecf,240.46,2.67
6131d6163c,517e178776,39.7,0.44
6131d6163c,d7c287434c,81.07,0.9
6131d6163c,d96a47311f,118.71,1.32
6131d6163c,cab4ef8e0d,105.11,1.17
6131d6163c,e62c5064c7,371.16,4.12
6131d6163c,873ab7f908,79.51,0.88
6131d6163c,1d0680b872,191.46,2.13
6131d6163c,0964b90be1,132.67,1.47
6131d6163c,2f65bb04c0,46.77,0.52
6131d6163c,31b5d750e6,176.28,1.96
6131d6163c,4e7524f094,129.33,1.44
6131d6163c,790b874881,58.32,0.65
6131d6163c,be72307682,76.1,0.85
6131d6163c,51a2befb22,63.51,0.71
6131d6163c,57e0cc21f4,127.07,1.41
6131d6163c,5bf6600052,164.03,1.82
6131d6163c,53814dfc7e,133.07,1.48
