id_node1,id_node2,distance_km,time_h
240bcf3b86,83a43c612b,75.39,0.84
240bcf3b86,e69f0b8fe6,124.15,1.38
240bcf3b86,61a782fe9e,149.41,1.66
240bcf3b86,f51d5b83de,356.95,3.97
240bcf3b86,bd0631981a,400.75,4.45
240bcf3b86,bd0d51945d,10.91,0.12
240bcf3b86,d0a298c1ca,157.48,1.75
240bcf3b86,a43a3dfe6b,551.89,6.13
240bcf3b86,f89d2d069f,108.13,1.2
240bcf3b86,ba744e4ccd,97.46,1.08
240bcf3b86,0836588c90,198.85,2.21
240bcf3b86,d83aee5461,367.96,4.09
240bcf3b86,13af5f0b62,234.61,2.61
240bcf3b86,27a3622b33,48.93,0.54
240bcf3b86,164ad58858,182.17,2.02
240bcf3b86,dd0b23f486,157.94,1.75
240bcf3b86,b268eccc2e,123.69,1.37
240bcf3b86,c31b25537f,135.7,1.51
240bcf3b86,cb9f3fe19d,137.93,1.53
240bcf3b86,7a4124b685,308.88,3.43
240bcf3b86,6a74eaf5ca,346.51,3.85
240bcf3b86,4c6c43cee5,590.85,6.56
240bcf3b86,a34630deee,37.54,0.42
240bcf3b86,ba003048e8,550.81,6.12
240bcf3b86,f4e70c8e0a,177.81,1.98
240bcf3b86,ee0434766a,136.74,1.52
240bcf3b86,1eea7b8045,178.58,1.98
240bcf3b86,0529d01b37,72.11,0.8
240bcf3b86,37fd2072f0,149.36,1.66
240bcf3b86,62ebfbbb84,118.18,1.31
240bcf3b86,80970b9691,241.28,2.68
240bcf3b86,a28f8ae066,231.2,2.57
240bcf3b86,922c6c5ef3,162.94,1.81
240bcf3b86,b00c419c25,115.5,1.28
240bcf3b86,424487056d,56.65,0.63
240bcf3b86,3c96fc947f,13.62,0.15
240bcf3b86,7dddc644e9,693.99,7.71
240bcf3b86,281490894e,698.46,7.76
240bcf3b86,7bf43bceb8,311.26,3.46
240bcf3b86,74e1ed67d0,175.46,1.95
240bcf3b86,edd8009eca,145.33,1.61
240bcf3b86,12b0b1a628,385.49,4.28
240bcf3b86,d0125b298d,135.2,1.5
240bcf3b86,60c6c43768,216.99,2.41
240bcf3b86,3d907cf790,82.97,0.92
240bcf3b86,e670a8a9d4,515.47,5.73
240bcf3b86,a3b09374ca,52.5,0.58
240bcf3b86,b6dce97688,2183.71,24.26
240bcf3b86,0fdecd5432,116.73,1.3
240bcf3b86,ff39ac6cd5,248.82,2.76
240bcf3b86,ddb5fdc991,269.53,2.99
240bcf3b86,d7f1b6856c,378.74,4.21
240bcf3b86,db6c6815b7,122.03,1.36
240bcf3b86,2e6a884ef6,32.27,0.36
240bcf3b86,12384e93b5,182.59,2.03
240bcf3b86,586fa13d50,122.36,1.36
240bcf3b86,e31fdcab4d,108.87,1.21
240bcf3b86,0efb9deb16,337.61,3.75
240bcf3b86,1f6b6dee21,43.61,0.48
240bcf3b86,41ef9fd543,71.71,0.8
240bcf3b86,2ead0b9159,60.1,0.67
240bcf3b86,2564412b8f,145.11,1.61
240bcf3b86,d9b1bf95e4,405.14,4.5
240bcf3b86,848e63cb28,6.62,0.07
240bcf3b86,5dd85f8e6a,2020.54,22.45
240bcf3b86,6402422335,83.21,0.92
240bcf3b86,b9aad8372d,203.6,2.26
240bcf3b86,c008c057ed,148.36,1.65
240bcf3b86,95082386e2,141.11,1.57
240bcf3b86,ed02bf352c,81.25,0.9
240bcf3b86,cd1422ca19,153.38,1.7
240bcf3b86,e41909fd82,163.05,1.81
240bcf3b86,005141b844,122.35,1.36
240bcf3b86,49a6fe0fc7,391.6,4.35
240bcf3b86,346f4572dd,47.13,0.52
240bcf3b86,aadd50e099,203.01,2.26
240bcf3b86,6cf3b39ac6,81.07,0.9
240bcf3b86,234ac45c54,96.97,1.08
240bcf3b86,e3125ea691,54.72,0.61
240bcf3b86,50eba3b5e2,113.94,1.27
240bcf3b86,5f5c0209bb,85.62,0.95
240bcf3b86,c2bdcbf1e6,90.09,1.0
240bcf3b86,42ff9f0471,100.44,1.12
240bcf3b86,3821e42e30,53.46,0.59
240bcf3b86,5ce079596e,125.78,1.4
240bcf3b86,7c7c461a2c,139.6,1.55
240bcf3b86,3a0c8b81c5,107.13,1.19
240bcf3b86,9427f1d332,52.31,0.58
240bcf3b86,759ab81d90,81.63,0.91
240bcf3b86,b589ec1523,293.29,3.26
240bcf3b86,71d038e16f,179.51,1.99
240bcf3b86,1cebeaa211,153.71,1.71
240bcf3b86,590999acbe,679.78,7.55
240bcf3b86,78e967fa70,215.81,2.4
240bcf3b86,e79898ae7c,113.63,1.26
240bcf3b86,95e6949dee,424.66,4.72
240bcf3b86,8e4c430aea,75.95,0.84
240bcf3b86,d617085ab1,693.57,7.71
240bcf3b86,5960156fbf,120.35,1.34
240bcf3b86,f2684ab93d,164.2,1.82
240bcf3b86,e639973562,58.1,0.65
240bcf3b86,afe899e53c,157.41,1.75
240bcf3b86,8a629a2faf,13.6,0.15
240bcf3b86,f555606743,91.52,1.02
240bcf3b86,7cf439946f,126.55,1.41
240bcf3b86,2647a93e20,106.45,1.18
240bcf3b86,415553669e,69.36,0.77
240bcf3b86,ca6be55f56,127.3,1.41
240bcf3b86,78bfc9430a,112.29,1.25
240bcf3b86,27b24c9df5,184.79,2.05
240bcf3b86,79fa107203,156.65,1.74
