id_node1,id_node2,distance_km,time_h
23c991379f,78bfc9430a,94.79,1.05
23c991379f,27b24c9df5,338.04,3.76
23c991379f,79fa107203,280.73,3.12
23c991379f,981f604d5a,304.43,3.38
23c991379f,efbcc0b9a0,285.19,3.17
23c991379f,2fac506b51,205.25,2.28
23c991379f,d0be6fa4fa,49.94,0.55
23c991379f,842b603099,196.48,2.18
23c991379f,b239d81b8f,306.25,3.4
23c991379f,804e0ad062,212.78,2.36
23c991379f,7ce0c227c6,317.97,3.53
23c991379f,04964861f5,206.25,2.29
23c991379f,89890345fa,337.57,3.75
23c991379f,b1ce30e917,228.77,2.54
23c991379f,1d2f5b1f88,219.3,2.44
23c991379f,bab5bfe703,253.04,2.81
23c991379f,a414d2ed32,348.51,3.87
23c991379f,b690a2ff75,255.78,2.84
23c991379f,726881ca61,16.62,0.18
23c991379f,6d5a036687,194.28,2.16
23c991379f,14e455cf83,274.51,3.05
23c991379f,78f9d4c5d1,169.0,1.88
23c991379f,cfdcacd037,206.54,2.29
23c991379f,60aefb3512,250.06,2.78
23c991379f,34ad001b2f,92.29,1.03
23c991379f,b3cfda26af,300.17,3.34
23c991379f,1272cc6601,170.92,1.9
23c991379f,9f242fa503,223.9,2.49
23c991379f,5d01947735,325.73,3.62
23c991379f,1aed189151,268.54,2.98
23c991379f,1ea179db6e,313.62,3.48
23c991379f,69dfc2f4c6,344.61,3.83
23c991379f,b204986e97,207.82,2.31
23c991379f,449532c12a,200.4,2.23
23c991379f,b1dbe52773,158.71,1.76
23c991379f,5aa18783d9,152.69,1.7
23c991379f,d7a7f5f186,453.59,5.04
23c991379f,a4b4269028,240.87,2.68
23c991379f,4f29488858,454.17,5.05
23c991379f,dc68d61efe,312.04,3.47
23c991379f,ab3aa544bb,372.03,4.13
23c991379f,cdb82c173e,977.87,10.87
23c991379f,1afc5769de,201.39,2.24
23c991379f,aace534141,266.2,2.96
23c991379f,ba22951abf,183.92,2.04
23c991379f,76842b6054,250.54,2.78
23c991379f,96938eb81c,367.64,4.08
23c991379f,a65fbc4ab8,856.82,9.52
23c991379f,7f694862c1,154.62,1.72
23c991379f,c07d769be6,385.65,4.29
23c991379f,e543fa995c,196.61,2.18
23c991379f,8a1bb7feec,135.89,1.51
23c991379f,d58d68833e,197.76,2.2
23c991379f,d8cc4bb419,229.07,2.55
23c991379f,299e7a18cb,223.92,2.49
23c991379f,49b4f34ea9,165.92,1.84
23c991379f,a3a9e10564,249.44,2.77
23c991379f,63c4c4f3d9,214.65,2.38
23c991379f,af421d3b60,206.9,2.3
23c991379f,8306cc8e30,485.17,5.39
23c991379f,598f6b1ff7,255.11,2.83
23c991379f,abce769cab,232.53,2.58
23c991379f,98754995a6,534.81,5.94
23c991379f,33e177c42e,212.18,2.36
23c991379f,ad71836e91,21.12,0.23
23c991379f,a6c2fe526b,280.96,3.12
23c991379f,1dfb6be4dc,292.54,3.25
23c991379f,a43706005a,279.99,3.11
23c991379f,b0ab1673fb,263.13,2.92
23c991379f,b82e1d1c74,280.16,3.11
23c991379f,b2de859bf8,37.93,0.42
23c991379f,f183432985,386.59,4.3
23c991379f,c6f610746c,343.53,3.82
23c991379f,167d5c6c7b,253.43,2.82
23c991379f,85c935495a,217.28,2.41
23c991379f,6d722d410f,448.86,4.99
23c991379f,5f0ac761d4,756.58,8.41
23c991379f,cfdd95192d,605.37,6.73
23c991379f,79ada411eb,72.04,0.8
23c991379f,9f5acb8ed6,571.37,6.35
23c991379f,e86d450d76,1048.42,11.65
23c991379f,1a1043fa41,256.12,2.85
23c991379f,3954004707,129.79,1.44
23c991379f,c83d9fa7a3,523.79,5.82
23c991379f,e88a15fc13,668.86,7.43
23c991379f,0ecd8c5a61,65.65,0.73
23c991379f,c23d6b7fb2,217.21,2.41
23c991379f,1abd0377b2,254.77,2.83
23c991379f,86907304fb,272.74,3.03
23c991379f,f15c148a6b,68.2,0.76
23c991379f,d172433026,137.92,1.53
23c991379f,01bb856af9,378.26,4.2
23c991379f,6871679ae5,298.32,3.31
23c991379f,1c365b01df,558.68,6.21
23c991379f,c7a41cfefd,240.63,2.67
23c991379f,bad0c64c7d,203.89,2.27
23c991379f,10c1a3432c,275.22,3.06
23c991379f,17cefebfdc,963.08,10.7
23c991379f,8a766e4a89,258.51,2.87
23c991379f,e5592a2a36,679.54,7.55
23c991379f,7426b293df,96.8,1.08
23c991379f,c9eed4dd25,191.62,2.13
23c991379f,de0c1f40b4,99.82,1.11
23c991379f,99f5c51525,351.12,3.9
23c991379f,ac30530da1,298.54,3.32
23c991379f,7b0b944330,312.13,3.47
23c991379f,323857f277,346.12,3.85
23c991379f,4fc75cc1b8,150.58,1.67
23c991379f,918139003b,387.71,4.31
23c991379f,dee3d2e10f,2151.03,23.9
23c991379f,5758fc58f5,247.5,2.75
23c991379f,6cad90dae0,139.16,1.55
23c991379f,2a7f397c3e,275.14,3.06
23c991379f,ce95e5b722,283.99,3.16
23c991379f,2fd98aad68,704.95,7.83
23c991379f,951362d212,325.07,3.61
23c991379f,ff99d64e7c,80.33,0.89
23c991379f,13ffc02990,442.12,4.91
23c991379f,166438f590,283.28,3.15
23c991379f,99e076ff71,237.17,2.64
23c991379f,9658cb58c7,271.65,3.02
23c991379f,0dde5e2a00,164.15,1.82
