Episode 69 | Loss: 8.358 | Policy: -1.294 | Value: 19.305 | Reward: -1300.26
Episode 70 | Loss: 7.367 | Policy: -1.229 | Value: 17.192 | Reward: -1300.26
Episode 71 | Loss: 0.822 | Policy: 0.506 | Value: 0.632 | Reward: -1300.26
Episode 72 | Loss: 0.472 | Policy: 0.290 | Value: 0.364 | Reward: -1300.36
Episode 73 | Loss: 8.393 | Policy: -1.285 | Value: 19.356 | Reward: -1300.26
Episode 74 | Loss: 7.403 | Policy: -1.221 | Value: 17.247 | Reward: -1300.26
Episode 75 | Loss: 0.782 | Policy: 0.491 | Value: 0.581 | Reward: -1300.26
Episode 76 | Loss: 0.437 | Policy: 0.276 | Value: 0.324 | Reward: -1300.26
Episode 77 | Loss: 8.433 | Policy: -1.277 | Value: 19.421 | Reward: -1300.26
Episode 78 | Loss: 7.441 | Policy: -1.213 | Value: 17.309 | Reward: -1300.26
Episode 79 | Loss: 0.746 | Policy: 0.478 | Value: 0.536 | Reward: -1300.26
Episode 80 | Loss: 0.408 | Policy: 0.263 | Value: 0.289 | Reward: -1300.26
Episode 81 | Loss: 8.468 | Policy: -1.269 | Value: 19.474 | Reward: -1300.26
Episode 82 | Loss: 7.472 | Policy: -1.205 | Value: 17.354 | Reward: -1300.26
Episode 83 | Loss: 0.718 | Policy: 0.468 | Value: 0.499 | Reward: -1300.26
Episode 84 | Loss: 0.384 | Policy: 0.254 | Value: 0.260 | Reward: -1300.26
Episode 85 | Loss: 8.496 | Policy: -1.261 | Value: 19.514 | Reward: -1300.26
Episode 86 | Loss: 7.499 | Policy: -1.196 | Value: 17.390 | Reward: -1300.26
Episode 87 | Loss: 0.693 | Policy: 0.460 | Value: 0.467 | Reward: -1300.26
Episode 88 | Loss: 0.363 | Policy: 0.246 | Value: 0.235 | Reward: -1300.26
Episode 89 | Loss: 8.527 | Policy: -1.253 | Value: 19.560 | Reward: -1300.26
Episode 90 | Loss: 7.539 | Policy: -1.190 | Value: 17.458 | Reward: -1300.26
Episode 91 | Loss: 0.658 | Policy: 0.444 | Value: 0.428 | Reward: -1300.26
Episode 92 | Loss: 0.330 | Policy: 0.227 | Value: 0.205 | Reward: -1300.26
Episode 93 | Loss: 8.591 | Policy: -1.249 | Value: 19.680 | Reward: -1300.26
Episode 94 | Loss: 7.621 | Policy: -1.188 | Value: 17.618 | Reward: -1300.26
Episode 95 | Loss: 0.589 | Policy: 0.406 | Value: 0.366 | Reward: -1300.26
Episode 96 | Loss: 0.276 | Policy: 0.191 | Value: 0.169 | Reward: -1300.26
Episode 97 | Loss: 8.672 | Policy: -1.247 | Value: 19.837 | Reward: -1300.26
Episode 98 | Loss: 7.678 | Policy: -1.184 | Value: 17.725 | Reward: -1300.26
Episode 99 | Loss: 0.554 | Policy: 0.388 | Value: 0.333 | Reward: -1300.26
