Episode 69 | Loss: 0.698 | Policy: 0.510 | Value: 0.377 | Reward: -1550.26
Episode 70 | Loss: 0.075 | Policy: 0.063 | Value: 0.024 | Reward: -1550.26
Episode 71 | Loss: -0.029 | Policy: -0.288 | Value: 0.519 | Reward: -1550.26
Episode 72 | Loss: 0.189 | Policy: -0.413 | Value: 1.206 | Reward: -1550.26
Episode 73 | Loss: 0.199 | Policy: -0.415 | Value: 1.228 | Reward: -1550.34
Episode 74 | Loss: 0.004 | Policy: -0.306 | Value: 0.621 | Reward: -1550.26
Episode 75 | Loss: -0.079 | Policy: -0.098 | Value: 0.038 | Reward: -1550.34
Episode 76 | Loss: 0.403 | Policy: 0.325 | Value: 0.156 | Reward: -1300.26
Episode 77 | Loss: 1.756 | Policy: 1.031 | Value: 1.450 | Reward: -1550.26
Episode 78 | Loss: 1.242 | Policy: 0.797 | Value: 0.890 | Reward: -1300.26
Episode 79 | Loss: 1.436 | Policy: 0.892 | Value: 1.088 | Reward: -1550.34
Episode 80 | Loss: 0.534 | Policy: 0.412 | Value: 0.244 | Reward: -1550.26
Episode 81 | Loss: 0.080 | Policy: -0.174 | Value: 0.508 | Reward: -1300.26
Episode 82 | Loss: 0.354 | Policy: -0.277 | Value: 1.263 | Reward: -1300.29
Episode 83 | Loss: 0.022 | Policy: -0.301 | Value: 0.646 | Reward: -1550.26
Episode 84 | Loss: -0.072 | Policy: -0.206 | Value: 0.269 | Reward: -1550.26
Episode 85 | Loss: 0.066 | Policy: 0.058 | Value: 0.016 | Reward: -1550.26
Episode 86 | Loss: -0.000 | Policy: -0.008 | Value: 0.014 | Reward: -1300.26
Episode 87 | Loss: 0.973 | Policy: 0.666 | Value: 0.614 | Reward: -1550.26
Episode 88 | Loss: 1.189 | Policy: 0.775 | Value: 0.827 | Reward: -1550.29
Episode 89 | Loss: 0.363 | Policy: 0.298 | Value: 0.131 | Reward: -1300.26
