Episode 69 | Loss: 3.222 | Policy: -1.239 | Value: 8.922 | Reward: -1550.36
Episode 70 | Loss: 1.108 | Policy: -0.901 | Value: 4.016 | Reward: -1550.36
Episode 71 | Loss: 4.094 | Policy: 1.760 | Value: 4.669 | Reward: -1550.36
Episode 72 | Loss: 5.107 | Policy: 2.024 | Value: 6.168 | Reward: -1300.36
Episode 73 | Loss: -0.051 | Policy: -0.203 | Value: 0.303 | Reward: -1300.36
Episode 74 | Loss: 0.904 | Policy: 0.533 | Value: 0.741 | Reward: -1550.36
Episode 75 | Loss: 0.870 | Policy: -0.838 | Value: 3.417 | Reward: -1550.36
Episode 76 | Loss: -0.018 | Policy: -0.536 | Value: 1.036 | Reward: -1550.36
Episode 77 | Loss: 7.302 | Policy: 2.578 | Value: 9.448 | Reward: -1550.36
Episode 78 | Loss: 9.020 | Policy: 2.942 | Value: 12.157 | Reward: -1550.36
Episode 79 | Loss: 0.996 | Policy: 0.593 | Value: 0.804 | Reward: -1550.36
Episode 80 | Loss: 9.718 | Policy: -1.830 | Value: 23.096 | Reward: -1550.36
Episode 81 | Loss: 19.806 | Policy: -2.453 | Value: 44.518 | Reward: -1550.36
Episode 82 | Loss: 11.944 | Policy: -1.984 | Value: 27.856 | Reward: -1550.36
Episode 83 | Loss: 0.005 | Policy: -0.535 | Value: 1.080 | Reward: -1550.36
Episode 84 | Loss: 23.702 | Policy: 5.209 | Value: 36.985 | Reward: -1550.36
Episode 85 | Loss: 51.011 | Policy: 7.985 | Value: 86.053 | Reward: -1550.36
Episode 86 | Loss: 49.085 | Policy: 7.819 | Value: 82.533 | Reward: -1550.36
Episode 87 | Loss: 22.149 | Policy: 5.013 | Value: 34.273 | Reward: -1550.36
Episode 88 | Loss: -0.038 | Policy: -0.159 | Value: 0.242 | Reward: -1550.36
Episode 89 | Loss: 2.027 | Policy: -1.029 | Value: 6.111 | Reward: -1550.34
Episode 90 | Loss: 0.436 | Policy: -0.694 | Value: 2.260 | Reward: -1550.34
Episode 91 | Loss: 5.425 | Policy: 2.142 | Value: 6.564 | Reward: -1550.36
Episode 92 | Loss: 7.242 | Policy: 2.576 | Value: 9.332 | Reward: -1550.36
Episode 93 | Loss: 0.515 | Policy: 0.325 | Value: 0.380 | Reward: -1550.36
Episode 94 | Loss: 10.511 | Policy: -1.861 | Value: 24.744 | Reward: -1550.34
Episode 95 | Loss: 20.348 | Policy: -2.455 | Value: 45.606 | Reward: -1550.36
Episode 96 | Loss: 12.178 | Policy: -1.973 | Value: 28.302 | Reward: -1550.34
Episode 97 | Loss: 0.037 | Policy: -0.526 | Value: 1.127 | Reward: -1550.34
Episode 98 | Loss: 22.985 | Policy: 5.127 | Value: 35.717 | Reward: -1550.36
Episode 99 | Loss: 49.943 | Policy: 7.900 | Value: 84.088 | Reward: -1550.36
Episode 100 | Loss: 48.421 | Policy: 7.767 | Value: 81.308 | Reward: -1550.36
Episode 101 | Loss: 22.213 | Policy: 5.029 | Value: 34.367 | Reward: -1550.36
Episode 102 | Loss: 0.041 | Policy: -0.046 | Value: 0.174 | Reward: -1550.34
Episode 103 | Loss: 1.962 | Policy: -0.982 | Value: 5.887 | Reward: -1550.36
Episode 104 | Loss: 0.553 | Policy: -0.680 | Value: 2.467 | Reward: -1550.36
Episode 105 | Loss: 4.552 | Policy: 1.931 | Value: 5.242 | Reward: -1550.36
Episode 106 | Loss: 5.883 | Policy: 2.281 | Value: 7.206 | Reward: -1550.36
Episode 107 | Loss: 0.033 | Policy: -0.013 | Value: 0.091 | Reward: -1550.36
Episode 108 | Loss: 12.377 | Policy: -1.909 | Value: 28.571 | Reward: -1550.36
Episode 109 | Loss: 23.045 | Policy: -2.500 | Value: 51.091 | Reward: -1550.34
Episode 110 | Loss: 14.562 | Policy: -2.028 | Value: 33.178 | Reward: -1550.36
Episode 111 | Loss: 0.550 | Policy: -0.598 | Value: 2.295 | Reward: -1550.36
Episode 112 | Loss: 18.900 | Policy: 4.611 | Value: 28.577 | Reward: -1550.36
Episode 113 | Loss: 43.382 | Policy: 7.340 | Value: 72.084 | Reward: -1550.36
