C:\Users\thari\anaconda3\Lib\site-packages\torch\nn\modules\loss.py:610: UserWarning: Using a target size (torch.Size([5])) that is different to the input size (torch.Size([1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
Episode 56 | Loss: 0.490 | Policy: -0.002 | Value: 0.995 | Reward: -300.00
Episode 57 | Loss: 0.491 | Policy: -0.002 | Value: 0.995 | Reward: -300.00
Episode 58 | Loss: 0.491 | Policy: -0.002 | Value: 0.995 | Reward: -300.00
Episode 59 | Loss: 0.491 | Policy: -0.002 | Value: 0.995 | Reward: -300.00
Episode 60 | Loss: 0.492 | Policy: -0.001 | Value: 0.995 | Reward: -300.00
Episode 61 | Loss: 0.492 | Policy: -0.001 | Value: 0.995 | Reward: -300.00
Episode 62 | Loss: 0.493 | Policy: -0.000 | Value: 0.995 | Reward: -300.00
Episode 63 | Loss: 0.494 | Policy: 0.000 | Value: 0.995 | Reward: -300.00
Episode 64 | Loss: 0.494 | Policy: 0.001 | Value: 0.995 | Reward: -300.00
Episode 65 | Loss: 0.495 | Policy: 0.001 | Value: 0.995 | Reward: -300.00
Episode 66 | Loss: 0.495 | Policy: 0.002 | Value: 0.995 | Reward: -300.00
Episode 67 | Loss: 0.495 | Policy: 0.002 | Value: 0.995 | Reward: -300.00
Episode 68 | Loss: 0.495 | Policy: 0.002 | Value: 0.995 | Reward: -300.00
Episode 69 | Loss: 0.495 | Policy: 0.001 | Value: 0.995 | Reward: -300.00
Episode 70 | Loss: 0.495 | Policy: 0.001 | Value: 0.995 | Reward: -300.00
Episode 71 | Loss: 0.494 | Policy: 0.001 | Value: 0.995 | Reward: -300.00
Episode 72 | Loss: 0.494 | Policy: 0.000 | Value: 0.995 | Reward: -300.00
Episode 73 | Loss: 0.493 | Policy: 0.000 | Value: 0.995 | Reward: -300.00
Episode 74 | Loss: 0.493 | Policy: -0.000 | Value: 0.995 | Reward: -300.00
Episode 75 | Loss: 0.493 | Policy: -0.001 | Value: 0.995 | Reward: -300.00
Episode 76 | Loss: 0.493 | Policy: -0.001 | Value: 0.995 | Reward: -300.00
Episode 77 | Loss: 0.493 | Policy: -0.001 | Value: 0.995 | Reward: -300.00
Episode 78 | Loss: 0.493 | Policy: -0.001 | Value: 0.995 | Reward: -300.00
Episode 79 | Loss: 0.493 | Policy: -0.001 | Value: 0.995 | Reward: -300.00
Episode 80 | Loss: 0.493 | Policy: -0.001 | Value: 0.995 | Reward: -300.00
Episode 81 | Loss: 0.493 | Policy: -0.000 | Value: 0.995 | Reward: -300.00
Episode 82 | Loss: 0.493 | Policy: -0.000 | Value: 0.995 | Reward: -300.00
Episode 83 | Loss: 0.494 | Policy: 0.000 | Value: 0.995 | Reward: -300.00
Episode 84 | Loss: 0.494 | Policy: 0.000 | Value: 0.995 | Reward: -300.00
Episode 85 | Loss: 0.494 | Policy: 0.000 | Value: 0.995 | Reward: -300.00
Episode 86 | Loss: 0.494 | Policy: 0.001 | Value: 0.995 | Reward: -300.00
Episode 87 | Loss: 0.494 | Policy: 0.001 | Value: 0.995 | Reward: -300.00
Episode 88 | Loss: 0.494 | Policy: 0.001 | Value: 0.995 | Reward: -300.00
Episode 89 | Loss: 0.494 | Policy: 0.001 | Value: 0.995 | Reward: -300.00
Episode 90 | Loss: 0.494 | Policy: 0.000 | Value: 0.995 | Reward: -300.00
Episode 91 | Loss: 0.494 | Policy: 0.000 | Value: 0.995 | Reward: -300.00
Episode 92 | Loss: 0.494 | Policy: 0.000 | Value: 0.995 | Reward: -300.00
Episode 93 | Loss: 0.493 | Policy: -0.000 | Value: 0.995 | Reward: -300.00
Episode 94 | Loss: 0.493 | Policy: -0.000 | Value: 0.995 | Reward: -300.00
Episode 95 | Loss: 0.493 | Policy: -0.000 | Value: 0.995 | Reward: -300.00
Episode 96 | Loss: 0.493 | Policy: -0.000 | Value: 0.995 | Reward: -300.00
Episode 97 | Loss: 0.493 | Policy: -0.000 | Value: 0.995 | Reward: -300.00
Episode 98 | Loss: 0.493 | Policy: -0.000 | Value: 0.995 | Reward: -300.00
Episode 99 | Loss: 0.493 | Policy: -0.000 | Value: 0.995 | Reward: -300.00
Episode 100 | Loss: 0.493 | Policy: -0.000 | Value: 0.995 | Reward: -300.00
Episode 101 | Loss: 0.493 | Policy: -0.000 | Value: 0.995 | Reward: -300.00
Episode 102 | Loss: 0.493 | Policy: 0.000 | Value: 0.995 | Reward: -300.00
Episode 103 | Loss: 0.494 | Policy: 0.000 | Value: 0.995 | Reward: -300.00
Episode 104 | Loss: 0.494 | Policy: 0.000 | Value: 0.995 | Reward: -300.00
Episode 105 | Loss: 0.494 | Policy: 0.000 | Value: 0.995 | Reward: -300.00
Episode 106 | Loss: 0.494 | Policy: 0.000 | Value: 0.995 | Reward: -300.00
Episode 107 | Loss: 0.494 | Policy: 0.000 | Value: 0.995 | Reward: -300.00
Episode 108 | Loss: 0.494 | Policy: 0.000 | Value: 0.995 | Reward: -300.00
Episode 109 | Loss: 0.494 | Policy: 0.000 | Value: 0.995 | Reward: -300.00
Episode 110 | Loss: 0.493 | Policy: 0.000 | Value: 0.995 | Reward: -300.00
Episode 111 | Loss: 0.493 | Policy: 0.000 | Value: 0.995 | Reward: -300.00
Episode 112 | Loss: 0.493 | Policy: 0.000 | Value: 0.995 | Reward: -300.00
Episode 113 | Loss: 0.493 | Policy: -0.000 | Value: 0.995 | Reward: -300.00
Episode 114 | Loss: 0.493 | Policy: -0.000 | Value: 0.995 | Reward: -300.00
Episode 115 | Loss: 0.493 | Policy: -0.000 | Value: 0.995 | Reward: -300.00
Episode 116 | Loss: 0.493 | Policy: -0.000 | Value: 0.995 | Reward: -300.00
Episode 117 | Loss: 0.493 | Policy: -0.000 | Value: 0.995 | Reward: -300.00
Episode 118 | Loss: 0.493 | Policy: 0.000 | Value: 0.995 | Reward: -300.00
Episode 119 | Loss: 0.493 | Policy: 0.000 | Value: 0.995 | Reward: -300.00
Episode 120 | Loss: 0.493 | Policy: 0.000 | Value: 0.995 | Reward: -300.00
Episode 121 | Loss: 0.493 | Policy: 0.000 | Value: 0.995 | Reward: -300.00
Episode 122 | Loss: 0.493 | Policy: 0.000 | Value: 0.995 | Reward: -300.00
Episode 123 | Loss: 0.493 | Policy: 0.000 | Value: 0.995 | Reward: -300.00
Episode 124 | Loss: 0.493 | Policy: 0.000 | Value: 0.995 | Reward: -300.00
Episode 125 | Loss: 0.493 | Policy: 0.000 | Value: 0.995 | Reward: -300.00
Episode 126 | Loss: 0.493 | Policy: 0.000 | Value: 0.995 | Reward: -300.00
Episode 127 | Loss: 0.493 | Policy: 0.000 | Value: 0.995 | Reward: -300.00
Episode 128 | Loss: 0.493 | Policy: 0.000 | Value: 0.995 | Reward: -300.00
Episode 129 | Loss: 0.493 | Policy: 0.000 | Value: 0.995 | Reward: -300.00
Episode 130 | Loss: 0.493 | Policy: 0.000 | Value: 0.995 | Reward: -314.50
Episode 131 | Loss: 0.494 | Policy: 0.001 | Value: 0.995 | Reward: -300.00
Episode 132 | Loss: 0.493 | Policy: 0.002 | Value: 0.995 | Reward: -314.50
Episode 133 | Loss: 0.490 | Policy: -0.003 | Value: 0.995 | Reward: -314.50
Episode 134 | Loss: 0.480 | Policy: -0.012 | Value: 0.995 | Reward: -314.50
Episode 135 | Loss: 0.497 | Policy: 0.006 | Value: 0.995 | Reward: -314.50
Episode 136 | Loss: 0.491 | Policy: -0.002 | Value: 0.995 | Reward: -314.50
Episode 137 | Loss: 0.492 | Policy: -0.001 | Value: 0.995 | Reward: -300.00
Episode 138 | Loss: 0.491 | Policy: -0.002 | Value: 0.995 | Reward: -300.00
Episode 139 | Loss: 0.491 | Policy: -0.002 | Value: 0.995 | Reward: -300.00
Episode 140 | Loss: 0.491 | Policy: -0.003 | Value: 0.995 | Reward: -300.00
Episode 141 | Loss: 0.491 | Policy: -0.002 | Value: 0.995 | Reward: -300.00
Episode 142 | Loss: 0.491 | Policy: -0.002 | Value: 0.995 | Reward: -300.00
Episode 143 | Loss: 0.492 | Policy: -0.001 | Value: 0.995 | Reward: -300.00
Episode 144 | Loss: 0.493 | Policy: -0.001 | Value: 0.995 | Reward: -300.00
Episode 145 | Loss: 0.493 | Policy: 0.000 | Value: 0.995 | Reward: -300.00
Episode 146 | Loss: 0.494 | Policy: 0.001 | Value: 0.995 | Reward: -300.00
Episode 147 | Loss: 0.494 | Policy: 0.001 | Value: 0.995 | Reward: -300.00
Episode 148 | Loss: 0.494 | Policy: 0.001 | Value: 0.995 | Reward: -300.00
Episode 149 | Loss: 0.494 | Policy: 0.001 | Value: 0.995 | Reward: -300.00
Episode 150 | Loss: 0.494 | Policy: 0.001 | Value: 0.995 | Reward: -300.00
Episode 151 | Loss: 0.494 | Policy: 0.001 | Value: 0.995 | Reward: -300.00
Episode 152 | Loss: 0.493 | Policy: 0.000 | Value: 0.995 | Reward: -300.00
Episode 153 | Loss: 0.493 | Policy: -0.000 | Value: 0.995 | Reward: -300.00
Episode 154 | Loss: 0.493 | Policy: -0.000 | Value: 0.995 | Reward: -300.00
Episode 155 | Loss: 0.492 | Policy: -0.001 | Value: 0.995 | Reward: -300.00
Episode 156 | Loss: 0.492 | Policy: -0.001 | Value: 0.995 | Reward: -300.00
Episode 157 | Loss: 0.492 | Policy: -0.001 | Value: 0.995 | Reward: -300.00
Episode 158 | Loss: 0.492 | Policy: -0.001 | Value: 0.995 | Reward: -300.00
Episode 159 | Loss: 0.492 | Policy: -0.001 | Value: 0.995 | Reward: -300.00
Episode 160 | Loss: 0.493 | Policy: -0.000 | Value: 0.995 | Reward: -300.00
Episode 161 | Loss: 0.493 | Policy: -0.000 | Value: 0.995 | Reward: -300.00
Episode 162 | Loss: 0.493 | Policy: 0.000 | Value: 0.995 | Reward: -300.00
Episode 163 | Loss: 0.493 | Policy: 0.000 | Value: 0.995 | Reward: -300.00
Episode 164 | Loss: 0.493 | Policy: 0.000 | Value: 0.995 | Reward: -300.00
Episode 165 | Loss: 0.493 | Policy: 0.000 | Value: 0.995 | Reward: -300.00
Episode 166 | Loss: 0.493 | Policy: 0.000 | Value: 0.995 | Reward: -300.00
Episode 167 | Loss: 0.493 | Policy: 0.000 | Value: 0.995 | Reward: -300.00
Episode 168 | Loss: 0.493 | Policy: 0.000 | Value: 0.995 | Reward: -300.00
Episode 169 | Loss: 0.493 | Policy: -0.000 | Value: 0.995 | Reward: -300.00
Episode 170 | Loss: 0.493 | Policy: -0.000 | Value: 0.995 | Reward: -300.00
Episode 171 | Loss: 0.492 | Policy: -0.000 | Value: 0.995 | Reward: -300.00
Episode 172 | Loss: 0.492 | Policy: -0.000 | Value: 0.995 | Reward: -300.00
Episode 173 | Loss: 0.492 | Policy: -0.000 | Value: 0.995 | Reward: -300.00
Episode 174 | Loss: 0.492 | Policy: -0.000 | Value: 0.995 | Reward: -300.00
Episode 175 | Loss: 0.493 | Policy: -0.000 | Value: 0.995 | Reward: -300.00
Episode 176 | Loss: 0.493 | Policy: -0.000 | Value: 0.995 | Reward: -300.00
Episode 177 | Loss: 0.493 | Policy: 0.000 | Value: 0.995 | Reward: -300.00
Episode 178 | Loss: 0.493 | Policy: 0.000 | Value: 0.995 | Reward: -300.00
