Episode 71 | Loss: 0.801 | Policy: 0.556 | Value: 0.507 | Reward: -730.26
Episode 72 | Loss: 0.440 | Policy: 0.350 | Value: 0.198 | Reward: -470.41
Episode 73 | Loss: 2.633 | Policy: 1.367 | Value: 2.543 | Reward: -990.26
Episode 74 | Loss: 0.925 | Policy: 0.632 | Value: 0.600 | Reward: -730.26
Episode 75 | Loss: 0.055 | Policy: 0.048 | Value: 0.029 | Reward: -600.26
Episode 76 | Loss: -0.048 | Policy: -0.184 | Value: 0.288 | Reward: -600.26
Episode 77 | Loss: -0.085 | Policy: -0.250 | Value: 0.345 | Reward: -730.29
Episode 78 | Loss: -0.067 | Policy: -0.262 | Value: 0.405 | Reward: -730.31
Episode 79 | Loss: -0.102 | Policy: -0.206 | Value: 0.223 | Reward: -730.26
Episode 80 | Loss: -0.052 | Policy: -0.065 | Value: 0.041 | Reward: -730.29
Episode 81 | Loss: 1.004 | Policy: 0.662 | Value: 0.695 | Reward: -860.31
Episode 82 | Loss: 0.212 | Policy: 0.185 | Value: 0.068 | Reward: -470.41
Episode 83 | Loss: 0.550 | Policy: 0.419 | Value: 0.275 | Reward: -600.34
Episode 84 | Loss: 0.683 | Policy: 0.496 | Value: 0.386 | Reward: -730.26
Episode 85 | Loss: 0.608 | Policy: 0.446 | Value: 0.336 | Reward: -860.26
Episode 86 | Loss: -0.146 | Policy: -0.213 | Value: 0.149 | Reward: -730.26
Episode 87 | Loss: -0.039 | Policy: -0.254 | Value: 0.447 | Reward: -730.29
Episode 88 | Loss: -0.034 | Policy: -0.283 | Value: 0.515 | Reward: -730.29
Episode 89 | Loss: -0.133 | Policy: -0.158 | Value: 0.071 | Reward: -860.26
Episode 90 | Loss: 0.170 | Policy: 0.144 | Value: 0.070 | Reward: -860.29
Episode 91 | Loss: -0.013 | Policy: -0.016 | Value: 0.025 | Reward: -730.26
Episode 92 | Loss: 0.103 | Policy: 0.095 | Value: 0.037 | Reward: -730.26
Episode 93 | Loss: 0.055 | Policy: 0.053 | Value: 0.026 | Reward: -730.31
Episode 94 | Loss: 0.023 | Policy: -0.121 | Value: 0.306 | Reward: -600.26
Episode 95 | Loss: 0.213 | Policy: -0.168 | Value: 0.778 | Reward: -470.41
Episode 96 | Loss: 0.003 | Policy: -0.002 | Value: 0.021 | Reward: -730.36
Episode 97 | Loss: 0.365 | Policy: 0.295 | Value: 0.146 | Reward: -730.26
Episode 98 | Loss: 0.183 | Policy: 0.158 | Value: 0.054 | Reward: -600.36
Episode 99 | Loss: 0.094 | Policy: 0.082 | Value: 0.026 | Reward: -600.36
Episode 100 | Loss: 0.080 | Policy: 0.068 | Value: 0.028 | Reward: -730.36
Episode 101 | Loss: -0.055 | Policy: -0.075 | Value: 0.043 | Reward: -860.29
Episode 102 | Loss: -0.002 | Policy: -0.202 | Value: 0.401 | Reward: -730.26
Episode 103 | Loss: -0.006 | Policy: -0.195 | Value: 0.379 | Reward: -730.34
Episode 104 | Loss: -0.058 | Policy: -0.134 | Value: 0.155 | Reward: -730.36
Episode 105 | Loss: 0.045 | Policy: 0.036 | Value: 0.019 | Reward: -730.39
Episode 106 | Loss: 0.631 | Policy: 0.464 | Value: 0.335 | Reward: -860.29
Episode 107 | Loss: 0.146 | Policy: 0.127 | Value: 0.040 | Reward: -730.26
Episode 108 | Loss: -0.031 | Policy: -0.044 | Value: 0.028 | Reward: -730.36
