Episode 69 | Loss: -0.066 | Policy: -0.131 | Value: 0.128 | Reward: -1300.31
Episode 70 | Loss: 3.485 | Policy: 1.622 | Value: 3.726 | Reward: -1300.31
Episode 71 | Loss: 5.994 | Policy: 2.295 | Value: 7.396 | Reward: -1300.31
Episode 72 | Loss: 4.340 | Policy: 1.871 | Value: 4.937 | Reward: -1300.31
Episode 73 | Loss: 0.630 | Policy: 0.460 | Value: 0.340 | Reward: -1300.31
Episode 74 | Loss: 1.743 | Policy: -0.589 | Value: 4.665 | Reward: -1300.31
Episode 75 | Loss: 4.816 | Policy: -0.894 | Value: 11.420 | Reward: -1300.31
Episode 76 | Loss: 4.473 | Policy: -0.866 | Value: 10.677 | Reward: -1300.31
Episode 77 | Loss: 1.381 | Policy: -0.538 | Value: 3.837 | Reward: -1300.31
Episode 78 | Loss: 0.480 | Policy: 0.366 | Value: 0.228 | Reward: -1300.31
Episode 79 | Loss: 2.141 | Policy: 1.166 | Value: 1.949 | Reward: -1300.31
Episode 80 | Loss: 1.396 | Policy: 0.858 | Value: 1.075 | Reward: -1300.31
Episode 81 | Loss: -0.029 | Policy: -0.179 | Value: 0.299 | Reward: -1300.31
Episode 82 | Loss: 0.032 | Policy: -0.222 | Value: 0.507 | Reward: -1300.31
Episode 83 | Loss: 0.107 | Policy: 0.080 | Value: 0.055 | Reward: -1050.34
Episode 84 | Loss: 0.123 | Policy: 0.099 | Value: 0.049 | Reward: -1300.31
Episode 85 | Loss: 1.024 | Policy: -0.338 | Value: 2.725 | Reward: -1050.29
Episode 86 | Loss: 0.544 | Policy: -0.404 | Value: 1.896 | Reward: -1300.31
Episode 87 | Loss: -0.076 | Policy: -0.118 | Value: 0.083 | Reward: -1300.31
Episode 88 | Loss: 3.767 | Policy: 1.704 | Value: 4.126 | Reward: -1300.31
Episode 89 | Loss: 5.265 | Policy: 2.102 | Value: 6.327 | Reward: -1050.29
Episode 90 | Loss: 4.759 | Policy: 1.981 | Value: 5.557 | Reward: -1300.31
Episode 91 | Loss: 0.413 | Policy: 0.321 | Value: 0.184 | Reward: -1050.34
Episode 92 | Loss: 1.401 | Policy: -0.575 | Value: 3.952 | Reward: -1300.31
Episode 93 | Loss: 4.214 | Policy: -0.878 | Value: 10.184 | Reward: -1300.31
Episode 94 | Loss: 3.861 | Policy: -0.849 | Value: 9.420 | Reward: -1300.31
Episode 95 | Loss: 1.020 | Policy: -0.522 | Value: 3.084 | Reward: -1300.31
Episode 96 | Loss: 0.772 | Policy: 0.536 | Value: 0.471 | Reward: -1300.31
Episode 97 | Loss: 2.645 | Policy: 1.342 | Value: 2.606 | Reward: -1300.31
Episode 98 | Loss: 1.838 | Policy: 1.040 | Value: 1.597 | Reward: -1300.31
Episode 99 | Loss: -0.098 | Policy: -0.161 | Value: 0.128 | Reward: -1300.31
Episode 100 | Loss: -0.079 | Policy: -0.203 | Value: 0.249 | Reward: -1300.31
Episode 101 | Loss: 0.710 | Policy: 0.500 | Value: 0.421 | Reward: -1300.31
Episode 102 | Loss: 0.062 | Policy: 0.047 | Value: 0.032 | Reward: -1050.29
Episode 103 | Loss: 0.247 | Policy: -0.361 | Value: 1.216 | Reward: -1300.31
Episode 104 | Loss: 0.322 | Policy: -0.381 | Value: 1.406 | Reward: -1300.31
Episode 105 | Loss: -0.024 | Policy: -0.048 | Value: 0.048 | Reward: -1300.31
