H:\AI Course\GNN_VRP\training\trainer.py:24: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  state_t = torch.tensor(state, dtype=torch.float32).unsqueeze(0).to(self.device)
Episode 66 | Loss: 75.118 | Policy: 0.226 | Value: 149.786 | Entropy: 0.114
Episode 67 | Loss: 60.540 | Policy: 0.109 | Value: 120.864 | Entropy: 0.089
Episode 68 | Loss: 40.819 | Policy: 1.114 | Value: 79.413 | Entropy: 0.087
Episode 69 | Loss: 112.953 | Policy: 0.114 | Value: 225.680 | Entropy: 0.088
Episode 70 | Loss: 37.107 | Policy: 4.386 | Value: 65.444 | Entropy: 0.084
Episode 71 | Loss: 75.708 | Policy: 7.340 | Value: 136.739 | Entropy: 0.079
Episode 72 | Loss: 65.358 | Policy: 5.765 | Value: 119.189 | Entropy: 0.079
Episode 73 | Loss: 63.139 | Policy: 6.442 | Value: 113.395 | Entropy: 0.082
Episode 74 | Loss: 62.269 | Policy: 6.455 | Value: 111.630 | Entropy: 0.091
Episode 75 | Loss: 40.131 | Policy: 4.697 | Value: 70.870 | Entropy: 0.131
Episode 76 | Loss: 31.748 | Policy: 1.300 | Value: 60.898 | Entropy: 0.113
Episode 77 | Loss: 36.382 | Policy: 0.983 | Value: 70.801 | Entropy: 0.169
Episode 78 | Loss: 63.772 | Policy: 0.122 | Value: 127.303 | Entropy: 0.145
Episode 79 | Loss: 55.617 | Policy: 0.108 | Value: 111.020 | Entropy: 0.125
Episode 80 | Loss: 33.372 | Policy: 0.795 | Value: 65.158 | Entropy: 0.148
Episode 81 | Loss: 25.512 | Policy: 1.012 | Value: 49.004 | Entropy: 0.188
Episode 82 | Loss: 26.681 | Policy: 2.155 | Value: 49.056 | Entropy: 0.149
Episode 83 | Loss: 32.441 | Policy: 3.966 | Value: 56.954 | Entropy: 0.177
Episode 84 | Loss: 42.480 | Policy: 5.076 | Value: 74.811 | Entropy: 0.160
Episode 85 | Loss: 30.815 | Policy: 2.222 | Value: 57.190 | Entropy: 0.192
Episode 86 | Loss: 34.450 | Policy: 4.168 | Value: 60.566 | Entropy: 0.155
Episode 87 | Loss: 38.761 | Policy: 4.204 | Value: 69.119 | Entropy: 0.215
Episode 88 | Loss: 56.893 | Policy: 6.326 | Value: 101.139 | Entropy: 0.191
Episode 89 | Loss: 21.499 | Policy: 1.258 | Value: 40.488 | Entropy: 0.223
Episode 90 | Loss: 24.447 | Policy: 1.049 | Value: 46.800 | Entropy: 0.190
Episode 91 | Loss: 30.267 | Policy: 1.741 | Value: 57.057 | Entropy: 0.263
Episode 92 | Loss: 52.499 | Policy: 0.583 | Value: 103.838 | Entropy: 0.236
Episode 93 | Loss: 27.145 | Policy: 0.312 | Value: 53.673 | Entropy: 0.274
Episode 94 | Loss: 31.812 | Policy: 1.022 | Value: 61.584 | Entropy: 0.239
Episode 95 | Loss: 38.001 | Policy: 0.618 | Value: 74.771 | Entropy: 0.233
Episode 96 | Loss: 31.979 | Policy: 3.782 | Value: 56.397 | Entropy: 0.225
Episode 97 | Loss: 27.960 | Policy: 3.075 | Value: 49.776 | Entropy: 0.252
Episode 98 | Loss: 50.810 | Policy: 6.272 | Value: 89.081 | Entropy: 0.234
Episode 99 | Loss: 28.043 | Policy: 1.845 | Value: 52.402 | Entropy: 0.259
Episode 100 | Loss: 30.982 | Policy: 3.067 | Value: 55.834 | Entropy: 0.262
Episode 101 | Loss: 29.972 | Policy: 1.743 | Value: 56.462 | Entropy: 0.280
Episode 102 | Loss: 23.834 | Policy: 2.570 | Value: 42.535 | Entropy: 0.291
Episode 103 | Loss: 23.708 | Policy: 1.291 | Value: 44.841 | Entropy: 0.303
Episode 104 | Loss: 28.960 | Policy: 1.173 | Value: 55.581 | Entropy: 0.317
Episode 105 | Loss: 25.897 | Policy: 1.397 | Value: 49.006 | Entropy: 0.325
Episode 106 | Loss: 27.854 | Policy: 1.489 | Value: 52.735 | Entropy: 0.339
Episode 107 | Loss: 25.014 | Policy: 1.400 | Value: 47.236 | Entropy: 0.345
Episode 108 | Loss: 46.930 | Policy: 0.726 | Value: 92.415 | Entropy: 0.358
Episode 109 | Loss: 25.834 | Policy: 1.623 | Value: 48.427 | Entropy: 0.289
Episode 110 | Loss: 41.163 | Policy: 5.394 | Value: 71.545 | Entropy: 0.338
Episode 111 | Loss: 24.787 | Policy: 2.970 | Value: 43.642 | Entropy: 0.343
Episode 112 | Loss: 42.397 | Policy: 4.939 | Value: 74.923 | Entropy: 0.329
Episode 113 | Loss: 33.857 | Policy: 3.337 | Value: 61.047 | Entropy: 0.354
Episode 114 | Loss: 19.279 | Policy: 1.657 | Value: 35.250 | Entropy: 0.295
Episode 115 | Loss: 29.301 | Policy: 2.640 | Value: 53.323 | Entropy: 0.003
Episode 116 | Loss: 31.235 | Policy: 0.681 | Value: 61.108 | Entropy: 0.000
Episode 117 | Loss: 35.909 | Policy: 0.761 | Value: 70.296 | Entropy: 0.000
Episode 118 | Loss: 62.384 | Policy: 0.066 | Value: 124.637 | Entropy: 0.000
Episode 119 | Loss: 38.365 | Policy: 4.366 | Value: 67.998 | Entropy: 0.000
Episode 120 | Loss: 28.990 | Policy: 3.304 | Value: 51.370 | Entropy: 0.000
Episode 121 | Loss: 41.649 | Policy: 4.934 | Value: 73.431 | Entropy: 0.000
Episode 122 | Loss: 26.668 | Policy: 2.788 | Value: 47.761 | Entropy: 0.000
Episode 123 | Loss: 24.081 | Policy: 1.886 | Value: 44.390 | Entropy: 0.000
Episode 124 | Loss: 28.695 | Policy: 1.410 | Value: 54.569 | Entropy: 0.000
Episode 125 | Loss: 24.759 | Policy: 1.669 | Value: 46.179 | Entropy: 0.000
Episode 126 | Loss: 23.534 | Policy: 1.595 | Value: 43.877 | Entropy: 0.000
Episode 127 | Loss: 25.776 | Policy: 1.509 | Value: 48.534 | Entropy: 0.000
Episode 128 | Loss: 55.912 | Policy: 0.216 | Value: 111.391 | Entropy: 0.000
Episode 129 | Loss: 22.799 | Policy: 1.301 | Value: 42.996 | Entropy: 0.000
Episode 130 | Loss: 29.476 | Policy: 3.764 | Value: 51.425 | Entropy: 0.000
Episode 131 | Loss: 28.758 | Policy: 2.568 | Value: 52.379 | Entropy: 0.000
Episode 132 | Loss: 50.812 | Policy: 5.233 | Value: 91.157 | Entropy: 0.000
Episode 133 | Loss: 34.425 | Policy: 4.201 | Value: 60.448 | Entropy: 0.000
Episode 134 | Loss: 29.687 | Policy: 2.994 | Value: 53.385 | Entropy: 0.000
Episode 135 | Loss: 34.270 | Policy: 0.940 | Value: 66.661 | Entropy: 0.000
Episode 136 | Loss: 23.419 | Policy: 1.144 | Value: 44.550 | Entropy: 0.000
Episode 137 | Loss: 20.696 | Policy: 1.106 | Value: 39.181 | Entropy: 0.000
Episode 138 | Loss: 25.662 | Policy: 1.413 | Value: 48.498 | Entropy: 0.000
Episode 139 | Loss: 28.294 | Policy: 0.953 | Value: 54.682 | Entropy: 0.000
Episode 140 | Loss: 28.409 | Policy: 3.046 | Value: 50.727 | Entropy: 0.000
Episode 141 | Loss: 31.263 | Policy: 2.673 | Value: 57.179 | Entropy: 0.000
Episode 142 | Loss: 39.267 | Policy: 4.886 | Value: 68.760 | Entropy: 0.000
Episode 143 | Loss: 32.000 | Policy: 3.911 | Value: 56.177 | Entropy: 0.000
Episode 144 | Loss: 24.791 | Policy: 1.298 | Value: 46.984 | Entropy: 0.000
Episode 145 | Loss: 25.952 | Policy: 1.318 | Value: 49.269 | Entropy: 0.000
Episode 146 | Loss: 35.152 | Policy: 0.441 | Value: 69.422 | Entropy: 0.000
Episode 147 | Loss: 31.294 | Policy: 1.549 | Value: 59.491 | Entropy: 0.000
Episode 148 | Loss: 26.426 | Policy: 1.784 | Value: 49.284 | Entropy: 0.000
Episode 149 | Loss: 26.970 | Policy: 3.233 | Value: 47.473 | Entropy: 0.000
Episode 150 | Loss: 27.336 | Policy: 2.452 | Value: 49.768 | Entropy: 0.000
Episode 151 | Loss: 29.453 | Policy: 1.336 | Value: 56.235 | Entropy: 0.000
Episode 152 | Loss: 39.741 | Policy: 4.931 | Value: 69.619 | Entropy: 0.000
Episode 153 | Loss: 50.317 | Policy: 5.790 | Value: 89.052 | Entropy: 0.000
Episode 154 | Loss: 29.609 | Policy: 0.769 | Value: 57.680 | Entropy: 0.000
Episode 155 | Loss: 20.625 | Policy: 1.591 | Value: 38.069 | Entropy: 0.000
Episode 156 | Loss: 32.669 | Policy: 0.656 | Value: 64.027 | Entropy: 0.000
Episode 157 | Loss: 32.080 | Policy: 0.510 | Value: 63.141 | Entropy: 0.000
Episode 158 | Loss: 31.765 | Policy: 1.488 | Value: 60.553 | Entropy: 0.000
Episode 159 | Loss: 25.845 | Policy: 2.321 | Value: 47.047 | Entropy: 0.000
Episode 160 | Loss: 35.587 | Policy: 3.811 | Value: 63.551 | Entropy: 0.000
Episode 161 | Loss: 22.515 | Policy: 1.994 | Value: 41.042 | Entropy: 0.000
Episode 162 | Loss: 26.409 | Policy: 3.020 | Value: 46.778 | Entropy: 0.000
Episode 163 | Loss: 27.314 | Policy: 2.288 | Value: 50.052 | Entropy: 0.000
Episode 164 | Loss: 28.048 | Policy: 0.886 | Value: 54.324 | Entropy: 0.000
Episode 165 | Loss: 30.004 | Policy: 0.903 | Value: 58.203 | Entropy: 0.000
Episode 166 | Loss: 43.371 | Policy: 4.932 | Value: 76.876 | Entropy: 0.000
