C:\Users\thari\anaconda3\Lib\site-packages\torch\nn\modules\loss.py:610: UserWarning: Using a target size (torch.Size([3])) that is different to the input size (torch.Size([1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
Episode 59 | Loss: 0.174 | Policy: -0.179 | Value: 0.707 | Reward: -483.11
Episode 60 | Loss: 0.297 | Policy: -0.101 | Value: 0.797 | Reward: -473.11
Episode 61 | Loss: 0.306 | Policy: -0.089 | Value: 0.790 | Reward: -476.85
Episode 62 | Loss: 0.218 | Policy: -0.127 | Value: 0.689 | Reward: -483.11
Episode 63 | Loss: 0.334 | Policy: -0.002 | Value: 0.672 | Reward: -486.86
Episode 64 | Loss: 0.511 | Policy: 0.128 | Value: 0.768 | Reward: -476.85
Episode 65 | Loss: 0.496 | Policy: 0.115 | Value: 0.763 | Reward: -476.85
Episode 66 | Loss: 0.425 | Policy: 0.050 | Value: 0.750 | Reward: -475.60
Episode 67 | Loss: 0.353 | Policy: -0.027 | Value: 0.761 | Reward: -475.60
Episode 68 | Loss: 0.339 | Policy: -0.044 | Value: 0.767 | Reward: -476.85
Episode 69 | Loss: 0.215 | Policy: -0.124 | Value: 0.678 | Reward: -483.11
Episode 70 | Loss: 0.458 | Policy: 0.081 | Value: 0.754 | Reward: -476.85
Episode 71 | Loss: 0.383 | Policy: 0.042 | Value: 0.681 | Reward: -485.60
Episode 72 | Loss: 0.335 | Policy: -0.001 | Value: 0.670 | Reward: -486.85
Episode 73 | Loss: 0.374 | Policy: -0.003 | Value: 0.754 | Reward: -476.85
Episode 74 | Loss: 0.356 | Policy: -0.024 | Value: 0.759 | Reward: -476.85
Episode 75 | Loss: 0.076 | Policy: -0.182 | Value: 0.515 | Reward: -496.85
Episode 76 | Loss: 0.476 | Policy: 0.097 | Value: 0.758 | Reward: -476.85
Episode 77 | Loss: 0.412 | Policy: 0.067 | Value: 0.689 | Reward: -483.11
Episode 78 | Loss: 0.352 | Policy: 0.015 | Value: 0.674 | Reward: -486.85
Episode 79 | Loss: 0.253 | Policy: -0.083 | Value: 0.673 | Reward: -486.85
Episode 80 | Loss: 0.232 | Policy: -0.108 | Value: 0.681 | Reward: -486.85
Episode 81 | Loss: 0.268 | Policy: -0.066 | Value: 0.669 | Reward: -486.85
Episode 82 | Loss: 0.483 | Policy: 0.103 | Value: 0.760 | Reward: -476.85
Episode 83 | Loss: 0.547 | Policy: 0.141 | Value: 0.813 | Reward: -473.11
Episode 84 | Loss: 0.473 | Policy: 0.095 | Value: 0.757 | Reward: -475.60
Episode 85 | Loss: 0.259 | Policy: -0.076 | Value: 0.671 | Reward: -485.60
Episode 86 | Loss: 0.238 | Policy: -0.102 | Value: 0.678 | Reward: -483.11
Episode 87 | Loss: 0.273 | Policy: -0.062 | Value: 0.668 | Reward: -486.85
Episode 88 | Loss: 0.385 | Policy: 0.044 | Value: 0.682 | Reward: -486.85
Episode 89 | Loss: 0.428 | Policy: 0.081 | Value: 0.694 | Reward: -486.85
Episode 90 | Loss: 0.363 | Policy: 0.025 | Value: 0.677 | Reward: -486.85
Episode 91 | Loss: 0.262 | Policy: -0.074 | Value: 0.670 | Reward: -483.11
Episode 92 | Loss: 0.373 | Policy: -0.005 | Value: 0.755 | Reward: -476.85
Episode 93 | Loss: 0.274 | Policy: -0.060 | Value: 0.668 | Reward: -486.85
Episode 94 | Loss: 0.386 | Policy: 0.045 | Value: 0.682 | Reward: -483.11
Episode 95 | Loss: 0.550 | Policy: 0.143 | Value: 0.813 | Reward: -465.60
Episode 96 | Loss: 0.363 | Policy: 0.025 | Value: 0.677 | Reward: -485.60
Episode 97 | Loss: 0.393 | Policy: 0.017 | Value: 0.751 | Reward: -476.85
Episode 98 | Loss: 0.212 | Policy: -0.128 | Value: 0.680 | Reward: -483.11
Episode 99 | Loss: 0.391 | Policy: 0.016 | Value: 0.751 | Reward: -475.60
Episode 100 | Loss: 0.462 | Policy: 0.085 | Value: 0.755 | Reward: -476.85
Episode 101 | Loss: 0.476 | Policy: 0.097 | Value: 0.758 | Reward: -475.60
Episode 102 | Loss: 0.434 | Policy: 0.058 | Value: 0.751 | Reward: -476.85
Episode 103 | Loss: 0.369 | Policy: -0.009 | Value: 0.756 | Reward: -475.60
Episode 104 | Loss: 0.359 | Policy: -0.020 | Value: 0.759 | Reward: -476.85
Episode 105 | Loss: 0.396 | Policy: 0.020 | Value: 0.751 | Reward: -476.85
Episode 106 | Loss: 0.472 | Policy: 0.094 | Value: 0.757 | Reward: -475.60
Episode 107 | Loss: 0.387 | Policy: 0.045 | Value: 0.684 | Reward: -485.61
Episode 108 | Loss: 0.333 | Policy: -0.002 | Value: 0.670 | Reward: -486.85
Episode 109 | Loss: 0.370 | Policy: -0.008 | Value: 0.756 | Reward: -476.85
Episode 110 | Loss: 0.214 | Policy: -0.132 | Value: 0.692 | Reward: -486.85
Episode 111 | Loss: 0.241 | Policy: -0.097 | Value: 0.677 | Reward: -486.85
Episode 112 | Loss: 0.235 | Policy: -0.017 | Value: 0.504 | Reward: -496.85
Episode 113 | Loss: 0.466 | Policy: 0.088 | Value: 0.755 | Reward: -475.60
Episode 114 | Loss: 0.306 | Policy: -0.027 | Value: 0.667 | Reward: -486.85
Episode 115 | Loss: 0.243 | Policy: -0.095 | Value: 0.676 | Reward: -486.85
